squad,#_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Moreirense,3,34,34,"3,060",34,35.0,1.0,128.0,94.0,73.0,16,7,11,16,47,1,1,0,0,0.0,Primeira_Liga,2023_2024
Portimonense,2,34,34,"3,060",34,72.0,2.0,174.0,107.0,61.0,8,8,18,3,8,6,5,0,1,0.0,Primeira_Liga,2023_2024
Porto,2,34,34,"3,058",34,27.0,0.0,81.0,55.0,71.0,22,6,6,13,38,6,4,1,1,20.0,Primeira_Liga,2023_2024
Rio Ave,3,34,34,"3,060",34,43.0,1.0,158.0,115.0,74.0,6,19,9,10,29,4,2,1,1,33.0,Primeira_Liga,2023_2024
Sporting CP,4,34,34,"3,060",34,29.0,0.0,79.0,50.0,68.0,29,3,2,16,47,4,4,0,0,0.0,Primeira_Liga,2023_2024
Vitória,2,34,34,"3,060",34,38.0,1.0,126.0,88.0,73.0,19,6,9,10,29,6,5,1,0,16.0,Primeira_Liga,2023_2024
Vizela,2,34,34,"3,060",34,66.0,1.0,161.0,97.0,62.0,5,11,18,8,23,6,5,0,1,0.0,Primeira_Liga,2023_2024
Adana Demirspor,3,36,36,"3,060",34,45.0,1.0,151.0,114.0,75.0,18,9,7,9,25,8,8,0,0,0.0,Super_Lig,2022_2023
Alanyaspor,2,36,36,"3,060",34,70.0,2.0,180.0,121.0,66.0,9,8,17,6,16,11,10,1,0,9.0,Super_Lig,2022_2023
Ankaragücü,3,36,36,"3,149",35,53.0,1.0,166.0,120.0,72.0,11,6,18,6,16,7,7,0,0,0.0,Super_Lig,2022_2023
Antalyaspor,4,36,36,"3,150",35,55.0,1.0,151.0,102.0,66.0,10,8,17,8,22,6,4,2,0,33.0,Super_Lig,2022_2023
Başakşehir,3,36,36,"3,060",34,34.0,1.0,127.0,100.0,78.0,16,8,10,11,30,8,6,1,1,14.0,Super_Lig,2022_2023
Beşiktaş,3,36,36,"3,060",34,36.0,1.0,101.0,67.0,66.0,21,9,4,10,27,3,2,0,1,0.0,Super_Lig,2022_2023
Fatih Karagümrük,3,36,36,"3,060",34,63.0,1.0,157.0,101.0,64.0,11,12,11,7,19,10,7,2,1,22.0,Super_Lig,2022_2023
Fenerbahçe,2,36,36,"3,060",34,42.0,1.0,113.0,77.0,68.0,23,5,6,10,27,7,6,1,0,14.0,Super_Lig,2022_2023
Galatasaray,2,36,36,"3,060",34,27.0,0.0,107.0,81.0,75.0,26,4,4,16,44,2,1,1,0,50.0,Super_Lig,2022_2023
Gaziantep FK,1,36,36,"1,980",22,30.0,1.0,99.0,74.0,73.0,6,7,9,3,8,6,4,2,0,33.0,Super_Lig,2022_2023
Giresunspor,2,36,36,"3,060",34,60.0,1.0,154.0,102.0,65.0,8,10,16,6,16,10,7,2,1,22.0,Super_Lig,2022_2023
Hatayspor,1,36,36,"1,890",21,35.0,1.0,111.0,80.0,72.0,6,5,10,4,11,4,4,0,0,0.0,Super_Lig,2022_2023
İstanbulspor,2,36,36,"3,060",34,63.0,1.0,176.0,124.0,68.0,10,5,19,7,19,11,8,3,0,27.0,Super_Lig,2022_2023
Kasımpaşa,3,36,36,"3,150",35,61.0,1.0,155.0,101.0,65.0,11,7,17,8,22,7,7,0,0,0.0,Super_Lig,2022_2023
Kayserispor,2,36,36,"3,059",34,61.0,1.0,164.0,110.0,66.0,13,5,16,7,19,7,6,1,0,14.0,Super_Lig,2022_2023
Konyaspor,2,36,36,"3,058",34,41.0,1.0,127.0,92.0,73.0,10,15,9,9,25,7,7,0,0,0.0,Super_Lig,2022_2023
Sivasspor,2,36,36,"3,150",35,53.0,1.0,146.0,97.0,67.0,10,8,17,7,19,5,5,0,0,0.0,Super_Lig,2022_2023
Trabzonspor,2,36,36,"3,150",35,54.0,1.0,142.0,94.0,66.0,16,6,13,13,36,6,6,0,0,0.0,Super_Lig,2022_2023
Ümraniyespor,4,36,36,"3,060",34,64.0,1.0,186.0,132.0,70.0,5,9,20,1,2,10,9,1,0,10.0,Super_Lig,2022_2023
Adana Demirspor,3,38,38,"3,420",38,47.0,1.0,178.0,137.0,77.0,15,10,13,10,26,7,6,1,0,14.0,Super_Lig,2021_2022
Alanyaspor,3,38,38,"3,420",38,58.0,1.0,164.0,109.0,66.0,19,7,12,10,26,3,3,0,0,0.0,Super_Lig,2021_2022
Altay,2,38,38,"3,420",38,57.0,1.0,177.0,129.0,72.0,9,7,22,7,18,10,8,2,0,20.0,Super_Lig,2021_2022
Antalyaspor,2,38,38,"3,420",38,47.0,1.0,131.0,95.0,72.0,16,11,11,10,26,11,11,0,0,0.0,Super_Lig,2021_2022
Başakşehir,2,38,38,"3,420",38,36.0,0.0,138.0,105.0,76.0,19,8,11,12,31,3,3,0,0,0.0,Super_Lig,2021_2022
Beşiktaş,3,38,38,"3,420",38,48.0,1.0,124.0,83.0,65.0,15,14,9,10,26,7,5,2,0,28.0,Super_Lig,2021_2022
Fatih Karagümrük,1,38,38,"3,420",38,52.0,1.0,174.0,130.0,74.0,16,9,13,11,28,9,7,2,0,22.0,Super_Lig,2021_2022
Fenerbahçe,3,38,38,"3,420",38,38.0,1.0,132.0,99.0,75.0,21,10,7,12,31,7,5,0,2,0.0,Super_Lig,2021_2022
Galatasaray,4,38,38,"3,420",38,53.0,1.0,155.0,109.0,69.0,14,10,14,9,23,8,6,1,1,14.0,Super_Lig,2021_2022
Gaziantep FK,3,38,38,"3,420",38,54.0,1.0,165.0,118.0,70.0,12,10,16,10,26,8,5,2,1,28.0,Super_Lig,2021_2022
Giresunspor,3,38,38,"3,420",38,47.0,1.0,141.0,101.0,69.0,12,9,17,10,26,8,4,4,0,50.0,Super_Lig,2021_2022
Göztepe,3,38,38,"3,420",38,77.0,2.0,177.0,108.0,61.0,7,7,24,1,2,10,8,0,2,0.0,Super_Lig,2021_2022
Hatayspor,2,38,38,"3,420",38,60.0,1.0,173.0,124.0,69.0,15,8,15,9,23,11,8,3,0,27.0,Super_Lig,2021_2022
Kasımpaşa,3,38,38,"3,420",38,57.0,1.0,160.0,107.0,66.0,15,8,15,8,21,4,4,0,0,0.0,Super_Lig,2021_2022
Kayserispor,4,38,38,"3,420",38,61.0,1.0,186.0,130.0,69.0,12,11,15,9,23,6,5,0,1,0.0,Super_Lig,2021_2022
Konyaspor,2,38,38,"3,420",38,45.0,1.0,165.0,126.0,76.0,20,8,10,13,34,6,6,0,0,0.0,Super_Lig,2021_2022
Rizespor,3,38,38,"3,420",38,71.0,1.0,194.0,136.0,69.0,10,6,22,6,15,13,12,1,0,7.0,Super_Lig,2021_2022
Sivasspor,3,38,38,"3,420",38,50.0,1.0,138.0,95.0,68.0,14,12,12,8,21,7,7,0,0,0.0,Super_Lig,2021_2022
Trabzonspor,3,38,38,"3,419",38,36.0,0.0,155.0,127.0,80.0,23,12,3,12,31,11,6,3,2,33.0,Super_Lig,2021_2022
Yeni Mal'spor,4,38,38,"3,420",38,71.0,1.0,214.0,150.0,69.0,5,5,28,7,18,7,6,1,0,14.0,Super_Lig,2021_2022
Alavés,2,38,38,"3,420",38,46.0,1.0,147.0,103.0,74.0,12,10,16,11,28,8,8,0,0,0.0,La_Liga,2023_2024
Almería,3,38,38,"3,420",38,75.0,1.0,202.0,126.0,65.0,3,12,23,6,15,9,6,1,2,14.0,La_Liga,2023_2024
Athletic Club,2,38,38,"3,420",38,37.0,0.0,134.0,98.0,73.0,19,11,8,18,47,5,1,3,1,75.0,La_Liga,2023_2024
Atlético Madrid,1,38,38,"3,420",38,43.0,1.0,144.0,101.0,70.0,24,4,10,13,34,2,1,0,1,0.0,La_Liga,2023_2024
