squad,#_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Lazio,2,38,38,"3,418",38,30.0,0.0,128.0,99.0,77.0,22,8,8,21,55,2,1,0,1,0.0,Serie_A,2022_2023
Lecce,1,38,38,"3,420",38,46.0,1.0,156.0,112.0,73.0,8,12,18,6,15,6,5,1,0,16.0,Serie_A,2022_2023
Milan,3,38,38,"3,420",38,43.0,1.0,123.0,80.0,68.0,20,10,8,12,31,5,4,1,0,20.0,Serie_A,2022_2023
Monza,2,38,38,"3,420",38,52.0,1.0,172.0,121.0,71.0,14,10,14,10,26,3,3,0,0,0.0,Serie_A,2022_2023
Napoli,2,38,38,"3,420",38,28.0,0.0,107.0,78.0,74.0,28,6,4,18,47,2,1,1,0,50.0,Serie_A,2022_2023
Roma,2,38,38,"3,420",38,38.0,1.0,118.0,80.0,69.0,18,9,11,14,36,3,2,1,0,33.0,Serie_A,2022_2023
Salernitana,3,38,38,"3,420",38,62.0,1.0,196.0,130.0,71.0,9,15,14,7,18,11,7,4,0,36.0,Serie_A,2022_2023
Sampdoria,3,38,38,"3,420",38,71.0,1.0,215.0,144.0,70.0,3,10,25,4,10,11,8,2,1,20.0,Serie_A,2022_2023
Sassuolo,3,38,38,"3,420",38,61.0,1.0,130.0,71.0,56.0,12,9,17,9,23,4,4,0,0,0.0,Serie_A,2022_2023
Spezia,4,38,38,"3,420",38,62.0,1.0,183.0,123.0,68.0,6,13,19,6,15,7,5,1,1,16.0,Serie_A,2022_2023
Torino,1,38,38,"3,420",38,41.0,1.0,136.0,95.0,73.0,14,11,13,11,28,6,5,0,1,0.0,Serie_A,2022_2023
Udinese,1,38,38,"3,420",38,48.0,1.0,137.0,91.0,69.0,11,13,14,10,26,7,6,0,1,0.0,Serie_A,2022_2023
Alavés,3,38,38,"3,420",38,65.0,1.0,168.0,100.0,64.0,8,7,23,6,15,9,6,3,0,33.0,La_Liga,2021_2022
Athletic Club,2,38,38,"3,420",38,36.0,0.0,131.0,96.0,74.0,14,13,11,13,34,3,3,0,0,0.0,La_Liga,2021_2022
Atlético Madrid,1,38,38,"3,420",38,43.0,1.0,106.0,65.0,66.0,21,8,9,12,31,8,7,1,0,12.0,La_Liga,2021_2022
Barcelona,2,38,38,"3,420",38,38.0,1.0,123.0,84.0,70.0,21,10,7,11,28,3,2,1,0,33.0,La_Liga,2021_2022
Betis,2,38,38,"3,420",38,40.0,1.0,132.0,94.0,72.0,19,8,11,13,34,3,3,0,0,0.0,La_Liga,2021_2022
Cádiz,1,38,38,"3,420",38,51.0,1.0,170.0,117.0,76.0,8,15,15,13,34,13,11,2,0,15.0,La_Liga,2021_2022
Celta Vigo,1,38,38,"3,420",38,43.0,1.0,136.0,91.0,71.0,12,10,16,14,36,8,4,4,0,50.0,La_Liga,2021_2022
Elche,2,38,38,"3,420",38,52.0,1.0,174.0,121.0,74.0,11,9,18,8,21,9,7,1,1,12.0,La_Liga,2021_2022
Espanyol,3,38,38,"3,420",38,53.0,1.0,169.0,118.0,71.0,10,12,16,10,26,5,4,0,1,0.0,La_Liga,2021_2022
Getafe,2,38,38,"3,420",38,41.0,1.0,132.0,91.0,70.0,8,15,15,14,36,4,2,1,1,33.0,La_Liga,2021_2022
Granada,2,38,38,"3,420",38,61.0,1.0,193.0,132.0,72.0,8,14,16,8,21,9,7,2,0,22.0,La_Liga,2021_2022
Levante,4,38,38,"3,420",38,76.0,2.0,203.0,126.0,65.0,8,11,19,7,18,6,5,1,0,16.0,La_Liga,2021_2022
Mallorca,4,38,38,"3,420",38,63.0,1.0,152.0,91.0,62.0,10,9,19,9,23,8,6,2,0,25.0,La_Liga,2021_2022
Osasuna,2,38,38,"3,420",38,51.0,1.0,151.0,99.0,68.0,12,11,15,12,31,7,4,3,0,42.0,La_Liga,2021_2022
Rayo Vallecano,2,38,38,"3,417",38,50.0,1.0,163.0,112.0,73.0,11,9,18,9,23,9,7,2,0,22.0,La_Liga,2021_2022
Real Madrid,2,38,38,"3,420",38,31.0,0.0,129.0,97.0,78.0,26,8,4,16,42,5,3,2,0,40.0,La_Liga,2021_2022
Real Sociedad,2,38,38,"3,420",38,37.0,0.0,127.0,89.0,74.0,17,11,10,20,52,6,5,1,0,16.0,La_Liga,2021_2022
Sevilla,3,38,38,"3,420",38,30.0,0.0,121.0,90.0,76.0,18,16,4,17,44,4,2,1,1,33.0,La_Liga,2021_2022
Valencia,3,38,38,"3,420",38,53.0,1.0,163.0,112.0,71.0,11,15,12,12,31,8,7,1,0,12.0,La_Liga,2021_2022
Villarreal,2,38,38,"3,420",38,37.0,0.0,128.0,91.0,74.0,16,11,11,14,36,5,4,1,0,20.0,La_Liga,2021_2022
Ajaccio,3,38,38,"3,420",38,74.0,1.0,161.0,89.0,59.0,7,5,26,6,15,10,9,0,1,0.0,Ligue_1,2022_2023
Angers,2,38,38,"3,420",38,81.0,2.0,197.0,119.0,63.0,4,6,28,4,10,11,9,1,1,10.0,Ligue_1,2022_2023
Auxerre,3,38,38,"3,420",38,63.0,1.0,181.0,117.0,67.0,8,11,19,7,18,6,4,2,0,33.0,Ligue_1,2022_2023
Brest,2,38,38,"3,420",38,54.0,1.0,179.0,125.0,73.0,11,11,16,9,23,9,7,2,0,22.0,Ligue_1,2022_2023
Clermont Foot,2,38,38,"3,420",38,49.0,1.0,164.0,111.0,75.0,17,8,13,10,26,12,8,4,0,33.0,Ligue_1,2022_2023
Lens,2,38,38,"3,420",38,29.0,0.0,129.0,101.0,79.0,25,9,4,15,39,3,3,0,0,0.0,Ligue_1,2022_2023
Lille,2,38,38,"3,420",38,44.0,1.0,122.0,80.0,67.0,19,10,9,10,26,5,4,1,0,20.0,Ligue_1,2022_2023
Lorient,2,38,38,"3,420",38,53.0,1.0,182.0,130.0,72.0,15,10,13,8,21,2,2,0,0,0.0,Ligue_1,2022_2023
Lyon,2,38,38,"3,417",38,47.0,1.0,155.0,111.0,76.0,18,8,12,8,21,11,11,0,0,0.0,Ligue_1,2022_2023
Marseille,2,38,38,"3,420",38,40.0,1.0,142.0,105.0,75.0,22,7,9,10,26,5,5,0,0,0.0,Ligue_1,2022_2023
Monaco,1,38,38,"3,420",38,58.0,1.0,195.0,140.0,72.0,19,8,11,9,23,5,5,0,0,0.0,Ligue_1,2022_2023
Montpellier,4,38,38,"3,420",38,62.0,1.0,202.0,138.0,72.0,15,5,18,11,28,11,6,4,1,40.0,Ligue_1,2022_2023
Nantes,2,38,38,"3,419",38,55.0,1.0,185.0,134.0,75.0,7,15,16,11,28,9,9,0,0,0.0,Ligue_1,2022_2023
Nice,2,38,38,"3,420",38,37.0,0.0,147.0,109.0,76.0,15,13,10,11,28,5,3,1,1,25.0,Ligue_1,2022_2023
Paris S-G,2,38,38,"3,420",38,40.0,1.0,160.0,120.0,76.0,27,4,7,13,34,5,2,1,2,33.0,Ligue_1,2022_2023
Reims,2,38,38,"3,420",38,45.0,1.0,166.0,123.0,74.0,12,15,11,14,36,3,3,0,0,0.0,Ligue_1,2022_2023
Rennes,2,38,38,"3,420",38,39.0,1.0,126.0,86.0,71.0,21,5,12,13,34,5,3,2,0,40.0,Ligue_1,2022_2023
Strasbourg,1,38,38,"3,420",38,59.0,1.0,174.0,115.0,71.0,9,13,16,6,15,11,10,0,1,0.0,Ligue_1,2022_2023
Toulouse,1,38,38,"3,420",38,57.0,1.0,179.0,122.0,70.0,13,9,16,9,23,7,4,3,0,42.0,Ligue_1,2022_2023
Troyes,2,38,38,"3,418",38,81.0,2.0,228.0,148.0,67.0,4,12,22,1,2,8,7,1,0,12.0,Ligue_1,2022_2023
Arda,2,36,36,"3,240",36,,,,,,14,9,13,14,38,3,3,0,0,0.0,Bulgarian_First_League,2023_2024
Beroe,3,35,35,"3,145",35,,,,,,12,6,17,11,31,5,5,0,0,0.0,Bulgarian_First_League,2023_2024
Botev Plovdiv,4,36,36,"3,240",36,,,,,,12,9,15,12,33,6,6,0,0,0.0,Bulgarian_First_League,2023_2024
Botev Vratsa,2,35,35,"3,150",35,,,,,,9,6,20,9,25,6,6,0,0,0.0,Bulgarian_First_League,2023_2024
Cherno More,2,35,35,"3,150",35,,,,,,22,9,4,16,45,4,4,0,0,0.0,Bulgarian_First_League,2023_2024
CSKA 1948,3,36,36,"3,236",36,,,,,,13,13,10,14,38,3,3,0,0,0.0,Bulgarian_First_League,2023_2024
CSKA Sofia,2,35,35,"3,144",35,,,,,,20,7,8,16,45,2,2,0,0,0.0,Bulgarian_First_League,2023_2024
Etar,3,35,35,"3,150",35,,,,,,3,8,24,3,8,2,2,0,0,0.0,Bulgarian_First_League,2023_2024
FK Levski 2005,3,35,35,"3,150",35,,,,,,13,10,12,12,34,6,6,0,0,0.0,Bulgarian_First_League,2023_2024
Levski Sofia,3,35,35,"3,150",35,,,,,,19,7,9,19,54,2,2,0,0,0.0,Bulgarian_First_League,2023_2024
Loko Plovdiv,3,35,35,"3,150",35,,,,,,17,7,11,11,31,5,5,0,0,0.0,Bulgarian_First_League,2023_2024
Lokomotiv Sofia,3,35,35,"3,150",35,,,,,,11,6,18,11,31,4,4,0,0,0.0,Bulgarian_First_League,2023_2024
Ludogorets,4,35,35,"3,150",35,,,,,,26,4,5,21,60,0,0,0,0,,Bulgarian_First_League,2023_2024
PFC Hebar Pazardzhik,2,35,35,"3,150",35,,,,,,9,7,19,9,25,2,2,0,0,0.0,Bulgarian_First_League,2023_2024
Pirin Blagoevgrad,2,35,35,"3,150",35,,,,,,7,11,17,8,22,5,5,0,0,0.0,Bulgarian_First_League,2023_2024
Slavia Sofia,3,36,36,"3,240",36,,,,,,12,7,17,10,27,2,2,0,0,0.0,Bulgarian_First_League,2023_2024
Anderlecht,2,34,34,"3,060",34,44.0,1.0,145.0,104.0,71.0,13,7,14,11,32,2,2,0,0,0.0,Belgian_Pro_League,2022_2023
Antwerp,1,34,34,"3,060",34,26.0,0.0,101.0,75.0,76.0,22,6,6,19,55,3,2,0,1,0.0,Belgian_Pro_League,2022_2023
Cercle Brugge,2,34,34,"3,060",34,46.0,1.0,142.0,95.0,76.0,13,11,10,6,17,15,12,3,0,20.0,Belgian_Pro_League,2022_2023
Charleroi,2,34,34,"3,060",34,47.0,1.0,152.0,107.0,71.0,14,6,14,9,26,3,3,0,0,0.0,Belgian_Pro_League,2022_2023
Club Brugge,1,34,34,"3,060",34,36.0,1.0,121.0,86.0,71.0,16,11,7,13,38,3,2,1,0,33.0,Belgian_Pro_League,2022_2023
Eupen,2,34,34,"3,060",34,75.0,2.0,197.0,123.0,65.0,7,7,20,5,14,11,7,2,2,22.0,Belgian_Pro_League,2022_2023
Genk,1,34,34,"3,060",34,37.0,1.0,141.0,103.0,77.0,23,6,5,8,23,7,5,1,1,16.0,Belgian_Pro_League,2022_2023
Gent,2,34,34,"3,060",34,38.0,1.0,115.0,77.0,73.0,16,8,10,13,38,7,7,0,0,0.0,Belgian_Pro_League,2022_2023
Kortrijk,2,34,34,"3,060",34,61.0,1.0,186.0,127.0,71.0,8,7,19,7,20,9,7,1,1,12.0,Belgian_Pro_League,2022_2023
Mechelen,2,34,34,"3,060",34,64.0,1.0,166.0,103.0,66.0,11,7,16,7,20,9,9,0,0,0.0,Belgian_Pro_League,2022_2023
OH Leuven,1,34,34,"3,060",34,48.0,1.0,152.0,103.0,73.0,13,9,12,8,23,9,7,2,0,22.0,Belgian_Pro_League,2022_2023
Oostende,2,34,34,"3,060",34,76.0,2.0,166.0,87.0,57.0,7,6,21,3,8,10,5,4,1,44.0,Belgian_Pro_League,2022_2023
R.F.C. Seraing,3,34,34,"3,060",34,68.0,2.0,171.0,104.0,63.0,5,5,24,1,2,7,6,1,0,14.0,Belgian_Pro_League,2022_2023
Sint-Truiden,2,34,34,"3,060",34,40.0,1.0,127.0,89.0,72.0,11,9,14,9,26,5,5,0,0,0.0,Belgian_Pro_League,2022_2023
Standard Liège,1,34,34,"3,059",34,46.0,1.0,141.0,98.0,71.0,16,7,11,12,35,6,6,0,0,0.0,Belgian_Pro_League,2022_2023
Union SG,1,34,34,"3,060",34,41.0,1.0,109.0,68.0,68.0,23,6,5,8,23,9,7,2,0,22.0,Belgian_Pro_League,2022_2023
Westerlo,2,34,34,"3,060",34,53.0,1.0,159.0,106.0,72.0,14,9,11,10,29,9,9,0,0,0.0,Belgian_Pro_League,2022_2023
Zulte Waregem,2,34,34,"3,060",34,78.0,2.0,187.0,111.0,62.0,6,9,19,2,5,9,8,0,1,0.0,Belgian_Pro_League,2022_2023
Anderlecht,1,34,34,"3,060",34,36.0,1.0,118.0,80.0,70.0,18,10,6,10,29,3,1,2,0,66.0,Belgian_Pro_League,2021_2022
Antwerp,1,34,34,"3,060",34,38.0,1.0,175.0,138.0,80.0,19,6,9,12,35,3,3,0,0,0.0,Belgian_Pro_League,2021_2022
Beerschot,3,34,34,"3,060",34,71.0,2.0,196.0,126.0,66.0,4,4,26,3,8,7,5,1,1,16.0,Belgian_Pro_League,2021_2022
Cercle Brugge,2,34,34,"3,060",34,46.0,1.0,131.0,86.0,66.0,12,9,13,8,23,2,2,0,0,0.0,Belgian_Pro_League,2021_2022
Charleroi,2,34,34,"3,060",34,46.0,1.0,165.0,120.0,73.0,15,9,10,13,38,4,2,2,0,50.0,Belgian_Pro_League,2021_2022
Club Brugge,2,34,34,"3,060",34,37.0,1.0,110.0,74.0,69.0,21,9,4,12,35,3,3,0,0,0.0,Belgian_Pro_League,2021_2022
Eupen,2,34,34,"3,060",34,61.0,1.0,180.0,117.0,70.0,8,8,18,4,11,11,7,3,1,30.0,Belgian_Pro_League,2021_2022
Genk,1,34,34,"3,060",34,47.0,1.0,136.0,89.0,68.0,15,6,13,9,26,4,4,0,0,0.0,Belgian_Pro_League,2021_2022
Gent,2,34,34,"3,060",34,30.0,0.0,120.0,90.0,79.0,18,8,8,14,41,6,5,1,0,16.0,Belgian_Pro_League,2021_2022
Kortrijk,3,34,34,"3,060",34,48.0,1.0,157.0,110.0,72.0,9,10,15,8,23,5,4,0,1,0.0,Belgian_Pro_League,2021_2022
Mechelen,2,34,34,"2,968",33,56.0,1.0,163.0,108.0,66.0,15,7,11,5,14,3,2,1,0,33.0,Belgian_Pro_League,2021_2022
OH Leuven,2,34,34,"2,970",33,58.0,1.0,188.0,131.0,70.0,9,11,13,4,11,2,2,0,0,0.0,Belgian_Pro_League,2021_2022
Oostende,3,34,34,"3,060",34,61.0,1.0,162.0,101.0,62.0,10,7,17,7,20,0,0,0,0,,Belgian_Pro_League,2021_2022
R.F.C. Seraing,2,34,34,"3,051",34,68.0,2.0,176.0,111.0,67.0,8,4,22,5,14,12,10,1,1,9.0,Belgian_Pro_League,2021_2022
Sint-Truiden,3,34,34,"3,060",34,40.0,1.0,117.0,77.0,68.0,15,6,13,11,32,4,3,0,1,0.0,Belgian_Pro_League,2021_2022
Standard Liège,2,34,34,"2,970",34,51.0,1.0,145.0,94.0,65.0,9,9,16,8,23,2,1,1,0,50.0,Belgian_Pro_League,2021_2022
Union SG,2,34,34,"3,060",34,27.0,0.0,100.0,73.0,77.0,24,5,5,16,47,5,4,0,1,0.0,Belgian_Pro_League,2021_2022
Zulte Waregem,2,34,34,"3,060",34,69.0,2.0,201.0,134.0,69.0,8,8,18,6,17,8,7,1,0,12.0,Belgian_Pro_League,2021_2022
Cracovia,2,34,34,"3,060",34,,,,,,8,15,11,10,29,8,7,1,0,12.0,Ekstraklasa,2023_2024
Górnik Zabrze,1,34,34,"3,060",34,,,,,,15,8,11,10,29,1,1,0,0,0.0,Ekstraklasa,2023_2024
Jagiellonia,1,34,34,"3,060",34,,,,,,18,9,7,9,26,8,8,0,0,0.0,Ekstraklasa,2023_2024
Korona Kielce,2,34,34,"3,060",34,,,,,,8,14,12,7,20,6,5,1,0,16.0,Ekstraklasa,2023_2024
Lech Poznań,2,34,34,"3,060",34,,,,,,14,11,9,12,35,8,6,2,0,25.0,Ekstraklasa,2023_2024
Legia Warsaw,2,34,34,"3,060",34,,,,,,16,11,7,10,29,2,2,0,0,0.0,Ekstraklasa,2023_2024
Piast Gliwice,2,34,34,"3,060",34,,,,,,9,16,9,14,41,10,7,1,2,12.0,Ekstraklasa,2023_2024
Pogoń Szczecin,3,34,34,"3,060",34,,,,,,16,7,11,11,32,4,2,2,0,50.0,Ekstraklasa,2023_2024
Puszcza Niepołomice,3,34,34,"3,060",34,,,,,,9,13,12,8,23,5,4,1,0,20.0,Ekstraklasa,2023_2024
Radomiak Radom,4,34,34,"3,057",34,,,,,,10,8,16,7,20,7,5,2,0,28.0,Ekstraklasa,2023_2024
RKS Raków,5,34,34,"3,060",34,,,,,,14,10,10,11,32,6,6,0,0,0.0,Ekstraklasa,2023_2024
Ruch Chorzów,4,34,34,"3,060",34,,,,,,6,14,14,8,23,6,6,0,0,0.0,Ekstraklasa,2023_2024
Śląsk Wrocław,2,34,34,"3,060",34,,,,,,18,9,7,13,38,9,6,2,1,25.0,Ekstraklasa,2023_2024
Stal Mielec,2,34,34,"3,060",34,,,,,,11,10,13,9,26,6,5,1,0,16.0,Ekstraklasa,2023_2024
Warta Poznań,2,34,34,"3,060",34,,,,,,9,10,15,9,26,4,3,0,1,0.0,Ekstraklasa,2023_2024
Widzew Łódź,3,34,34,"3,060",34,,,,,,13,7,14,7,20,6,5,1,0,16.0,Ekstraklasa,2023_2024
Zagłębie Lubin,3,34,34,"3,059",34,,,,,,13,8,13,9,26,5,4,1,0,20.0,Ekstraklasa,2023_2024
Łódzki KS,2,34,34,"3,060",34,,,,,,6,6,22,2,5,10,8,1,1,11.0,Ekstraklasa,2023_2024
Brest,2,34,34,"3,057",34,34.0,1.0,133.0,98.0,75.0,17,10,7,15,44,3,2,1,0,33.0,Ligue_1,2023_2024
Clermont Foot,2,34,34,"3,060",34,60.0,1.0,212.0,152.0,75.0,5,10,19,5,14,9,7,1,1,12.0,Ligue_1,2023_2024
Le Havre,2,34,34,"3,060",34,45.0,1.0,158.0,114.0,72.0,7,11,16,7,20,4,2,1,1,33.0,Ligue_1,2023_2024
Lens,2,34,34,"3,060",34,37.0,1.0,138.0,101.0,77.0,14,9,11,14,41,8,6,1,1,14.0,Ligue_1,2023_2024
Lille,2,34,34,"3,060",34,34.0,1.0,128.0,94.0,75.0,16,11,7,15,44,5,3,2,0,40.0,Ligue_1,2023_2024
Lorient,1,34,34,"3,060",34,66.0,1.0,207.0,142.0,72.0,7,8,19,4,11,8,8,0,0,0.0,Ligue_1,2023_2024
Lyon,2,34,34,"3,060",34,55.0,1.0,169.0,114.0,69.0,16,5,13,10,29,6,4,1,1,20.0,Ligue_1,2023_2024
Marseille,2,34,34,"3,060",34,41.0,1.0,130.0,90.0,70.0,13,11,10,7,20,3,3,0,0,0.0,Ligue_1,2023_2024
Metz,2,34,34,"3,060",34,58.0,1.0,188.0,130.0,72.0,8,5,21,6,17,6,6,0,0,0.0,Ligue_1,2023_2024
Monaco,2,34,34,"3,060",34,42.0,1.0,151.0,110.0,75.0,20,7,7,12,35,6,5,1,0,16.0,Ligue_1,2023_2024
Montpellier,2,34,34,"3,060",34,48.0,1.0,171.0,125.0,74.0,10,12,12,10,29,5,4,1,0,20.0,Ligue_1,2023_2024
Nantes,3,34,34,"3,060",34,55.0,1.0,156.0,101.0,70.0,9,6,19,8,23,10,9,0,1,0.0,Ligue_1,2023_2024
Nice,1,34,34,"3,060",34,29.0,0.0,105.0,74.0,77.0,15,10,9,17,50,8,5,3,0,37.0,Ligue_1,2023_2024
Paris S-G,3,34,34,"3,058",34,33.0,0.0,147.0,113.0,80.0,22,10,2,12,35,5,4,1,0,20.0,Ligue_1,2023_2024
Reims,1,34,34,"3,060",34,47.0,1.0,137.0,90.0,70.0,13,8,13,8,23,7,6,1,0,14.0,Ligue_1,2023_2024
Rennes,1,34,34,"3,060",34,46.0,1.0,147.0,104.0,70.0,12,10,12,7,20,3,3,0,0,0.0,Ligue_1,2023_2024
Strasbourg,2,34,34,"3,060",34,50.0,1.0,125.0,77.0,63.0,10,9,15,5,14,5,4,1,0,20.0,Ligue_1,2023_2024
Toulouse,1,34,34,"3,060",34,46.0,1.0,139.0,93.0,69.0,11,10,13,6,17,4,4,0,0,0.0,Ligue_1,2023_2024
Ajax,4,34,34,"3,060",34,19.0,0.0,78.0,59.0,75.0,26,5,3,22,64,0,0,0,0,,Eredivisie,2021_2022
AZ Alkmaar,2,34,34,"3,060",34,44.0,1.0,133.0,89.0,66.0,18,7,9,4,11,0,0,0,0,,Eredivisie,2021_2022
Cambuur,2,34,34,"3,060",34,70.0,2.0,206.0,137.0,66.0,11,6,17,4,11,2,1,0,1,0.0,Eredivisie,2021_2022
Feyenoord,2,34,34,"3,060",34,34.0,1.0,107.0,74.0,72.0,22,5,7,13,38,4,4,0,0,0.0,Eredivisie,2021_2022
Fortuna Sittard,2,34,34,"3,060",34,67.0,1.0,200.0,133.0,67.0,10,5,19,8,23,2,1,1,0,50.0,Eredivisie,2021_2022
Go Ahead Eag,2,34,34,"3,060",34,51.0,1.0,179.0,129.0,73.0,10,6,18,8,23,4,4,0,0,0.0,Eredivisie,2021_2022
Groningen,1,34,34,"3,060",34,55.0,1.0,162.0,109.0,67.0,9,9,16,4,11,2,2,0,0,0.0,Eredivisie,2021_2022
Heerenveen,2,34,34,"3,060",34,50.0,1.0,150.0,100.0,71.0,11,8,15,8,23,8,7,1,0,12.0,Eredivisie,2021_2022
Heracles Almelo,2,34,34,"3,060",34,49.0,1.0,171.0,122.0,72.0,9,7,18,8,23,5,2,2,1,50.0,Eredivisie,2021_2022
NEC Nijmegen,1,34,34,"3,060",34,52.0,1.0,164.0,112.0,70.0,10,8,16,10,29,4,3,1,0,25.0,Eredivisie,2021_2022
PSV Eindhoven,2,34,34,"3,060",34,42.0,1.0,115.0,75.0,65.0,26,3,5,9,26,2,2,0,0,0.0,Eredivisie,2021_2022
RKC Waalwijk,3,34,34,"3,060",34,51.0,1.0,177.0,125.0,74.0,9,11,14,6,17,8,6,1,1,14.0,Eredivisie,2021_2022
Sparta R'dam,3,34,34,"3,060",34,48.0,1.0,160.0,113.0,73.0,8,11,15,7,20,6,5,1,0,16.0,Eredivisie,2021_2022
Twente,2,34,34,"3,060",34,37.0,1.0,132.0,96.0,72.0,20,8,6,13,38,1,0,1,0,100.0,Eredivisie,2021_2022
Utrecht,3,34,34,"3,060",34,46.0,1.0,141.0,97.0,69.0,12,11,11,8,23,4,3,1,0,25.0,Eredivisie,2021_2022
Vitesse,2,34,34,"3,060",34,51.0,1.0,136.0,87.0,66.0,15,6,13,8,23,5,5,0,0,0.0,Eredivisie,2021_2022
Willem II,4,34,34,"3,058",34,57.0,1.0,168.0,113.0,67.0,9,6,19,7,20,3,2,0,1,0.0,Eredivisie,2021_2022
Zwolle,1,34,34,"3,060",34,52.0,1.0,175.0,126.0,72.0,7,6,21,6,17,4,3,0,1,0.0,Eredivisie,2021_2022
AGF,2,32,32,"2,878",32,46.0,1.0,134.0,94.0,70.0,11,11,10,9,28,6,6,0,0,0.0,Danish_Superliga,2023_2024
Brøndby,2,32,32,"2,880",32,35.0,1.0,127.0,96.0,74.0,18,8,6,12,37,4,2,2,0,50.0,Danish_Superliga,2023_2024
FC Copenhagen,2,32,32,"2,880",32,38.0,1.0,118.0,80.0,67.0,18,5,9,11,34,1,0,1,0,100.0,Danish_Superliga,2023_2024
Hvidovre IF,2,32,32,"2,880",32,61.0,1.0,184.0,130.0,69.0,4,8,20,4,12,9,5,2,2,28.0,Danish_Superliga,2023_2024
Lyngby,3,32,32,"2,880",32,53.0,1.0,141.0,90.0,63.0,9,9,14,6,18,2,2,0,0,0.0,Danish_Superliga,2023_2024
Midtjylland,2,32,32,"2,880",32,43.0,1.0,109.0,70.0,65.0,19,6,7,8,25,5,5,0,0,0.0,Danish_Superliga,2023_2024
Nordsjælland,3,32,32,"2,880",32,34.0,1.0,115.0,84.0,73.0,16,10,6,8,25,4,3,0,1,0.0,Danish_Superliga,2023_2024
Odense,3,32,32,"2,880",32,48.0,1.0,143.0,96.0,67.0,8,8,16,6,18,2,2,0,0,0.0,Danish_Superliga,2023_2024
Randers,1,32,32,"2,880",32,49.0,1.0,141.0,97.0,68.0,10,11,11,7,21,6,4,1,1,20.0,Danish_Superliga,2023_2024
Silkeborg,2,32,32,"2,880",32,50.0,1.0,159.0,111.0,69.0,10,6,16,8,25,3,1,1,1,50.0,Danish_Superliga,2023_2024
Vejle BK,2,32,32,"2,880",32,36.0,1.0,138.0,108.0,76.0,9,9,14,8,25,8,4,2,2,33.0,Danish_Superliga,2023_2024
Viborg,3,32,32,"2,880",32,48.0,1.0,147.0,100.0,68.0,11,7,14,4,12,1,1,0,0,0.0,Danish_Superliga,2023_2024
Čukarički,2,37,37,"3,330",37,,,,,,15,15,7,14,37,4,4,0,0,0.0,Serbian_SuperLiga,2021_2022
FK Kolubara,4,37,37,"3,330",37,,,,,,14,4,19,10,27,3,3,0,0,0.0,Serbian_SuperLiga,2021_2022
Metalac GM,3,37,37,"3,330",37,,,,,,8,9,20,6,16,4,4,0,0,0.0,Serbian_SuperLiga,2021_2022
Mladost Lučani,3,37,37,"3,330",37,,,,,,12,9,16,11,29,3,3,0,0,0.0,Serbian_SuperLiga,2021_2022
Napredak Kruš,4,37,37,"3,330",37,,,,,,10,8,19,10,27,3,3,0,0,0.0,Serbian_SuperLiga,2021_2022
Novi Pazar,3,37,37,"3,330",37,,,,,,10,11,16,7,18,9,9,0,0,0.0,Serbian_SuperLiga,2021_2022
Partizan,3,37,37,"3,330",37,,,,,,31,5,1,25,67,0,0,0,0,,Serbian_SuperLiga,2021_2022
Proleter NS,2,37,37,"3,330",37,,,,,,8,8,20,11,29,4,4,0,0,0.0,Serbian_SuperLiga,2021_2022
Radnički Kragujevac,5,37,37,"3,330",37,,,,,,9,8,20,8,21,5,5,0,0,0.0,Serbian_SuperLiga,2021_2022
Radnički Niš,3,37,37,"3,330",37,,,,,,11,15,10,14,37,7,7,0,0,0.0,Serbian_SuperLiga,2021_2022
Radnik Surdulica,3,37,37,"3,330",37,,,,,,12,15,10,15,40,2,1,1,0,50.0,Serbian_SuperLiga,2021_2022
Red Star,3,37,37,"3,330",37,,,,,,32,4,1,20,54,0,0,0,0,,Serbian_SuperLiga,2021_2022
Spartak Subotic,4,37,37,"3,330",37,,,,,,12,8,17,6,16,4,4,0,0,0.0,Serbian_SuperLiga,2021_2022
TSC Bačka Top,2,37,37,"3,330",37,,,,,,13,9,15,8,21,2,2,0,0,0.0,Serbian_SuperLiga,2021_2022
Vojvodina,3,37,37,"3,330",37,,,,,,13,6,18,8,21,3,3,0,0,0.0,Serbian_SuperLiga,2021_2022
Voždovac,2,37,37,"3,240",37,,,,,,13,10,14,10,27,5,5,0,0,0.0,Serbian_SuperLiga,2021_2022
Čukarički,4,37,37,"3,330",37,,,,,,16,9,12,9,24,5,4,0,1,0.0,Serbian_SuperLiga,2023_2024
FK IMT Novi Beograd,4,37,37,"3,330",37,,,,,,11,9,17,8,21,9,8,0,1,0.0,Serbian_SuperLiga,2023_2024
FK Železničar Pančevo,4,37,37,"3,330",37,,,,,,10,9,18,4,10,5,4,1,0,20.0,Serbian_SuperLiga,2023_2024
Javor Ivanjica,3,37,37,"3,325",37,,,,,,11,7,19,8,21,7,6,1,0,14.0,Serbian_SuperLiga,2023_2024
Mladost Lučani,3,37,37,"3,330",37,,,,,,13,7,17,13,35,5,4,1,0,20.0,Serbian_SuperLiga,2023_2024
