squad,country,season,uefa_rating,confederation,overall_uefa_rating,uefa_season_ranking,overall_uefa_club_rank
Athletic Club,Spain,2021_2022,-1,UEFA,0,-1,102
Osasuna,Spain,2021_2022,-1,UEFA,2,-1,90
Viborg,Denmark,2021_2022,-1,UEFA,2,-1,90
Gil Vicente FC,Portugal,2021_2022,-1,UEFA,2,-1,90
Santa Clara,Portugal,2021_2022,2,UEFA,2,61,90
FC Copenhagen,Portugal,2021_2022,2,UEFA,72,61,4
Charleroi,Belgium,2021_2022,-1,UEFA,0,-1,102
Rio Ave,Portugal,2021_2022,-1,UEFA,0,-1,102
Heidenheim,Germany,2021_2022,-1,UEFA,0,-1,102
Wisła Kraków,Poland,2021_2022,-1,UEFA,0,-1,102
Cercle Brugge,Belgium,2021_2022,-1,UEFA,0,-1,102
Jagiellonia,Poland,2021_2022,-1,UEFA,0,-1,102
Arouca,Portugal,2021_2022,-1,UEFA,2,-1,95
Willem II,Netherlands,2021_2022,-1,UEFA,0,-1,102
Reims,France,2021_2022,-1,UEFA,0,-1,102
SønderjyskE,Denmark,2021_2022,-1,UEFA,0,-1,102
Piast Gliwice,Poland,2021_2022,-1,UEFA,0,-1,102
Arda,Bulgaria,2021_2022,1,UEFA,1,69,98
OFI Crete,Greece,2021_2022,-1,UEFA,0,-1,102
Lechia Gdańsk,Poland,2021_2022,-1,UEFA,1,-1,98
Hartberg,Austria,2021_2022,-1,UEFA,0,-1,102
Gaziantep FK,Serbia,2021_2022,-1,UEFA,8,-1,68
Cherno More,Bulgaria,2021_2022,-1,UEFA,0,-1,102
Go Ahead Eag,Netherlands,2021_2022,-1,UEFA,0,-1,102
Radnički Kragujevac,Serbia,2021_2022,-1,UEFA,0,-1,102
Slavia Sofia,Bulgaria,2021_2022,-1,UEFA,0,-1,102
Cracovia,Poland,2021_2022,-1,UEFA,0,-1,102
Mainz 05,Germany,2021_2022,-1,UEFA,0,-1,102
Zagłębie Lubin,Poland,2021_2022,-1,UEFA,0,-1,102
Southampton,England,2021_2022,-1,UEFA,0,-1,102
Celta Vigo,Spain,2021_2022,-1,UEFA,0,-1,102
Heracles Almelo,Netherlands,2021_2022,-1,UEFA,0,-1,102
PAS Giannina,Greece,2021_2022,-1,UEFA,0,-1,102
Sassuolo,Italy,2021_2022,-1,UEFA,0,-1,102
Beroe,Bulgaria,2021_2022,-1,UEFA,0,-1,102
Everton,England,2021_2022,-1,UEFA,0,-1,102
Hertha BSC,Germany,2021_2022,-1,UEFA,0,-1,102
No Match,Greece,2021_2022,-1,UEFA,0,-1,102
Lyngby,Denmark,2021_2022,-1,UEFA,0,-1,102
Marítimo,Portugal,2021_2022,-1,UEFA,0,-1,102
Oostende,Belgium,2021_2022,-1,UEFA,0,-1,102
Zulte Waregem,Belgium,2021_2022,-1,UEFA,0,-1,102
SCR Altach,Austria,2021_2022,-1,UEFA,0,-1,102
No Match,Poland,2021_2022,-1,UEFA,0,-1,102
Mladost Lučani,Serbia,2021_2022,-1,UEFA,0,-1,102
No Match,Bulgaria,2021_2022,-1,UEFA,0,-1,102
Schalke 04,Germany,2021_2022,-1,UEFA,0,-1,102
Bordeaux,France,2021_2022,-1,UEFA,0,-1,102
Górnik Zabrze,Poland,2021_2022,-1,UEFA,0,-1,102
Admira,Austria,2021_2022,-1,UEFA,0,-1,102
Burnley,England,2021_2022,-1,UEFA,0,-1,102
Asteras Tripoli,Greece,2021_2022,-1,UEFA,0,-1,102
Spartak Subotic,Serbia,2021_2022,-1,UEFA,0,-1,102
Utrecht,Netherlands,2021_2022,-1,UEFA,0,-1,102
Torino,Italy,2021_2022,-1,UEFA,0,-1,102
Wolves,England,2021_2022,-1,UEFA,0,-1,102
Saint-Étienne,France,2021_2022,-1,UEFA,0,-1,102
Strasbourg,France,2021_2022,-1,UEFA,0,-1,102
Barcelona,Spain,2021_2022,-1,UEFA,47,-1,19
Valencia,Spain,2021_2022,-1,UEFA,0,-1,102
Atromitos,Greece,2021_2022,-1,UEFA,0,-1,102
No Match,Denmark,2021_2022,-1,UEFA,0,-1,102
Getafe,Spain,2021_2022,-1,UEFA,0,-1,102
Manchester City,England,2022_2023,33,UEFA,88,1,2
Real Madrid,Spain,2022_2023,29,UEFA,93,2,1
Bayern Munich,Germany,2022_2023,27,UEFA,81,5,3
Liverpool,England,2022_2023,19,UEFA,72,13,5
Roma,Italy,2022_2023,22,UEFA,66,9,8
Paris S-G,France,2022_2023,19,UEFA,61,13,10
Dortmund,Germany,2022_2023,18,UEFA,57,19,12
Inter,Italy,2022_2023,29,UEFA,67,2,7
Villarreal,Spain,2022_2023,12,UEFA,52,34,14
Chelsea,England,2022_2023,21,UEFA,46,10,22
Leverkusen,Germany,2022_2023,19,UEFA,62,13,9
Benfica,Portugal,2022_2023,25,UEFA,59,6,11
RB Leipzig,Germany,2022_2023,18,UEFA,53,19,13
Atlético Madrid,Spain,2022_2023,8,UEFA,51,42,15
Porto,Portugal,2022_2023,18,UEFA,47,19,19
Manchester Utd,England,2022_2023,19,UEFA,44,13,24
Barcelona,Spain,2022_2023,9,UEFA,47,40,19
West Ham,England,2022_2023,29,UEFA,69,2,6
Arsenal,England,2022_2023,17,UEFA,39,23,30
Atalanta,Italy,2022_2023,-1,UEFA,44,-1,24
