squad,country,season,uefa_rating,confederation,overall_uefa_rating,uefa_season_ranking,overall_uefa_club_rank
Charleroi,Belgium,2023_2024,-1,UEFA,0,-1,102
Rio Ave,Portugal,2023_2024,-1,UEFA,0,-1,102
Heidenheim,Germany,2023_2024,-1,UEFA,0,-1,102
Wisła Kraków,Poland,2023_2024,-1,UEFA,0,-1,102
Cercle Brugge,Belgium,2023_2024,-1,UEFA,0,-1,102
Jagiellonia,Poland,2023_2024,-1,UEFA,0,-1,102
Arouca,Portugal,2023_2024,2,UEFA,2,70,95
Willem II,Netherlands,2023_2024,-1,UEFA,0,-1,102
Reims,France,2023_2024,-1,UEFA,0,-1,102
SønderjyskE,Denmark,2023_2024,-1,UEFA,0,-1,102
Piast Gliwice,Poland,2023_2024,-1,UEFA,0,-1,102
Arda,Bulgaria,2023_2024,-1,UEFA,1,-1,98
OFI Crete,Greece,2023_2024,-1,UEFA,0,-1,102
Lechia Gdańsk,Poland,2023_2024,-1,UEFA,1,-1,98
Hartberg,Austria,2023_2024,-1,UEFA,0,-1,102
Gaziantep FK,Serbia,2023_2024,-1,UEFA,8,-1,68
Cherno More,Bulgaria,2023_2024,-1,UEFA,0,-1,102
Go Ahead Eag,Netherlands,2023_2024,-1,UEFA,0,-1,102
Radnički Kragujevac,Serbia,2023_2024,-1,UEFA,0,-1,102
Slavia Sofia,Bulgaria,2023_2024,-1,UEFA,0,-1,102
Cracovia,Poland,2023_2024,-1,UEFA,0,-1,102
Mainz 05,Germany,2023_2024,-1,UEFA,0,-1,102
Zagłębie Lubin,Poland,2023_2024,-1,UEFA,0,-1,102
Southampton,England,2023_2024,-1,UEFA,0,-1,102
Celta Vigo,Spain,2023_2024,-1,UEFA,0,-1,102
Heracles Almelo,Netherlands,2023_2024,-1,UEFA,0,-1,102
PAS Giannina,Greece,2023_2024,-1,UEFA,0,-1,102
Sassuolo,Italy,2023_2024,-1,UEFA,0,-1,102
Beroe,Bulgaria,2023_2024,-1,UEFA,0,-1,102
Everton,England,2023_2024,-1,UEFA,0,-1,102
Hertha BSC,Germany,2023_2024,-1,UEFA,0,-1,102
No Match,Greece,2023_2024,-1,UEFA,0,-1,102
Lyngby,Denmark,2023_2024,-1,UEFA,0,-1,102
Marítimo,Portugal,2023_2024,-1,UEFA,0,-1,102
Oostende,Belgium,2023_2024,-1,UEFA,0,-1,102
Zulte Waregem,Belgium,2023_2024,-1,UEFA,0,-1,102
SCR Altach,Austria,2023_2024,-1,UEFA,0,-1,102
No Match,Poland,2023_2024,-1,UEFA,0,-1,102
Mladost Lučani,Serbia,2023_2024,-1,UEFA,0,-1,102
No Match,Bulgaria,2023_2024,-1,UEFA,0,-1,102
Schalke 04,Germany,2023_2024,-1,UEFA,0,-1,102
Bordeaux,France,2023_2024,-1,UEFA,0,-1,102
Górnik Zabrze,Poland,2023_2024,-1,UEFA,0,-1,102
Admira,Austria,2023_2024,-1,UEFA,0,-1,102
Burnley,England,2023_2024,-1,UEFA,0,-1,102
Asteras Tripoli,Greece,2023_2024,-1,UEFA,0,-1,102
Spartak Subotic,Serbia,2023_2024,-1,UEFA,0,-1,102
Utrecht,Netherlands,2023_2024,-1,UEFA,0,-1,102
Torino,Italy,2023_2024,-1,UEFA,0,-1,102
Wolves,England,2023_2024,-1,UEFA,0,-1,102
Saint-Étienne,France,2023_2024,-1,UEFA,0,-1,102
Strasbourg,France,2023_2024,-1,UEFA,0,-1,102
Barcelona,Spain,2023_2024,-1,UEFA,47,-1,19
Valencia,Spain,2023_2024,-1,UEFA,0,-1,102
Atromitos,Greece,2023_2024,-1,UEFA,0,-1,102
No Match,Denmark,2023_2024,-1,UEFA,0,-1,102
Getafe,Spain,2023_2024,-1,UEFA,0,-1,102
