squad,#_of_players,90s_played,goals,shots_total,shots_on_target,shots_on_target_%,shots_total/90,shots_on_target/90,goals/shot,goals/shot_on_target,average_shot_distance,penalty_kicks_made,penalty_kicks_attempted,league,season,shots_from_free_kicks,xg:_expected_goals,npxg:_non-penalty_xg,npxg/shot,goals_-_xg,non-penalty_goals_-_npxg
Piast Gliwice,25,34,34,,,,,,,,,3,4,Ekstraklasa,2022_2023,,,,,,
Pogoń Szczecin,30,34,53,,,,,,,,,9,9,Ekstraklasa,2022_2023,,,,,,
Radomiak Radom,33,34,33,,,,,,,,,4,5,Ekstraklasa,2022_2023,,,,,,
RKS Raków,30,34,60,,,,,,,,,6,6,Ekstraklasa,2022_2023,,,,,,
Śląsk Wrocław,29,34,32,,,,,,,,,3,5,Ekstraklasa,2022_2023,,,,,,
Stal Mielec,26,34,34,,,,,,,,,3,5,Ekstraklasa,2022_2023,,,,,,
Warta Poznań,29,34,35,,,,,,,,,2,3,Ekstraklasa,2022_2023,,,,,,
Widzew Łódź,27,34,38,,,,,,,,,5,7,Ekstraklasa,2022_2023,,,,,,
Wisła Płock,33,34,41,,,,,,,,,2,3,Ekstraklasa,2022_2023,,,,,,
Zagłębie Lubin,31,34,34,,,,,,,,,1,3,Ekstraklasa,2022_2023,,,,,,
Adana Demirspor,44,38,53,525.0,187.0,35.0,13.0,4.0,0.0,0.0,,8,8,Super_Lig,2023_2024,,,,,,
Alanyaspor,25,38,52,449.0,152.0,33.0,11.0,4.0,0.0,0.0,,5,7,Super_Lig,2023_2024,,,,,,
Ankaragücü,31,38,45,456.0,155.0,34.0,12.0,4.0,0.0,0.0,,4,5,Super_Lig,2023_2024,,,,,,
Antalyaspor,27,38,43,502.0,150.0,29.0,13.0,3.0,0.0,0.0,,4,5,Super_Lig,2023_2024,,,,,,
Başakşehir,35,38,55,443.0,161.0,36.0,11.0,4.0,0.0,0.0,,5,6,Super_Lig,2023_2024,,,,,,
Beşiktaş,37,38,51,514.0,177.0,34.0,13.0,4.0,0.0,0.0,,3,6,Super_Lig,2023_2024,,,,,,
Fatih Karagümrük,35,38,47,463.0,154.0,33.0,12.0,4.0,0.0,0.0,,2,3,Super_Lig,2023_2024,,,,,,
Fenerbahçe,33,38,95,668.0,266.0,39.0,17.0,7.0,0.0,0.0,,12,17,Super_Lig,2023_2024,,,,,,
Galatasaray,32,38,90,747.0,256.0,34.0,19.0,6.0,0.0,0.0,,11,13,Super_Lig,2023_2024,,,,,,
Gaziantep FK,30,38,48,430.0,148.0,34.0,11.0,3.0,0.0,0.0,,3,6,Super_Lig,2023_2024,,,,,,
Hatayspor,33,38,44,417.0,145.0,34.0,10.0,3.0,0.0,0.0,,5,7,Super_Lig,2023_2024,,,,,,
İstanbulspor,34,38,28,393.0,143.0,36.0,10.0,3.0,0.0,0.0,,1,3,Super_Lig,2023_2024,,,,,,
Kasımpaşa,32,38,59,538.0,174.0,32.0,14.0,4.0,0.0,0.0,,5,6,Super_Lig,2023_2024,,,,,,
Kayserispor,33,38,42,458.0,147.0,32.0,12.0,3.0,0.0,0.0,,5,6,Super_Lig,2023_2024,,,,,,
Konyaspor,36,38,40,416.0,127.0,30.0,10.0,3.0,0.0,0.0,,9,9,Super_Lig,2023_2024,,,,,,
Pendikspor,35,38,42,450.0,145.0,32.0,11.0,3.0,0.0,0.0,,5,7,Super_Lig,2023_2024,,,,,,
Rizespor,29,38,47,487.0,154.0,31.0,12.0,4.0,0.0,0.0,,1,2,Super_Lig,2023_2024,,,,,,
Samsunspor,33,38,41,461.0,142.0,30.0,12.0,3.0,0.0,0.0,,7,8,Super_Lig,2023_2024,,,,,,
Sivasspor,34,38,46,436.0,173.0,39.0,11.0,4.0,0.0,0.0,,5,5,Super_Lig,2023_2024,,,,,,
Trabzonspor,33,38,66,517.0,170.0,32.0,13.0,4.0,0.0,0.0,,4,4,Super_Lig,2023_2024,,,,,,
Atalanta,32,38,62,598.0,167.0,27.0,15.0,4.0,0.0,0.0,16.0,5,6,Serie_A,2021_2022,16.0,62.0,58.0,0.0,0.0,-1.0
Bologna,36,38,43,434.0,143.0,32.0,11.0,3.0,0.0,0.0,18.0,4,5,Serie_A,2021_2022,14.0,44.0,41.0,0.0,-1.0,-2.0
Cagliari,33,38,34,420.0,117.0,27.0,11.0,3.0,0.0,0.0,17.0,3,4,Serie_A,2021_2022,17.0,39.0,36.0,0.0,-5.0,-5.0
Empoli,28,38,47,490.0,151.0,30.0,12.0,3.0,0.0,0.0,18.0,7,7,Serie_A,2021_2022,16.0,44.0,39.0,0.0,2.0,0.0
Fiorentina,28,38,59,501.0,172.0,34.0,13.0,4.0,0.0,0.0,17.0,9,12,Serie_A,2021_2022,25.0,60.0,50.0,0.0,-1.0,0.0
Genoa,40,38,26,397.0,106.0,26.0,10.0,2.0,0.0,0.0,18.0,6,7,Serie_A,2021_2022,12.0,37.0,31.0,0.0,-11.0,-11.0
Hellas Verona,31,38,63,455.0,152.0,33.0,11.0,4.0,0.0,0.0,16.0,7,8,Serie_A,2021_2022,15.0,50.0,44.0,0.0,12.0,11.0
Inter,27,38,83,667.0,239.0,35.0,17.0,6.0,0.0,0.0,15.0,7,11,Serie_A,2021_2022,13.0,81.0,73.0,0.0,1.0,2.0
Juventus,32,38,56,517.0,166.0,32.0,13.0,4.0,0.0,0.0,17.0,5,6,Serie_A,2021_2022,18.0,51.0,46.0,0.0,4.0,4.0
Lazio,27,38,74,445.0,185.0,41.0,11.0,4.0,0.0,0.0,17.0,7,9,Serie_A,2021_2022,14.0,55.0,48.0,0.0,18.0,18.0
Milan,28,38,66,592.0,187.0,31.0,15.0,4.0,0.0,0.0,18.0,5,8,Serie_A,2021_2022,23.0,59.0,54.0,0.0,6.0,6.0
Napoli,27,38,74,565.0,186.0,32.0,14.0,4.0,0.0,0.0,18.0,10,14,Serie_A,2021_2022,25.0,57.0,46.0,0.0,16.0,17.0
Roma,29,38,58,592.0,184.0,31.0,15.0,4.0,0.0,0.0,17.0,7,9,Serie_A,2021_2022,21.0,65.0,58.0,0.0,-7.0,-7.0
Salernitana,42,38,32,426.0,130.0,30.0,11.0,3.0,0.0,0.0,18.0,4,5,Serie_A,2021_2022,20.0,36.0,32.0,0.0,-4.0,-4.0
Sampdoria,34,38,42,386.0,118.0,30.0,10.0,3.0,0.0,0.0,18.0,2,4,Serie_A,2021_2022,12.0,36.0,33.0,0.0,5.0,6.0
Sassuolo,29,38,60,569.0,204.0,35.0,14.0,5.0,0.0,0.0,18.0,7,7,Serie_A,2021_2022,14.0,55.0,50.0,0.0,4.0,2.0
Spezia,30,38,38,381.0,127.0,33.0,10.0,3.0,0.0,0.0,18.0,3,5,Serie_A,2021_2022,17.0,40.0,36.0,0.0,-2.0,-1.0
Torino,31,38,43,470.0,142.0,30.0,12.0,3.0,0.0,0.0,17.0,6,6,Serie_A,2021_2022,16.0,48.0,44.0,0.0,-5.0,-7.0
Udinese,29,38,58,505.0,181.0,35.0,13.0,4.0,0.0,0.0,17.0,3,4,Serie_A,2021_2022,19.0,51.0,48.0,0.0,6.0,6.0
Venezia,39,38,34,349.0,113.0,32.0,9.0,2.0,0.0,0.0,18.0,3,5,Serie_A,2021_2022,22.0,36.0,32.0,0.0,-2.0,-1.0
Cracovia,29,34,42,,,,,,,,,3,5,Ekstraklasa,2023_2024,,,,,,
Górnik Zabrze,26,34,44,,,,,,,,,4,4,Ekstraklasa,2023_2024,,,,,,
Jagiellonia,27,34,74,,,,,,,,,8,9,Ekstraklasa,2023_2024,,,,,,
Korona Kielce,28,34,38,,,,,,,,,4,4,Ekstraklasa,2023_2024,,,,,,
Lech Poznań,26,34,47,,,,,,,,,3,3,Ekstraklasa,2023_2024,,,,,,
Legia Warsaw,30,34,49,,,,,,,,,7,9,Ekstraklasa,2023_2024,,,,,,
Piast Gliwice,29,34,36,,,,,,,,,8,9,Ekstraklasa,2023_2024,,,,,,
Pogoń Szczecin,29,34,55,,,,,,,,,5,7,Ekstraklasa,2023_2024,,,,,,
Puszcza Niepołomice,33,34,39,,,,,,,,,8,8,Ekstraklasa,2023_2024,,,,,,
Radomiak Radom,34,34,39,,,,,,,,,1,5,Ekstraklasa,2023_2024,,,,,,
RKS Raków,34,34,50,,,,,,,,,5,8,Ekstraklasa,2023_2024,,,,,,
Ruch Chorzów,37,34,39,,,,,,,,,5,6,Ekstraklasa,2023_2024,,,,,,
Śląsk Wrocław,31,34,50,,,,,,,,,8,9,Ekstraklasa,2023_2024,,,,,,
Stal Mielec,26,34,42,,,,,,,,,2,3,Ekstraklasa,2023_2024,,,,,,
Warta Poznań,30,34,31,,,,,,,,,5,6,Ekstraklasa,2023_2024,,,,,,
Widzew Łódź,29,34,43,,,,,,,,,4,5,Ekstraklasa,2023_2024,,,,,,
Zagłębie Lubin,26,34,43,,,,,,,,,2,3,Ekstraklasa,2023_2024,,,,,,
Łódzki KS,37,34,34,,,,,,,,,8,8,Ekstraklasa,2023_2024,,,,,,
Augsburg,34,34,41,354.0,101.0,28.0,10.0,2.0,0.0,0.0,18.0,4,5,Bundesliga,2022_2023,14.0,34.0,30.0,0.0,6.0,6.0
Bayern Munich,28,34,90,625.0,251.0,40.0,18.0,7.0,0.0,0.0,16.0,3,5,Bundesliga,2022_2023,10.0,75.0,71.0,0.0,15.0,16.0
Bochum,26,34,37,397.0,127.0,32.0,11.0,3.0,0.0,0.0,18.0,3,3,Bundesliga,2022_2023,11.0,40.0,37.0,0.0,-3.0,-3.0
Dortmund,30,34,81,558.0,219.0,39.0,16.0,6.0,0.0,0.0,16.0,4,6,Bundesliga,2022_2023,20.0,71.0,66.0,0.0,9.0,10.0
Eint Frankfurt,28,34,56,399.0,132.0,33.0,11.0,3.0,0.0,0.0,16.0,6,6,Bundesliga,2022_2023,14.0,52.0,47.0,0.0,3.0,2.0
Freiburg,27,34,51,412.0,167.0,40.0,12.0,4.0,0.0,0.0,17.0,7,8,Bundesliga,2022_2023,16.0,47.0,41.0,0.0,3.0,2.0
Gladbach,27,34,52,403.0,166.0,41.0,11.0,4.0,0.0,0.0,17.0,4,6,Bundesliga,2022_2023,12.0,52.0,47.0,0.0,0.0,0.0
Hertha BSC,32,34,42,377.0,121.0,32.0,11.0,3.0,0.0,0.0,18.0,7,7,Bundesliga,2022_2023,11.0,39.0,33.0,0.0,2.0,1.0
Hoffenheim,31,34,46,398.0,130.0,32.0,11.0,3.0,0.0,0.0,17.0,7,9,Bundesliga,2022_2023,16.0,48.0,41.0,0.0,-2.0,-2.0
Köln,27,34,46,413.0,146.0,35.0,12.0,4.0,0.0,0.0,16.0,4,4,Bundesliga,2022_2023,6.0,47.0,44.0,0.0,-1.0,-2.0
Leverkusen,27,34,57,432.0,160.0,37.0,12.0,4.0,0.0,0.0,17.0,5,7,Bundesliga,2022_2023,16.0,51.0,46.0,0.0,5.0,6.0
Mainz 05,27,34,54,414.0,152.0,36.0,12.0,4.0,0.0,0.0,17.0,4,6,Bundesliga,2022_2023,17.0,47.0,42.0,0.0,6.0,7.0
RB Leipzig,25,34,64,497.0,182.0,36.0,14.0,5.0,0.0,0.0,17.0,6,7,Bundesliga,2022_2023,18.0,62.0,57.0,0.0,1.0,0.0
Schalke 04,35,34,32,421.0,123.0,29.0,12.0,3.0,0.0,0.0,17.0,4,5,Bundesliga,2022_2023,19.0,39.0,35.0,0.0,-7.0,-7.0
Stuttgart,30,34,45,457.0,140.0,30.0,13.0,4.0,0.0,0.0,17.0,5,5,Bundesliga,2022_2023,14.0,47.0,43.0,0.0,-2.0,-3.0
Union Berlin,28,34,49,374.0,113.0,30.0,11.0,3.0,0.0,0.0,17.0,3,7,Bundesliga,2022_2023,5.0,37.0,32.0,0.0,11.0,13.0
Werder Bremen,25,34,50,363.0,136.0,37.0,10.0,4.0,0.0,0.0,17.0,5,6,Bundesliga,2022_2023,18.0,41.0,36.0,0.0,8.0,8.0
Wolfsburg,28,34,55,401.0,138.0,34.0,11.0,4.0,0.0,0.0,16.0,4,7,Bundesliga,2022_2023,11.0,51.0,45.0,0.0,3.0,5.0
AEK Athens,30,36,78,,,,,,,,,7,9,Super_League_Greece,2023_2024,,,,,,
AO Kifisia,35,33,34,,,,,,,,,6,7,Super_League_Greece,2023_2024,,,,,,
Aris,33,36,50,,,,,,,,,6,7,Super_League_Greece,2023_2024,,,,,,
Asteras Tripoli,33,33,40,,,,,,,,,3,5,Super_League_Greece,2023_2024,,,,,,
Atromitos,27,33,35,,,,,,,,,5,7,Super_League_Greece,2023_2024,,,,,,
OFI Crete,30,33,35,,,,,,,,,4,6,Super_League_Greece,2023_2024,,,,,,
Olympiacos,36,36,72,,,,,,,,,10,14,Super_League_Greece,2023_2024,,,,,,
Panathinaikos,32,36,78,,,,,,,,,10,12,Super_League_Greece,2023_2024,,,,,,
Panetolikos,30,33,36,,,,,,,,,2,2,Super_League_Greece,2023_2024,,,,,,
Panserraikos,32,33,36,,,,,,,,,7,9,Super_League_Greece,2023_2024,,,,,,
PAOK,28,36,84,,,,,,,,,4,8,Super_League_Greece,2023_2024,,,,,,
PAS Giannina,34,33,33,,,,,,,,,4,4,Super_League_Greece,2023_2024,,,,,,
PAS Lamia,32,36,42,,,,,,,,,2,4,Super_League_Greece,2023_2024,,,,,,
Volos NFC,33,33,33,,,,,,,,,5,7,Super_League_Greece,2023_2024,,,,,,
Čukarički,33,37,53,,,,,,,,,6,6,Serbian_SuperLiga,2021_2022,,,,,,
FK Kolubara,35,37,42,,,,,,,,,0,0,Serbian_SuperLiga,2021_2022,,,,,,
Metalac GM,33,37,41,,,,,,,,,2,2,Serbian_SuperLiga,2021_2022,,,,,,
Mladost Lučani,39,37,45,,,,,,,,,2,2,Serbian_SuperLiga,2021_2022,,,,,,
Napredak Kruš,35,37,28,,,,,,,,,2,2,Serbian_SuperLiga,2021_2022,,,,,,
Novi Pazar,38,37,39,,,,,,,,,3,3,Serbian_SuperLiga,2021_2022,,,,,,
Partizan,32,37,83,,,,,,,,,8,8,Serbian_SuperLiga,2021_2022,,,,,,
Proleter NS,37,37,26,,,,,,,,,1,1,Serbian_SuperLiga,2021_2022,,,,,,
Radnički Kragujevac,42,37,29,,,,,,,,,3,3,Serbian_SuperLiga,2021_2022,,,,,,
Radnički Niš,34,37,36,,,,,,,,,7,7,Serbian_SuperLiga,2021_2022,,,,,,
Radnik Surdulica,31,37,37,,,,,,,,,2,2,Serbian_SuperLiga,2021_2022,,,,,,
Red Star,36,37,95,,,,,,,,,5,6,Serbian_SuperLiga,2021_2022,,,,,,
Spartak Subotic,43,37,43,,,,,,,,,7,7,Serbian_SuperLiga,2021_2022,,,,,,
TSC Bačka Top,33,37,50,,,,,,,,,2,2,Serbian_SuperLiga,2021_2022,,,,,,
Vojvodina,29,37,39,,,,,,,,,6,6,Serbian_SuperLiga,2021_2022,,,,,,
Voždovac,30,37,47,,,,,,,,,1,1,Serbian_SuperLiga,2021_2022,,,,,,
Almería,29,38,49,439.0,155.0,35.0,11.0,4.0,0.0,0.0,18.0,2,3,La_Liga,2022_2023,21.0,45.0,43.0,0.0,3.0,3.0
Athletic Club,26,38,46,541.0,157.0,29.0,14.0,4.0,0.0,0.0,17.0,5,7,La_Liga,2022_2023,13.0,54.0,48.0,0.0,-8.0,-7.0
Atlético Madrid,27,38,68,538.0,195.0,36.0,14.0,5.0,0.0,0.0,17.0,1,1,La_Liga,2022_2023,9.0,61.0,61.0,0.0,6.0,5.0
Barcelona,29,38,69,570.0,187.0,32.0,15.0,4.0,0.0,0.0,15.0,0,2,La_Liga,2022_2023,20.0,75.0,74.0,0.0,-6.0,-5.0
Betis,30,38,43,411.0,138.0,33.0,10.0,3.0,0.0,0.0,18.0,8,9,La_Liga,2022_2023,21.0,51.0,44.0,0.0,-8.0,-9.0
Cádiz,38,38,29,390.0,108.0,27.0,10.0,2.0,0.0,0.0,18.0,4,5,La_Liga,2022_2023,12.0,41.0,37.0,0.0,-12.0,-12.0
Celta Vigo,26,38,41,470.0,160.0,34.0,12.0,4.0,0.0,0.0,19.0,2,3,La_Liga,2022_2023,19.0,42.0,40.0,0.0,-1.0,-1.0
Elche,32,38,30,400.0,124.0,31.0,10.0,3.0,0.0,0.0,16.0,4,5,La_Liga,2022_2023,10.0,37.0,33.0,0.0,-7.0,-7.0
Espanyol,33,38,51,417.0,151.0,36.0,10.0,3.0,0.0,0.0,17.0,5,5,La_Liga,2022_2023,13.0,48.0,44.0,0.0,2.0,1.0
Getafe,25,38,34,365.0,116.0,31.0,9.0,3.0,0.0,0.0,18.0,5,8,La_Liga,2022_2023,19.0,36.0,30.0,0.0,-2.0,-1.0
Girona,29,38,55,446.0,160.0,35.0,11.0,4.0,0.0,0.0,17.0,8,9,La_Liga,2022_2023,6.0,50.0,43.0,0.0,4.0,3.0
Mallorca,31,38,36,324.0,107.0,33.0,8.0,2.0,0.0,0.0,17.0,4,5,La_Liga,2022_2023,8.0,35.0,31.0,0.0,0.0,0.0
Osasuna,26,38,36,441.0,133.0,30.0,11.0,3.0,0.0,0.0,18.0,4,5,La_Liga,2022_2023,7.0,39.0,35.0,0.0,-3.0,-3.0
Rayo Vallecano,28,38,41,510.0,146.0,28.0,13.0,3.0,0.0,0.0,20.0,4,8,La_Liga,2022_2023,24.0,43.0,37.0,0.0,-2.0,0.0
Real Madrid,26,38,73,634.0,206.0,32.0,16.0,5.0,0.0,0.0,18.0,9,12,La_Liga,2022_2023,32.0,75.0,66.0,0.0,-2.0,-2.0
Real Sociedad,30,38,47,465.0,173.0,37.0,12.0,4.0,0.0,0.0,17.0,2,4,La_Liga,2022_2023,15.0,52.0,49.0,0.0,-5.0,-4.0
Sevilla,35,38,47,463.0,141.0,30.0,12.0,3.0,0.0,0.0,18.0,4,5,La_Liga,2022_2023,17.0,46.0,42.0,0.0,0.0,0.0
Valencia,28,38,40,480.0,140.0,29.0,12.0,3.0,0.0,0.0,17.0,5,8,La_Liga,2022_2023,18.0,49.0,43.0,0.0,-9.0,-8.0
Valladolid,36,38,32,443.0,137.0,30.0,11.0,3.0,0.0,0.0,19.0,3,4,La_Liga,2022_2023,19.0,38.0,35.0,0.0,-6.0,-6.0
Villarreal,32,38,57,499.0,188.0,37.0,13.0,4.0,0.0,0.0,18.0,4,7,La_Liga,2022_2023,22.0,61.0,56.0,0.0,-4.0,-3.0
Anderlecht,25,34,70,496.0,176.0,35.0,14.0,5.0,0.0,0.0,16.0,7,7,Belgian_Pro_League,2021_2022,17.0,73.0,68.0,0.0,-3.0,-5.0
Antwerp,31,34,53,433.0,152.0,35.0,12.0,4.0,0.0,0.0,17.0,2,5,Belgian_Pro_League,2021_2022,13.0,49.0,45.0,0.0,3.0,5.0
Beerschot,33,34,31,378.0,123.0,32.0,11.0,3.0,0.0,0.0,18.0,3,5,Belgian_Pro_League,2021_2022,10.0,37.0,32.0,0.0,-6.0,-4.0
Cercle Brugge,25,34,49,460.0,155.0,33.0,13.0,4.0,0.0,0.0,17.0,6,6,Belgian_Pro_League,2021_2022,19.0,53.0,49.0,0.0,-4.0,-6.0
Charleroi,34,34,52,463.0,166.0,35.0,13.0,4.0,0.0,0.0,17.0,1,3,Belgian_Pro_League,2021_2022,7.0,51.0,50.0,0.0,0.0,1.0
Club Brugge,31,34,71,529.0,195.0,36.0,15.0,5.0,0.0,0.0,15.0,3,3,Belgian_Pro_League,2021_2022,20.0,72.0,69.0,0.0,-1.0,-1.0
Eupen,34,34,36,408.0,139.0,34.0,12.0,4.0,0.0,0.0,19.0,1,1,Belgian_Pro_League,2021_2022,16.0,43.0,42.0,0.0,-7.0,-7.0
Genk,27,34,65,497.0,187.0,37.0,14.0,5.0,0.0,0.0,16.0,7,9,Belgian_Pro_League,2021_2022,7.0,69.0,62.0,0.0,-4.0,-4.0
Gent,28,34,54,508.0,184.0,36.0,14.0,5.0,0.0,0.0,17.0,2,5,Belgian_Pro_League,2021_2022,14.0,62.0,58.0,0.0,-8.0,-6.0
Kortrijk,32,34,43,411.0,127.0,30.0,12.0,3.0,0.0,0.0,19.0,6,8,Belgian_Pro_League,2021_2022,15.0,45.0,39.0,0.0,-2.0,-2.0
Mechelen,27,33,56,375.0,138.0,36.0,11.0,4.0,0.0,0.0,18.0,2,4,Belgian_Pro_League,2021_2022,11.0,42.0,38.0,0.0,14.0,15.0
OH Leuven,30,33,42,417.0,146.0,35.0,12.0,4.0,0.0,0.0,19.0,4,5,Belgian_Pro_League,2021_2022,6.0,45.0,41.0,0.0,-3.0,-3.0
Oostende,30,34,33,399.0,117.0,29.0,11.0,3.0,0.0,0.0,18.0,2,2,Belgian_Pro_League,2021_2022,10.0,39.0,38.0,0.0,-6.0,-7.0
R.F.C. Seraing,29,34,29,353.0,108.0,30.0,10.0,3.0,0.0,0.0,18.0,2,2,Belgian_Pro_League,2021_2022,14.0,39.0,37.0,0.0,-10.0,-10.0
Sint-Truiden,32,34,40,409.0,127.0,31.0,12.0,3.0,0.0,0.0,19.0,4,5,Belgian_Pro_League,2021_2022,17.0,41.0,37.0,0.0,-1.0,-1.0
Standard Liège,38,34,31,398.0,118.0,29.0,11.0,3.0,0.0,0.0,18.0,3,3,Belgian_Pro_League,2021_2022,19.0,39.0,36.0,0.0,-8.0,-8.0
Union SG,25,34,71,485.0,180.0,37.0,14.0,5.0,0.0,0.0,16.0,6,7,Belgian_Pro_League,2021_2022,10.0,62.0,56.0,0.0,9.0,8.0
Zulte Waregem,27,34,42,364.0,124.0,34.0,10.0,3.0,0.0,0.0,17.0,4,4,Belgian_Pro_League,2021_2022,11.0,38.0,35.0,0.0,4.0,3.0
Arda,30,36,45,,,,,,,,,4,4,Bulgarian_First_League,2022_2023,,,,,,
Beroe,38,35,30,,,,,,,,,4,4,Bulgarian_First_League,2022_2023,,,,,,
Botev Plovdiv,44,36,39,,,,,,,,,4,4,Bulgarian_First_League,2022_2023,,,,,,
Botev Vratsa,32,35,27,,,,,,,,,4,4,Bulgarian_First_League,2022_2023,,,,,,
Cherno More,31,35,38,,,,,,,,,4,4,Bulgarian_First_League,2022_2023,,,,,,
CSKA 1948,34,35,54,,,,,,,,,6,6,Bulgarian_First_League,2022_2023,,,,,,
CSKA Sofia,30,35,64,,,,,,,,,7,7,Bulgarian_First_League,2022_2023,,,,,,
FC Spartak Varna,40,35,31,,,,,,,,,1,1,Bulgarian_First_League,2022_2023,,,,,,
Levski Sofia,28,35,47,,,,,,,,,4,4,Bulgarian_First_League,2022_2023,,,,,,
Loko Plovdiv,31,35,33,,,,,,,,,3,3,Bulgarian_First_League,2022_2023,,,,,,
Lokomotiv Sofia,29,36,36,,,,,,,,,7,7,Bulgarian_First_League,2022_2023,,,,,,
Ludogorets,32,35,80,,,,,,,,,5,5,Bulgarian_First_League,2022_2023,,,,,,
PFC Hebar Pazardzhik,36,35,29,,,,,,,,,2,2,Bulgarian_First_League,2022_2023,,,,,,
Pirin Blagoevgrad,35,35,27,,,,,,,,,6,6,Bulgarian_First_League,2022_2023,,,,,,
Septemvri Sofia,37,35,28,,,,,,,,,3,3,Bulgarian_First_League,2022_2023,,,,,,
Slavia Sofia,30,36,35,,,,,,,,,2,2,Bulgarian_First_League,2022_2023,,,,,,
Arsenal,25,38,86,647.0,209.0,32.0,17.0,5.0,0.0,0.0,15.0,10,10,Premier_League,2023_2024,6.0,76.0,68.0,0.0,9.0,7.0
Aston Villa,31,38,72,511.0,182.0,35.0,13.0,4.0,0.0,0.0,16.0,4,4,Premier_League,2023_2024,15.0,63.0,60.0,0.0,8.0,7.0
Bournemouth,30,38,52,539.0,175.0,32.0,14.0,4.0,0.0,0.0,16.0,2,3,Premier_League,2023_2024,18.0,55.0,53.0,0.0,-3.0,-3.0
Brentford,28,38,54,470.0,159.0,33.0,12.0,4.0,0.0,0.0,15.0,3,3,Premier_League,2023_2024,17.0,58.0,56.0,0.0,-4.0,-5.0
Brighton,30,38,50,555.0,198.0,35.0,14.0,5.0,0.0,0.0,16.0,5,6,Premier_League,2023_2024,11.0,56.0,52.0,0.0,-6.0,-7.0
Burnley,31,38,40,430.0,137.0,31.0,11.0,3.0,0.0,0.0,17.0,3,3,Premier_League,2023_2024,13.0,40.0,38.0,0.0,0.0,-1.0
Chelsea,32,38,76,537.0,194.0,36.0,14.0,5.0,0.0,0.0,17.0,11,12,Premier_League,2023_2024,22.0,74.0,65.0,0.0,1.0,0.0
Crystal Palace,26,38,56,452.0,162.0,35.0,11.0,4.0,0.0,0.0,17.0,4,4,Premier_League,2023_2024,20.0,48.0,45.0,0.0,7.0,6.0
Everton,26,38,40,504.0,152.0,30.0,13.0,4.0,0.0,0.0,16.0,2,3,Premier_League,2023_2024,14.0,54.0,51.0,0.0,-14.0,-13.0
Fulham,25,38,54,499.0,175.0,35.0,13.0,4.0,0.0,0.0,17.0,2,2,Premier_League,2023_2024,14.0,50.0,49.0,0.0,3.0,2.0
Liverpool,30,38,80,781.0,263.0,33.0,20.0,6.0,0.0,0.0,17.0,6,9,Premier_League,2023_2024,18.0,87.0,80.0,0.0,-7.0,-6.0
Luton Town,28,38,49,427.0,134.0,31.0,11.0,3.0,0.0,0.0,16.0,5,5,Premier_League,2023_2024,11.0,42.0,38.0,0.0,6.0,5.0
Manchester City,25,38,94,683.0,264.0,38.0,17.0,6.0,0.0,0.0,17.0,9,10,Premier_League,2023_2024,25.0,80.0,72.0,0.0,13.0,12.0
Manchester Utd,31,38,57,543.0,182.0,33.0,14.0,4.0,0.0,0.0,17.0,6,7,Premier_League,2023_2024,15.0,56.0,51.0,0.0,0.0,0.0
Newcastle Utd,32,38,83,542.0,196.0,36.0,14.0,5.0,0.0,0.0,15.0,8,9,Premier_League,2023_2024,9.0,76.0,69.0,0.0,7.0,6.0
Nott'ham Forest,33,38,49,450.0,143.0,31.0,11.0,3.0,0.0,0.0,17.0,1,1,Premier_League,2023_2024,7.0,49.0,49.0,0.0,0.0,-1.0
Sheffield Utd,35,38,31,360.0,117.0,32.0,9.0,3.0,0.0,0.0,17.0,5,5,Premier_League,2023_2024,8.0,38.0,34.0,0.0,-7.0,-8.0
Tottenham,29,38,69,582.0,207.0,35.0,15.0,5.0,0.0,0.0,16.0,2,2,Premier_League,2023_2024,11.0,68.0,66.0,0.0,0.0,0.0
West Ham,26,38,58,445.0,146.0,32.0,11.0,3.0,0.0,0.0,16.0,4,5,Premier_League,2023_2024,17.0,52.0,48.0,0.0,5.0,5.0
Wolves,27,38,47,425.0,153.0,36.0,11.0,4.0,0.0,0.0,16.0,4,4,Premier_League,2023_2024,12.0,46.0,43.0,0.0,0.0,0.0
Atalanta,29,38,72,539.0,197.0,36.0,14.0,5.0,0.0,0.0,16.0,5,5,Serie_A,2023_2024,6.0,57.0,53.0,0.0,14.0,13.0
Bologna,28,38,52,472.0,159.0,33.0,12.0,4.0,0.0,0.0,18.0,4,5,Serie_A,2023_2024,19.0,47.0,44.0,0.0,4.0,4.0
Cagliari,29,38,41,442.0,127.0,28.0,11.0,3.0,0.0,0.0,17.0,4,6,Serie_A,2023_2024,15.0,42.0,38.0,0.0,-1.0,-1.0
Empoli,34,38,26,413.0,112.0,27.0,10.0,2.0,0.0,0.0,18.0,5,5,Serie_A,2023_2024,22.0,36.0,32.0,0.0,-10.0,-11.0
Fiorentina,30,38,60,515.0,171.0,33.0,13.0,4.0,0.0,0.0,17.0,4,8,Serie_A,2023_2024,13.0,51.0,45.0,0.0,8.0,10.0
Frosinone,34,38,44,460.0,147.0,32.0,12.0,3.0,0.0,0.0,19.0,8,10,Serie_A,2023_2024,18.0,45.0,37.0,0.0,-1.0,-1.0
Genoa,34,38,43,397.0,119.0,30.0,10.0,3.0,0.0,0.0,17.0,5,6,Serie_A,2023_2024,21.0,35.0,31.0,0.0,7.0,7.0
