squad,#_of_players,90s_played,goals,shots_total,shots_on_target,shots_on_target_%,shots_total/90,shots_on_target/90,goals/shot,goals/shot_on_target,average_shot_distance,penalty_kicks_made,penalty_kicks_attempted,league,season,shots_from_free_kicks,xg:_expected_goals,npxg:_non-penalty_xg,npxg/shot,goals_-_xg,non-penalty_goals_-_npxg
Juventus,29,38,56,529.0,171.0,32.0,13.0,4.0,0.0,0.0,17.0,3,6,Serie_A,2022_2023,19.0,55.0,50.0,0.0,0.0,2.0
Lazio,24,38,59,430.0,161.0,37.0,11.0,4.0,0.0,0.0,17.0,6,8,Serie_A,2022_2023,14.0,51.0,44.0,0.0,7.0,8.0
Lecce,29,38,31,412.0,106.0,25.0,10.0,2.0,0.0,0.0,18.0,4,6,Serie_A,2022_2023,14.0,36.0,31.0,0.0,-5.0,-4.0
Milan,30,38,61,546.0,178.0,32.0,14.0,4.0,0.0,0.0,17.0,5,5,Serie_A,2022_2023,26.0,58.0,55.0,0.0,2.0,0.0
Monza,31,38,46,406.0,139.0,34.0,10.0,3.0,0.0,0.0,17.0,5,6,Serie_A,2022_2023,13.0,45.0,41.0,0.0,0.0,0.0
Napoli,27,38,75,605.0,212.0,35.0,15.0,5.0,0.0,0.0,17.0,8,10,Serie_A,2022_2023,18.0,64.0,56.0,0.0,10.0,10.0
Roma,30,38,50,488.0,155.0,31.0,12.0,4.0,0.0,0.0,17.0,7,10,Serie_A,2022_2023,15.0,57.0,49.0,0.0,-7.0,-6.0
Salernitana,30,38,46,381.0,115.0,30.0,10.0,3.0,0.0,0.0,18.0,2,2,Serie_A,2022_2023,14.0,36.0,35.0,0.0,9.0,8.0
Sampdoria,40,38,23,376.0,114.0,30.0,9.0,3.0,0.0,0.0,17.0,1,2,Serie_A,2022_2023,16.0,34.0,32.0,0.0,-11.0,-10.0
Sassuolo,31,38,46,477.0,161.0,33.0,12.0,4.0,0.0,0.0,18.0,9,10,Serie_A,2022_2023,20.0,51.0,43.0,0.0,-5.0,-6.0
Spezia,34,38,29,419.0,120.0,28.0,11.0,3.0,0.0,0.0,18.0,4,4,Serie_A,2022_2023,19.0,41.0,38.0,0.0,-12.0,-13.0
Torino,28,38,41,444.0,146.0,32.0,11.0,3.0,0.0,0.0,16.0,2,2,Serie_A,2022_2023,6.0,41.0,40.0,0.0,0.0,-1.0
Udinese,30,38,46,503.0,145.0,28.0,13.0,3.0,0.0,0.0,18.0,1,2,Serie_A,2022_2023,23.0,46.0,45.0,0.0,0.0,0.0
Arouca,31,34,51,459.0,157.0,34.0,13.0,4.0,0.0,0.0,19.0,3,7,Primeira_Liga,2023_2024,16.0,47.0,42.0,0.0,3.0,5.0
Benfica,34,34,76,581.0,231.0,39.0,17.0,6.0,0.0,0.0,16.0,4,6,Primeira_Liga,2023_2024,20.0,77.0,72.0,0.0,-1.0,0.0
Boavista,23,34,37,334.0,106.0,31.0,9.0,3.0,0.0,0.0,18.0,4,5,Primeira_Liga,2023_2024,11.0,36.0,32.0,0.0,0.0,0.0
Braga,25,34,70,545.0,202.0,37.0,16.0,5.0,0.0,0.0,16.0,5,6,Primeira_Liga,2023_2024,15.0,63.0,59.0,0.0,6.0,5.0
Casa Pia,32,34,37,352.0,115.0,32.0,10.0,3.0,0.0,0.0,19.0,3,4,Primeira_Liga,2023_2024,7.0,29.0,26.0,0.0,7.0,7.0
Chaves,31,34,30,374.0,111.0,29.0,11.0,3.0,0.0,0.0,19.0,5,6,Primeira_Liga,2023_2024,15.0,34.0,29.0,0.0,-4.0,-4.0
Estoril,31,34,49,391.0,135.0,34.0,11.0,3.0,0.0,0.0,18.0,2,2,Primeira_Liga,2023_2024,21.0,39.0,37.0,0.0,9.0,9.0
Estrela,34,34,29,369.0,105.0,28.0,10.0,3.0,0.0,0.0,17.0,1,1,Primeira_Liga,2023_2024,13.0,38.0,37.0,0.0,-9.0,-9.0
Famalicão,27,34,37,446.0,118.0,26.0,13.0,3.0,0.0,0.0,18.0,3,5,Primeira_Liga,2023_2024,24.0,35.0,32.0,0.0,1.0,2.0
Farense,25,34,46,389.0,142.0,36.0,11.0,4.0,0.0,0.0,19.0,5,7,Primeira_Liga,2023_2024,18.0,44.0,39.0,0.0,1.0,1.0
Gil Vicente FC,31,34,42,351.0,128.0,36.0,10.0,3.0,0.0,0.0,18.0,6,8,Primeira_Liga,2023_2024,7.0,40.0,34.0,0.0,1.0,1.0
Moreirense,29,34,35,393.0,110.0,28.0,11.0,3.0,0.0,0.0,19.0,1,3,Primeira_Liga,2023_2024,12.0,32.0,30.0,0.0,2.0,3.0
Portimonense,31,34,39,375.0,118.0,31.0,11.0,3.0,0.0,0.0,19.0,5,6,Primeira_Liga,2023_2024,22.0,35.0,30.0,0.0,3.0,3.0
Porto,32,34,62,563.0,177.0,31.0,16.0,5.0,0.0,0.0,16.0,5,8,Primeira_Liga,2023_2024,19.0,64.0,58.0,0.0,-2.0,-1.0
Rio Ave,33,34,36,346.0,98.0,28.0,10.0,2.0,0.0,0.0,18.0,8,9,Primeira_Liga,2023_2024,12.0,38.0,31.0,0.0,-2.0,-3.0
Sporting CP,29,34,93,555.0,211.0,38.0,16.0,6.0,0.0,0.0,15.0,5,5,Primeira_Liga,2023_2024,13.0,72.0,69.0,0.0,20.0,18.0
Vitória,27,34,49,452.0,135.0,29.0,13.0,3.0,0.0,0.0,18.0,5,8,Primeira_Liga,2023_2024,11.0,45.0,39.0,0.0,3.0,5.0
Vizela,31,34,34,420.0,134.0,31.0,12.0,3.0,0.0,0.0,18.0,2,4,Primeira_Liga,2023_2024,15.0,40.0,37.0,0.0,-6.0,-5.0
Aalborg,30,32,34,382.0,137.0,35.0,11.0,4.0,0.0,0.0,,1,2,Danish_Superliga,2022_2023,,,,,,
AGF,28,32,42,383.0,129.0,33.0,11.0,4.0,0.0,0.0,,6,6,Danish_Superliga,2022_2023,,,,,,
Brøndby,30,32,47,439.0,163.0,37.0,13.0,5.0,0.0,0.0,,5,5,Danish_Superliga,2022_2023,,,,,,
FC Copenhagen,32,32,59,473.0,187.0,39.0,14.0,5.0,0.0,0.0,,5,9,Danish_Superliga,2022_2023,,,,,,
Horsens,25,32,31,294.0,91.0,31.0,9.0,2.0,0.0,0.0,,7,7,Danish_Superliga,2022_2023,,,,,,
Lyngby,31,32,30,366.0,118.0,32.0,11.0,3.0,0.0,0.0,,2,2,Danish_Superliga,2022_2023,,,,,,
Midtjylland,33,32,53,452.0,169.0,37.0,14.0,5.0,0.0,0.0,,5,7,Danish_Superliga,2022_2023,,,,,,
Nordsjælland,28,32,50,408.0,161.0,39.0,12.0,5.0,0.0,0.0,,4,6,Danish_Superliga,2022_2023,,,,,,
Odense,35,32,46,388.0,139.0,35.0,12.0,4.0,0.0,0.0,,8,9,Danish_Superliga,2022_2023,,,,,,
Randers,31,32,39,408.0,136.0,33.0,12.0,4.0,0.0,0.0,,2,3,Danish_Superliga,2022_2023,,,,,,
Silkeborg,30,32,42,358.0,132.0,36.0,11.0,4.0,0.0,0.0,,2,4,Danish_Superliga,2022_2023,,,,,,
Viborg,29,32,44,403.0,156.0,38.0,12.0,4.0,0.0,0.0,,2,4,Danish_Superliga,2022_2023,,,,,,
AEK Athens,29,36,68,,,,,,,,,8,10,Super_League_Greece,2022_2023,,,,,,
Aris,28,36,55,,,,,,,,,4,6,Super_League_Greece,2022_2023,,,,,,
Asteras Tripoli,33,33,22,,,,,,,,,2,2,Super_League_Greece,2022_2023,,,,,,
Atromitos,26,33,33,,,,,,,,,2,3,Super_League_Greece,2022_2023,,,,,,
Ionikos,30,33,22,,,,,,,,,2,2,Super_League_Greece,2022_2023,,,,,,
Levadiakos,34,33,23,,,,,,,,,3,4,Super_League_Greece,2022_2023,,,,,,
OFI Crete,33,33,35,,,,,,,,,1,1,Super_League_Greece,2022_2023,,,,,,
Olympiacos,42,36,69,,,,,,,,,7,9,Super_League_Greece,2022_2023,,,,,,
Panathinaikos,27,36,45,,,,,,,,,10,11,Super_League_Greece,2022_2023,,,,,,
Panetolikos,33,33,32,,,,,,,,,5,5,Super_League_Greece,2022_2023,,,,,,
PAOK,30,36,54,,,,,,,,,7,8,Super_League_Greece,2022_2023,,,,,,
PAS Giannina,34,33,32,,,,,,,,,4,6,Super_League_Greece,2022_2023,,,,,,
PAS Lamia,37,33,23,,,,,,,,,0,2,Super_League_Greece,2022_2023,,,,,,
Volos NFC,36,36,35,,,,,,,,,3,5,Super_League_Greece,2022_2023,,,,,,
Adana Demirspor,34,38,58,547.0,198.0,36.0,14.0,5.0,0.0,0.0,,6,9,Super_Lig,2021_2022,,,,,,
Alanyaspor,32,38,65,518.0,187.0,36.0,13.0,4.0,0.0,0.0,,3,5,Super_Lig,2021_2022,,,,,,
Altay,30,38,38,429.0,140.0,32.0,11.0,3.0,0.0,0.0,,6,8,Super_Lig,2021_2022,,,,,,
Antalyaspor,31,38,52,458.0,169.0,36.0,12.0,4.0,0.0,0.0,,5,6,Super_Lig,2021_2022,,,,,,
Başakşehir,33,38,54,529.0,193.0,36.0,13.0,5.0,0.0,0.0,,4,4,Super_Lig,2021_2022,,,,,,
Beşiktaş,29,38,56,565.0,202.0,35.0,14.0,5.0,0.0,0.0,,6,8,Super_Lig,2021_2022,,,,,,
Fatih Karagümrük,34,38,45,432.0,158.0,36.0,11.0,4.0,0.0,0.0,,3,4,Super_Lig,2021_2022,,,,,,
Fenerbahçe,31,38,73,544.0,211.0,38.0,14.0,5.0,0.0,0.0,,10,12,Super_Lig,2021_2022,,,,,,
Galatasaray,36,38,51,551.0,199.0,36.0,14.0,5.0,0.0,0.0,,8,12,Super_Lig,2021_2022,,,,,,
Gaziantep FK,32,38,46,493.0,159.0,32.0,12.0,4.0,0.0,0.0,,10,11,Super_Lig,2021_2022,,,,,,
Giresunspor,36,38,40,452.0,160.0,35.0,11.0,4.0,0.0,0.0,,9,10,Super_Lig,2021_2022,,,,,,
Göztepe,36,38,39,441.0,154.0,34.0,11.0,4.0,0.0,0.0,,6,8,Super_Lig,2021_2022,,,,,,
Hatayspor,31,38,55,411.0,155.0,37.0,10.0,4.0,0.0,0.0,,4,5,Super_Lig,2021_2022,,,,,,
Kasımpaşa,32,38,65,535.0,184.0,34.0,14.0,4.0,0.0,0.0,,7,9,Super_Lig,2021_2022,,,,,,
Kayserispor,38,38,54,382.0,141.0,36.0,10.0,3.0,0.0,0.0,,4,5,Super_Lig,2021_2022,,,,,,
Konyaspor,27,38,65,546.0,188.0,34.0,14.0,4.0,0.0,0.0,,5,5,Super_Lig,2021_2022,,,,,,
Rizespor,36,38,43,401.0,138.0,34.0,10.0,3.0,0.0,0.0,,8,9,Super_Lig,2021_2022,,,,,,
Sivasspor,32,38,51,456.0,156.0,34.0,12.0,4.0,0.0,0.0,,8,9,Super_Lig,2021_2022,,,,,,
Trabzonspor,31,38,67,549.0,206.0,37.0,14.0,5.0,0.0,0.0,,9,11,Super_Lig,2021_2022,,,,,,
Yeni Mal'spor,42,38,26,388.0,126.0,32.0,10.0,3.0,0.0,0.0,,4,4,Super_Lig,2021_2022,,,,,,
Arsenal,26,38,84,589.0,194.0,32.0,15.0,5.0,0.0,0.0,16.0,3,4,Premier_League,2022_2023,16.0,71.0,68.0,0.0,12.0,12.0
Aston Villa,26,38,49,427.0,145.0,34.0,11.0,3.0,0.0,0.0,18.0,3,4,Premier_League,2022_2023,18.0,50.0,47.0,0.0,-1.0,-1.0
Bournemouth,31,38,37,358.0,126.0,35.0,9.0,3.0,0.0,0.0,15.0,0,0,Premier_League,2022_2023,14.0,38.0,38.0,0.0,-1.0,-1.0
Brentford,25,38,56,400.0,147.0,36.0,10.0,3.0,0.0,0.0,15.0,7,8,Premier_League,2022_2023,14.0,56.0,50.0,0.0,0.0,-1.0
Brighton,29,38,68,607.0,219.0,36.0,15.0,5.0,0.0,0.0,16.0,6,6,Premier_League,2022_2023,12.0,73.0,68.0,0.0,-5.0,-6.0
Chelsea,32,38,37,481.0,151.0,31.0,12.0,3.0,0.0,0.0,16.0,3,3,Premier_League,2022_2023,10.0,49.0,47.0,0.0,-12.0,-13.0
Crystal Palace,26,38,38,423.0,133.0,31.0,11.0,3.0,0.0,0.0,17.0,1,3,Premier_League,2022_2023,23.0,39.0,36.0,0.0,-1.0,0.0
Everton,28,38,32,426.0,143.0,33.0,11.0,3.0,0.0,0.0,16.0,3,3,Premier_League,2022_2023,12.0,45.0,42.0,0.0,-13.0,-13.0
Fulham,29,38,52,420.0,137.0,32.0,11.0,3.0,0.0,0.0,17.0,5,9,Premier_League,2022_2023,17.0,46.0,39.0,0.0,5.0,7.0
Leeds United,29,38,45,459.0,141.0,30.0,12.0,3.0,0.0,0.0,16.0,1,3,Premier_League,2022_2023,19.0,47.0,44.0,0.0,-2.0,0.0
Leicester City,28,38,49,412.0,142.0,34.0,10.0,3.0,0.0,0.0,17.0,3,6,Premier_League,2022_2023,14.0,50.0,45.0,0.0,-1.0,0.0
Liverpool,28,38,71,601.0,203.0,33.0,15.0,5.0,0.0,0.0,16.0,2,4,Premier_League,2022_2023,7.0,71.0,68.0,0.0,0.0,0.0
Manchester City,24,38,92,590.0,205.0,34.0,15.0,5.0,0.0,0.0,16.0,9,10,Premier_League,2022_2023,20.0,78.0,71.0,0.0,13.0,11.0
Manchester Utd,26,38,56,590.0,206.0,34.0,15.0,5.0,0.0,0.0,17.0,3,3,Premier_League,2022_2023,20.0,67.0,65.0,0.0,-11.0,-12.0
Newcastle Utd,27,38,64,565.0,184.0,32.0,14.0,4.0,0.0,0.0,15.0,6,6,Premier_League,2022_2023,15.0,71.0,67.0,0.0,-7.0,-9.0
Nott'ham Forest,33,38,36,362.0,111.0,30.0,9.0,2.0,0.0,0.0,17.0,3,6,Premier_League,2022_2023,9.0,39.0,34.0,0.0,-3.0,-1.0
Southampton,36,38,36,413.0,132.0,32.0,10.0,3.0,0.0,0.0,18.0,2,4,Premier_League,2022_2023,17.0,37.0,34.0,0.0,-1.0,0.0
Tottenham,29,38,68,512.0,186.0,36.0,13.0,4.0,0.0,0.0,16.0,5,6,Premier_League,2022_2023,14.0,57.0,52.0,0.0,11.0,10.0
West Ham,25,38,41,466.0,133.0,28.0,12.0,3.0,0.0,0.0,17.0,6,8,Premier_League,2022_2023,13.0,49.0,43.0,0.0,-8.0,-8.0
Wolves,32,38,28,409.0,119.0,29.0,10.0,3.0,0.0,0.0,18.0,3,3,Premier_League,2022_2023,18.0,36.0,34.0,0.0,-8.0,-9.0
Alavés,30,38,33,458.0,136.0,29.0,12.0,3.0,0.0,0.0,17.0,3,7,La_Liga,2023_2024,15.0,46.0,40.0,0.0,-13.0,-10.0
Almería,35,38,42,478.0,163.0,34.0,12.0,4.0,0.0,0.0,18.0,2,2,La_Liga,2023_2024,18.0,48.0,47.0,0.0,-6.0,-7.0
Athletic Club,27,38,59,458.0,163.0,35.0,12.0,4.0,0.0,0.0,15.0,3,5,La_Liga,2023_2024,7.0,52.0,48.0,0.0,6.0,7.0
Atlético Madrid,27,38,68,475.0,197.0,41.0,12.0,5.0,0.0,0.0,16.0,5,6,La_Liga,2023_2024,9.0,62.0,57.0,0.0,5.0,5.0
Barcelona,29,38,76,588.0,219.0,37.0,15.0,5.0,0.0,0.0,16.0,6,7,La_Liga,2023_2024,21.0,77.0,72.0,0.0,-1.0,-2.0
Betis,35,38,46,489.0,150.0,30.0,12.0,3.0,0.0,0.0,17.0,2,3,La_Liga,2023_2024,15.0,43.0,41.0,0.0,2.0,2.0
Cádiz,34,38,25,395.0,120.0,30.0,10.0,3.0,0.0,0.0,18.0,3,3,La_Liga,2023_2024,21.0,36.0,33.0,0.0,-11.0,-11.0
Celta Vigo,31,38,45,467.0,151.0,32.0,12.0,3.0,0.0,0.0,17.0,3,5,La_Liga,2023_2024,14.0,50.0,46.0,0.0,-5.0,-4.0
Getafe,33,38,42,446.0,150.0,33.0,11.0,3.0,0.0,0.0,18.0,6,7,La_Liga,2023_2024,14.0,45.0,40.0,0.0,-3.0,-4.0
Girona,25,38,84,476.0,178.0,37.0,12.0,4.0,0.0,0.0,16.0,7,8,La_Liga,2023_2024,13.0,70.0,64.0,0.0,13.0,12.0
Granada,40,38,35,394.0,123.0,31.0,10.0,3.0,0.0,0.0,17.0,5,8,La_Liga,2023_2024,15.0,42.0,36.0,0.0,-7.0,-6.0
Las Palmas,29,38,33,386.0,120.0,31.0,10.0,3.0,0.0,0.0,20.0,3,5,La_Liga,2023_2024,21.0,33.0,29.0,0.0,0.0,0.0
Mallorca,25,38,33,415.0,131.0,31.0,10.0,3.0,0.0,0.0,16.0,1,3,La_Liga,2023_2024,4.0,40.0,38.0,0.0,-7.0,-6.0
Osasuna,29,38,45,421.0,124.0,29.0,11.0,3.0,0.0,0.0,17.0,4,5,La_Liga,2023_2024,14.0,40.0,36.0,0.0,4.0,4.0
Rayo Vallecano,26,38,29,487.0,160.0,32.0,12.0,4.0,0.0,0.0,20.0,6,6,La_Liga,2023_2024,47.0,42.0,37.0,0.0,-13.0,-14.0
Real Madrid,27,38,85,593.0,242.0,40.0,15.0,6.0,0.0,0.0,17.0,2,5,La_Liga,2023_2024,24.0,68.0,65.0,0.0,16.0,17.0
