player,age,max_market_value,season
Francesco Totti,30,40000000,2006_2007
Arjen Robben,26,40000000,2010_2011
Carlos Tevez,27,40000000,2011_2012
Didier Drogba,29,40000000,2007_2008
Ruud Van Nistelrooy,28,40000000,2004_2005
Pedro Gonçalves,23,38000000,2021_2022
Joaquín Correa,25,38000000,2019_2020
Alassane Plea,25,38000000,2018_2019
Leandro Trossard,29,38000000,2023_2024
Andrej Kramaric,27,38000000,2019_2020
Nani,25,36500000,2012_2013
Robinho,25,36500000,2008_2009
Evanilson,24,35000000,2024_2025
Jamie Gittens,20,35000000,2024_2025
Jhon Durán,20,35000000,2024_2025
Noni Madueke,22,35000000,2024_2025
Brian Brobbey,22,35000000,2023_2024
Martin Terrier,25,35000000,2022_2023
Giacomo Raspadori,22,35000000,2022_2023
Harvey Barnes,23,35000000,2020_2021
Callum Hudson Odoi,18,35000000,2019_2020
Artem Dovbyk,26,35000000,2024_2025
Cengiz Ünder,21,35000000,2018_2019
Eddie Nketiah,24,35000000,2023_2024
Gianluca Scamacca,25,35000000,2024_2025
Milot Rashica,23,35000000,2019_2020
Steven Bergwijn,21,35000000,2019_2020
Miguel Almirón,29,35000000,2022_2023
Gelson Martins,23,35000000,2018_2019
Domenico Berardi,26,35000000,2020_2021
Yussuf Poulsen,24,35000000,2019_2020
Kevin Volland,27,35000000,2019_2020
Jackson Martínez,28,35000000,2015_2016
Christian Benteke,24,35000000,2015_2016
Marko Arnautovic,29,35000000,2018_2019
Alexandre Pato,20,35000000,2009_2010
Arda Turan,27,35000000,2014_2015
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
José Antonio Reyes,21,35000000,2004_2005
Adriano,23,35000000,2005_2006
Dimitar Berbatov,28,34500000,2008_2009
Alex Iwobi,23,32000000,2019_2020
Dries Mertens,30,32000000,2017_2018
Mario Balotelli,21,32000000,2012_2013
Edin Dzeko,25,32000000,2011_2012
Shaun Wright Phillips,23,31500000,2005_2006
Kenan Yıldız,18,30000000,2023_2024
Maghnes Akliouche,22,30000000,2024_2025
Hugo Ekitiké,22,30000000,2024_2025
Simon Adingra,22,30000000,2023_2024
Maximilian Beier,21,30000000,2023_2024
Armando Broja,21,30000000,2022_2023
Bryan Gil,20,30000000,2021_2022
Amine Adli,24,30000000,2023_2024
Pepê,27,30000000,2024_2025
Folarin Balogun,21,30000000,2023_2024
Youssoufa Moukoko,17,30000000,2022_2023
Trincão,20,30000000,2020_2021
Ismaïla Sarr,21,30000000,2019_2020
Samuel Chukwueze,20,30000000,2019_2020
Wesley Moraes,23,30000000,2019_2020
Marcus Edwards,24,30000000,2023_2024
Albert Gudmundsson,26,30000000,2024_2025
Trent Alexander Arnold,21,110000000,2019_2020
Virgil Van Dijk,28,100000000,2019_2020
William Saliba,22,80000000,2023_2024
Josko Gvardiol,21,80000000,2023_2024
Alphonso Davies,19,80000000,2020_2021
Rúben Dias,26,80000000,2023_2024
Andrew Robertson,25,80000000,2019_2020
Raphaël Varane,25,80000000,2018_2019
Gabriel Magalhães,26,75000000,2024_2025
Matthijs De Ligt,19,75000000,2019_2020
Marquinhos,27,75000000,2021_2022
Aymeric Laporte,25,75000000,2019_2020
Kalidou Koulibaly,27,75000000,2019_2020
Ronald Araujo,24,70000000,2022_2023
Reece James,22,70000000,2022_2023
Éder Militão,25,70000000,2022_2023
Achraf Hakimi,22,70000000,2021_2022
Alessandro Bastoni,24,70000000,2023_2024
Lucas Hernández,23,70000000,2018_2019
José María Giménez,24,70000000,2018_2019
João Cancelo,28,70000000,2022_2023
Harry Maguire,26,70000000,2019_2020
Samuel Umtiti,24,70000000,2018_2019
Jordi Alba,29,70000000,2018_2019
Marcelo,30,70000000,2018_2019
Nuno Mendes,20,65000000,2022_2023
Wesley Fofana,21,65000000,2022_2023
Cristian Romero,25,65000000,2023_2024
Milan Skriniar,26,65000000,2021_2022
David Alaba,27,65000000,2019_2020
Bremer,26,60000000,2023_2024
Min Jae Kim,26,60000000,2023_2024
Jules Koundé,22,60000000,2020_2021
Dayot Upamecano,21,60000000,2020_2021
Davinson Sánchez,23,60000000,2019_2020
Theo Hernández,25,60000000,2022_2023
John Stones,24,60000000,2018_2019
Clément Lenglet,23,60000000,2019_2020
Niklas Süle,23,60000000,2019_2020
Daniel Carvajal,26,60000000,2017_2018
Stefan De Vrij,27,60000000,2019_2020
Mats Hummels,29,60000000,2017_2018
Leny Yoro,18,55000000,2024_2025
Levi Colwill,20,55000000,2023_2024
Micky Van De Ven,23,55000000,2023_2024
Ben White,25,55000000,2023_2024
Marc Cucurella,24,55000000,2022_2023
Alejandro Balde,19,50000000,2023_2024
Lisandro Martínez,24,50000000,2022_2023
Renan Lodi,22,50000000,2020_2021
Nahuel Molina,25,50000000,2023_2024
Pau Torres,23,50000000,2020_2021
Benjamin Pavard,27,50000000,2023_2024
Diego Carlos,27,50000000,2020_2021
Ben Chilwell,22,50000000,2019_2020
Fikayo Tomori,24,50000000,2022_2023
Ferland Mendy,25,50000000,2020_2021
José Gayà,24,50000000,2019_2020
Federico Dimarco,26,50000000,2023_2024
Alessio Romagnoli,24,50000000,2018_2019
Kyle Walker,27,50000000,2017_2018
Antonio Rüdiger,26,50000000,2019_2020
Alex Sandro,27,50000000,2017_2018
Sergio Ramos,31,50000000,2017_2018
Gerard Piqué,31,50000000,2017_2018
António Silva,19,45000000,2023_2024
Giorgio Scalvini,20,45000000,2023_2024
Edmond Tapsoba,25,45000000,2023_2024
Destiny Udogie,21,45000000,2023_2024
Pedro Porro,24,45000000,2023_2024
Gonçalo Inácio,22,45000000,2024_2025
Riccardo Calafiori,22,45000000,2024_2025
Jurrien Timber,21,45000000,2022_2023
Marc Guéhi,24,45000000,2024_2025
Sven Botman,23,45000000,2022_2023
Ibrahima Konaté,20,45000000,2019_2020
Çağlar Söyüncü,25,45000000,2020_2021
Manuel Akanji,28,45000000,2023_2024
Alejandro Grimaldo,28,45000000,2023_2024
Benjamin Mendy,24,45000000,2018_2019
Marcos Alonso,27,45000000,2018_2019
Konstantinos Manolas,27,45000000,2018_2019
Leonardo Bonucci,30,45000000,2017_2018
Jérôme Boateng,27,45000000,2016_2017
Jarrad Branthwaite,21,42000000,2023_2024
Axel Disasi,25,42000000,2023_2024
Joe Gomez,22,42000000,2019_2020
Oleksandr Zinchenko,26,42000000,2023_2024
Luke Shaw,26,42000000,2021_2022
Nathan Aké,28,42000000,2023_2024
Murillo,22,40000000,2024_2025
Ousmane Diomande,20,40000000,2023_2024
Pau Cubarsí,17,40000000,2024_2025
Rico Lewis,19,40000000,2024_2025
Willian Pacho,22,40000000,2024_2025
Piero Hincapié,22,40000000,2023_2024
Castello Lukeba,20,40000000,2023_2024
Ian Maatsen,22,40000000,2023_2024
Aaron Wan Bissaka,21,40000000,2019_2020
Benoît Badiashile,21,40000000,2022_2023
Nico Schlotterbeck,23,40000000,2022_2023
Diogo Dalot,24,40000000,2023_2024
Robin Le Normand,27,40000000,2023_2024
Presnel Kimpembe,25,40000000,2020_2021
Alex Telles,27,40000000,2019_2020
Nélson Semedo,25,40000000,2018_2019
Ricardo Pereira,26,40000000,2019_2020
Andreas Christensen,21,40000000,2017_2018
Jonathan Tah,22,40000000,2018_2019
Héctor Bellerín,23,40000000,2017_2018
Eric Dier,23,40000000,2017_2018
Raphaël Guerreiro,27,40000000,2021_2022
Stefan Savic,27,40000000,2017_2018
Joel Matip,28,40000000,2019_2020
César Azpilicueta,28,40000000,2017_2018
Diego Godín,30,40000000,2016_2017
Toby Alderweireld,29,40000000,2017_2018
Axel Witsel,29,40000000,2018_2019
Thiago Silva,28,40000000,2012_2013
Maximilian Kilman,27,38000000,2024_2025
Nayef Aguerd,27,38000000,2023_2024
Lukas Klostermann,24,38000000,2020_2021
Nemanja Vidic‎,29,37000000,2010_2011
Dani Alves,28,36000000,2011_2012
Mohamed Simakan,23,35000000,2023_2024
Odilon Kossounou,22,35000000,2023_2024
Malo Gusto,21,35000000,2023_2024
Jean Clair Todibo,23,35000000,2023_2024
Pierre Kalulu,22,35000000,2022_2023
Rayan Aït Nouri,22,35000000,2023_2024
Tino Livramento,21,35000000,2023_2024
Lutsharel Geertruida,23,35000000,2023_2024
Nikola Milenković,21,35000000,2018_2019
Ezri Konsa,26,35000000,2023_2024
Dávid Hancko,26,35000000,2023_2024
Ryan Sessegnon,18,35000000,2018_2019
Alessandro Buongiorno,24,35000000,2024_2025
Pervis Estupiñán,25,35000000,2023_2024
Dan Axel Zagadou,20,35000000,2019_2020
Takehiro Tomiyasu,25,35000000,2023_2024
Eric Bailly,23,35000000,2017_2018
Mario Hermoso,25,35000000,2020_2021
Angeliño,24,35000000,2020_2021
Robin Gosens,26,35000000,2020_2021
Issa Diop,22,35000000,2019_2020
Joachim Andersen,27,35000000,2023_2024
Abdou Diallo,23,35000000,2019_2020
Thilo Kehrer,22,35000000,2018_2019
Nico Elvedi,22,35000000,2018_2019
Victor Lindelöf,24,35000000,2018_2019
Kurt Zouma,25,35000000,2019_2020
Nicolás Tagliafico,27,35000000,2019_2020
Lucas Digne,26,35000000,2019_2020
Matthias Ginter,24,35000000,2018_2019
Thomas Meunier,27,35000000,2018_2019
Kieran Trippier,28,35000000,2018_2019
Eliaquim Mangala,23,35000000,2014_2015
Nacho Fernández,28,35000000,2018_2019
Nicolás Otamendi,29,35000000,2017_2018
Vincent Kompany,25,35000000,2011_2012
Alessandro Nesta,29,35000000,2005_2006
Rio Ferdinand,30,35000000,2009_2010
John Terry,28,35000000,2009_2010
Ilya Zabarnyi,21,32000000,2023_2024
Evan Ndicka,22,32000000,2022_2023
