Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Dejan Lovren,hr CRO,DF,Lyon,33,1989,16.2,1,13,3,23.1,0.80,0.19,0.08,0.33,12.5,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
Jean Lucas,br BRA,MF,Monaco,24,1998,3.2,0,5,3,60.0,1.55,0.93,0.00,0.00,18.3,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
Castello Lukeba,fr FRA,DF,Lyon,19,2002,33.2,2,13,5,38.5,0.39,0.15,0.15,0.40,10.2,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches
Youssouf M'Changama,km COM,MF,Auxerre,31,1990,12.0,0,18,2,11.1,1.50,0.17,0.00,0.00,30.3,7,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
Deiver Machado,co COL,"DF,MF",Lens,28,1993,24.3,4,18,7,38.9,0.74,0.29,0.22,0.57,19.3,1,0,0,1.3,1.3,0.07,+2.7,+2.7,Matches
Soungoutou Magassa,fr FRA,MF,Monaco,18,2003,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hugo Magnetti,fr FRA,MF,Brest,24,1998,18.8,1,17,6,35.3,0.91,0.32,0.06,0.17,24.7,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
Yohann Magnin,fr FRA,MF,Clermont Foot,25,1997,26.7,0,17,1,5.9,0.64,0.04,0.00,0.00,19.8,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Lovro Majer,hr CRO,"MF,FW",Rennes,24,1998,18.5,2,33,11,33.3,1.78,0.59,0.03,0.09,20.4,5,1,1,3.3,2.5,0.08,-1.3,-1.5,Matches
Jean-Victor Makengo,fr FRA,MF,Lorient,24,1998,11.8,0,5,2,40.0,0.42,0.17,0.00,0.00,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Béni Makouana,cg CGO,"FW,MF",Montpellier,19,2002,2.2,0,6,1,16.7,2.73,0.45,0.00,0.00,13.9,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",Marseille,29,1993,13.6,1,35,7,20.0,2.57,0.51,0.03,0.14,24.3,6,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches
Hianga Mananga Mbock,fr FRA,MF,Brest,22,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Steve Mandanda,fr FRA,GK,Rennes,37,1985,33.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thomas Mangani,fr FRA,MF,Ajaccio,35,1987,14.8,1,9,0,0.0,0.61,0.00,0.00,,27.1,2,1,2,2.0,0.4,0.05,-1.0,-0.4,Matches
Vito Mannone,it ITA,GK,Lorient,34,1988,17.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches

Myziane Maolida,km COM,"MF,FW",Reims,23,1999,2.6,1,6,2,33.3,2.33,0.78,0.17,0.50,17.2,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
Faitout Maouassa,fr FRA,"FW,DF",Montpellier,24,1998,21.4,5,34,12,35.3,1.59,0.56,0.15,0.42,20.1,1,0,0,3.3,3.3,0.10,+1.7,+1.7,Matches
Vincent Marchetti,fr FRA,MF,Ajaccio,25,1997,27.2,0,37,9,24.3,1.36,0.33,0.00,0.00,22.8,1,0,0,2.3,2.3,0.06,-2.3,-2.3,Matches
Guillermo Maripán,cl CHI,DF,Monaco,28,1994,24.0,3,16,6,37.5,0.67,0.25,0.19,0.50,10.7,0,0,0,1.6,1.6,0.10,+1.4,+1.4,Matches
Marquinhos,br BRA,DF,Paris S-G,28,1994,30.2,2,18,4,22.2,0.60,0.13,0.11,0.50,9.2,0,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches
Jonas Martin,fr FRA,MF,Lille,32,1990,3.1,0,1,0,0.0,0.32,0.00,0.00,,7.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Gelson Martins,pt POR,"MF,FW",Monaco,27,1995,3.8,0,12,3,25.0,3.13,0.78,0.00,0.00,15.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Han-Noah Massengo,fr FRA,MF,Auxerre,21,2001,12.4,0,13,1,7.7,1.05,0.08,0.00,0.00,18.9,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches
Yanis Massolin,fr FRA,MF,Clermont Foot,19,2002,0.7,0,1,0,0.0,1.50,0.00,0.00,,21.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Eliot Matazo,be BEL,MF,Monaco,20,2002,13.1,1,4,3,75.0,0.31,0.23,0.25,0.33,22.9,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
Chrislain Matsima,fr FRA,"DF,MF",Lorient,20,2002,2.5,0,1,0,0.0,0.40,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Chrislain Matsima,fr FRA,DF,Monaco,20,2002,5.0,0,3,2,66.7,0.61,0.40,0.00,0.00,8.0,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
Jean Mattéo Bahoya,fr FRA,"FW,MF",Angers,17,2005,3.0,0,4,0,0.0,1.33,0.00,0.00,,15.4,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Azor Matusiwa,nl NED,MF,Reims,24,1998,27.6,0,11,4,36.4,0.40,0.14,0.00,0.00,26.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Aïman Maurer,ma MAR,MF,Clermont Foot,17,2004,5.6,0,11,5,45.5,1.98,0.90,0.00,0.00,16.4,1,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
Stephy Mavididi,eng ENG,FW,Montpellier,24,1998,14.3,4,37,15,40.5,2.59,1.05,0.11,0.27,16.8,0,0,0,4.3,4.3,0.12,-0.3,-0.3,Matches
Christian Mawissa,fr FRA,DF,Toulouse,17,2005,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fernand Mayembo,cg CGO,DF,Ajaccio,26,1996,7.9,0,4,0,0.0,0.51,0.00,0.00,,6.2,0,0,0,1.2,1.2,0.29,-1.2,-1.2,Matches
Derek Mazou-Sacko,fr FRA,MF,Troyes,17,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kylian Mbappé,fr FRA,FW,Paris S-G,23,1998,31.3,29,144,73,50.7,4.60,2.33,0.18,0.36,15.9,1,3,5,26.3,22.2,0.15,+2.7,+3.8,Matches
Chancel Mbemba,cd COD,DF,Marseille,27,1994,31.7,5,27,9,33.3,0.85,0.28,0.19,0.56,11.0,0,0,0,3.1,3.1,0.11,+1.9,+1.9,Matches
Jason Mbock,fr FRA,"MF,FW",Angers,22,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nathanael Mbuku,fr FRA,"FW,MF",Reims,20,2002,0.7,0,2,0,0.0,2.73,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Facundo Medina,ar ARG,DF,Lens,23,1999,30.9,2,18,4,22.2,0.58,0.13,0.11,0.50,13.9,0,0,0,2.6,2.6,0.14,-0.6,-0.6,Matches
Bamo Meïté,ci CIV,DF,Lorient,20,2001,16.7,1,3,1,33.3,0.18,0.06,0.33,1.00,8.5,0,0,0,0.7,0.7,0.25,+0.3,+0.3,Matches

