Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Omar Traoré,de GER,DF,Heidenheim,25,1998,27.5,0,11,1,9.1,0.40,0.04,0.00,0.00,28.0,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,33,1990,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christopher Trimmel,at AUT,DF,Union Berlin,36,1987,18.3,0,6,4,66.7,0.33,0.22,0.00,0.00,20.5,0,0,0,0.6,0.5,0.08,-0.6,-0.5,Matches
Tuta,br BRA,DF,Eint Frankfurt,24,1999,28.9,1,18,7,38.9,0.62,0.24,0.06,0.14,12.7,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Lukas Ullrich,de GER,"DF,FW",Gladbach,19,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sven Ulreich,de GER,GK,Bayern Munich,34,1988,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Deniz Undav,de GER,"FW,MF",Stuttgart,27,1996,23.2,18,106,51,48.1,4.57,2.20,0.17,0.35,17.4,0,0,1,15.0,14.3,0.13,+3.0,+3.7,Matches
Dayot Upamecano,fr FRA,DF,Bayern Munich,24,1998,19.6,1,11,4,36.4,0.56,0.20,0.09,0.25,10.5,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches
Mark Uth,de GER,"MF,FW",Köln,31,1991,4.1,0,12,5,41.7,2.90,1.21,0.00,0.00,14.9,1,0,0,2.0,2.0,0.17,-2.0,-2.0,Matches
Josha Vagnoman,de GER,DF,Stuttgart,22,2000,13.1,2,17,6,35.3,1.29,0.46,0.12,0.33,17.2,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
Ruben Vargas,ch SUI,"MF,FW",Augsburg,24,1998,21.8,4,49,17,34.7,2.25,0.78,0.08,0.24,17.4,3,0,0,3.9,3.9,0.08,+0.1,+0.1,Matches
Miloš Veljković,rs SRB,DF,Werder Bremen,27,1995,21.3,2,6,3,50.0,0.28,0.14,0.33,0.67,16.1,0,0,0,1.7,1.7,0.29,+0.3,+0.3,Matches

Yorbe Vertessen,be BEL,"FW,MF",Union Berlin,22,2001,6.6,3,24,9,37.5,3.64,1.37,0.13,0.33,16.8,0,0,0,2.7,2.7,0.11,+0.3,+0.3,Matches
Oscar Vilhelmsson,se SWE,"FW,MF",Darmstadt 98,19,2003,15.3,4,28,10,35.7,1.83,0.66,0.14,0.40,14.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,Matches
Kevin Vogt,de GER,DF,Hoffenheim,31,1991,14.7,0,2,1,50.0,0.14,0.07,0.00,0.00,18.8,0,0,0,0.7,0.7,0.34,-0.7,-0.7,Matches
Kevin Vogt,de GER,DF,Union Berlin,31,1991,14.7,0,1,0,0.0,0.07,0.00,0.00,,14.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Kevin Volland,de GER,"FW,MF",Union Berlin,31,1992,14.9,3,33,10,30.3,2.21,0.67,0.03,0.10,19.7,0,2,3,5.3,2.9,0.09,-2.3,-1.9,Matches
Aster Vranckx,be BEL,MF,Wolfsburg,20,2002,12.8,0,4,2,50.0,0.31,0.16,0.00,0.00,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Luca Waldschmidt,de GER,"MF,FW",Köln,27,1996,12.7,3,42,15,35.7,3.30,1.18,0.07,0.20,22.3,2,0,1,2.9,2.1,0.05,+0.1,+0.9,Matches
Kjell-Arik Wätjen,de GER,"MF,FW",Dortmund,17,2006,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wout Weghorst,nl NED,FW,Hoffenheim,30,1992,22.0,7,38,14,36.8,1.73,0.64,0.16,0.43,13.3,0,1,1,7.2,6.4,0.17,-0.2,-0.4,Matches
Julian Weigl,de GER,MF,Gladbach,27,1995,30.7,2,17,4,23.5,0.55,0.13,0.00,0.00,25.2,1,2,2,2.4,0.9,0.05,-0.4,-0.9,Matches
Nelson Weiper,de GER,"FW,MF",Mainz 05,18,2005,1.4,0,2,0,0.0,1.45,0.00,0.00,,8.2,0,0,0,0.5,0.5,0.24,-0.5,-0.5,Matches
Mitchell Weiser,de GER,"DF,MF",Werder Bremen,29,1994,29.3,3,44,13,29.5,1.50,0.44,0.07,0.23,14.7,0,0,0,3.8,3.8,0.09,-0.8,-0.8,Matches
Noah Weißhaupt,de GER,"DF,FW",Freiburg,21,2001,8.4,1,3,1,33.3,0.36,0.12,0.33,1.00,13.9,0,0,0,0.4,0.4,0.14,+0.6,+0.6,Matches
Timo Werner,de GER,"FW,MF",RB Leipzig,27,1996,2.3,2,8,5,62.5,3.48,2.17,0.13,0.20,17.8,0,1,1,2.4,1.6,0.20,-0.4,-0.6,Matches
