Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Deni Milošević,ba BIH,MF,Antalyaspor,28,1995,3.2,0,4,1,25.0,1.23,0.31,0.00,0.00,,0,0,Matches
Martin Minchev,bg BUL,"FW,MF",Rizespor,22,2001,19.4,3,33,9,27.3,1.70,0.46,0.09,0.33,,0,0,Matches
Attila Mocsi,hu HUN,DF,Rizespor,23,2000,22.6,2,14,3,21.4,0.62,0.13,0.14,0.67,,0,0,Matches
Milad Mohammadi,ir IRN,DF,Adana Demirspor,29,1993,11.9,0,11,4,36.4,0.92,0.34,0.00,0.00,,0,0,Matches
Jamiro Monteiro,cv CPV,MF,Gaziantep FK,29,1993,8.2,1,10,5,50.0,1.22,0.61,0.10,0.20,,0,0,Matches
Emre Mor,tr TUR,MF,Fenerbahçe,26,1997,0.6,0,2,2,100.0,3.10,3.10,0.00,0.00,,0,0,Matches
Emre Mor,tr TUR,"MF,FW",Fatih Karagümrük,26,1997,7.4,1,19,6,31.6,2.56,0.81,0.05,0.17,,0,0,Matches
Mame Mor Faye,sn SEN,FW,Rizespor,18,2005,1.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Júnior Morais,br BRA,DF,Gaziantep FK,37,1986,14.6,0,6,1,16.7,0.41,0.07,0.00,0.00,,0,0,Matches
Pedro Filipe Barbosa Moreira,pt POR,MF,Ankaragücü,30,1992,24.3,3,29,6,20.7,1.20,0.25,0.10,0.50,,0,0,Matches
Marlos Moreno,co COL,MF,Konyaspor,26,1996,21.2,2,33,7,21.2,1.56,0.33,0.06,0.29,,0,0,Matches
Olimpiu Moruțan,ro ROU,MF,Ankaragücü,24,1999,23.5,2,47,14,29.8,2.00,0.60,0.04,0.14,,0,0,Matches
Marius Mouandilmadji,td CHA,FW,Samsunspor,26,1997,23.0,9,70,27,38.6,3.04,1.17,0.13,0.33,,0,1,Matches
Ernest Muçi,al ALB,MF,Beşiktaş,22,2001,11.5,3,41,15,36.6,3.56,1.30,0.07,0.20,,0,0,Matches
Arbnor Muja,al ALB,"MF,FW",Samsunspor,24,1998,4.7,1,4,2,50.0,0.86,0.43,0.25,0.50,,0,0,Matches
Nihad Mujakić,ba BIH,DF,Ankaragücü,25,1998,35.6,1,7,1,14.3,0.20,0.03,0.14,1.00,,0,0,Matches
Mert Müldür,tr TUR,DF,Fenerbahçe,24,1999,12.5,1,11,2,18.2,0.88,0.16,0.09,0.50,,0,0,Matches
Jackson Muleka,cd COD,"MF,FW",Beşiktaş,23,1999,18.1,4,51,17,33.3,2.82,0.94,0.08,0.24,,0,0,Matches
Robert Murić,hr CRO,"MF,FW",Konyaspor,27,1996,7.6,2,9,4,44.4,1.18,0.53,0.22,0.50,,0,0,Matches
Ahmed Musa,ng NGA,FW,Sivasspor,30,1992,0.8,0,0,0,,0.00,0.00,,,,0,0,Matches
Fernando Muslera,uy URU,GK,Galatasaray,37,1986,36.7,0,0,0,,0.00,0.00,,,,0,0,Matches

Almoatasem Al Musrati,ly LBY,MF,Beşiktaş,27,1996,6.1,0,4,1,25.0,0.66,0.16,0.00,0.00,,0,0,Matches
Clinton N'Jie,cm CMR,"MF,FW",Sivasspor,29,1993,14.2,2,23,13,56.5,1.62,0.91,0.09,0.15,,0,0,Matches
Naldo,br BRA,DF,Antalyaspor,34,1988,5.7,0,3,0,0.0,0.53,0.00,0.00,,,0,0,Matches
Nani,pt POR,"MF,FW",Adana Demirspor,36,1986,10.4,3,29,14,48.3,2.79,1.35,0.10,0.21,,0,0,Matches
Umut Nayir,tr TUR,FW,Pendikspor,30,1993,13.6,4,27,9,33.3,1.99,0.66,0.15,0.44,,0,0,Matches
Umut Nayir,tr TUR,FW,Fenerbahçe,30,1993,1.1,0,1,1,100.0,0.93,0.93,0.00,0.00,,0,0,Matches
Duckens Nazon,ht HAI,FW,Kayserispor,29,1994,9.3,2,24,9,37.5,2.58,0.97,0.08,0.22,,0,0,Matches
Alassane Ndao,sn SEN,MF,Konyaspor,26,1996,13.2,2,18,5,27.8,1.36,0.38,0.11,0.40,,0,0,Matches
Alassane Ndao,sn SEN,"MF,FW",İstanbulspor,26,1996,18.4,1,24,5,20.8,1.30,0.27,0.04,0.20,,0,0,Matches
Badou Ndiaye,sn SEN,MF,Pendikspor,32,1990,10.2,1,18,7,38.9,1.77,0.69,0.06,0.14,,0,0,Matches
Badou Ndiaye,sn SEN,MF,Adana Demirspor,32,1990,6.7,0,7,0,0.0,1.05,0.00,0.00,,,0,0,Matches
