Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Amir Abdijanovic,at AUT,FW,SCR Altach,22,2001,2.7,0,10,4,40.0,3.66,1.46,0.00,0.00,,0,0,Matches
David Affengruber,at AUT,DF,Sturm Graz,22,2001,24.0,2,21,5,23.8,0.88,0.21,0.10,0.40,,0,0,Matches
Sandro Altunashvili,ge GEO,MF,Wolfsberger AC,26,1997,23.6,0,13,0,0.0,0.55,0.00,0.00,,,0,0,Matches
Anderson,br BRA,"DF,MF",SC Austria Lustenau,25,1998,22.5,1,15,3,20.0,0.67,0.13,0.07,0.33,,0,0,Matches
Andrés Andrade Cedeño,pa PAN,DF,LASK,24,1998,30.0,0,15,5,33.3,0.50,0.17,0.00,0.00,,0,0,Matches
Jonas Arweiler,de GER,FW,SK Austria Klagenfurt,26,1997,16.1,1,20,8,40.0,1.24,0.50,0.05,0.13,,0,0,Matches
Fisnik Asllani,xk KVX,FW,Austria Wien,20,2002,9.4,4,25,11,44.0,2.66,1.17,0.16,0.36,,0,0,Matches
Jonas Auer,at AUT,DF,Rapid Wien,22,2000,23.7,1,14,4,28.6,0.59,0.17,0.07,0.25,,0,0,Matches
Donis Avdijaj,xk KVX,"MF,FW",Hartberg,26,1996,22.3,12,51,21,41.2,2.28,0.94,0.24,0.57,,0,0,Matches
Sanoussy Ba,de GER,MF,LASK,19,2004,3.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Felix Bacher,at AUT,DF,WSG Tirol,22,2000,27.3,1,21,5,23.8,0.77,0.18,0.05,0.20,,0,0,Matches
Nikolai Baden Frederiksen,dk DEN,FW,SC Austria Lustenau,23,2000,6.9,0,9,2,22.2,1.31,0.29,0.00,0.00,,0,0,Matches
Sofian Bahloul,fr FRA,MF,SCR Altach,23,1999,3.7,2,7,4,57.1,1.90,1.08,0.29,0.50,,0,0,Matches
Mike-Steven Bähre,de GER,MF,SCR Altach,27,1995,27.5,5,24,6,25.0,0.87,0.22,0.08,0.33,,3,3,Matches
Samson Baidoo,at AUT,DF,RB Salzburg,19,2004,15.6,2,4,2,50.0,0.26,0.13,0.50,1.00,,0,0,Matches
Ante Bajic,at AUT,MF,Rapid Wien,27,1995,2.6,1,7,3,42.9,2.72,1.16,0.14,0.33,,0,0,Matches
Husein Balic,at AUT,"FW,MF",LASK,27,1996,1.3,1,6,2,33.3,4.54,1.51,0.17,0.50,,0,0,Matches
Thierno Ballo,at AUT,"FW,MF",Wolfsberger AC,21,2002,21.9,12,50,26,52.0,2.28,1.19,0.18,0.35,,3,4,Matches
Matan Baltaxa,il ISR,DF,Austria Wien,27,1995,2.2,0,1,0,0.0,0.46,0.00,0.00,,,0,0,Matches
Mohamed Bamba,ci CIV,FW,Wolfsberger AC,21,2001,12.7,6,31,12,38.7,2.44,0.94,0.16,0.42,,1,1,Matches
Dominik Baumgartner,at AUT,DF,Wolfsberger AC,27,1996,29.8,0,15,6,40.0,0.50,0.20,0.00,0.00,,0,0,Matches
