Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Ognjen Abramušić,rs SRB,FW,Vojvodina,17,2003,0.2,0,,,,,,,,,0,0,Matches
Almir Aganspahić,ba BIH,FW,Novi Pazar,24,1996,18.6,7,,,,,,,,,3,3,Matches
Almir Aganspahić,ba BIH,FW,Čukarički,24,1996,4.7,0,,,,,,,,,0,0,Matches
Edin Ajdinović,rs SRB,MF,Voždovac,20,2001,11.2,0,,,,,,,,,0,0,Matches
Nikola Aksentijević,rs SRB,DF,Radnički Niš,28,1993,27.9,1,,,,,,,,,0,0,Matches
Semir Alić,rs SRB,DF,Novi Pazar,17,2004,1.0,0,,,,,,,,,0,0,Matches
Aleksandar Andrejević,rs SRB,DF,Proleter NS,29,1992,9.0,0,,,,,,,,,0,0,Matches
Nemanja Andrić,rs SRB,MF,FK Kolubara,34,1987,8.5,3,,,,,,,,,0,0,Matches
Nikola Andrić,rs SRB,DF,Radnički Kragujevac,29,1992,15.0,0,,,,,,,,,0,0,Matches
Eric Ansu Appiah,gh GHA,FW,Metalac GM,20,2001,0.3,0,,,,,,,,,0,0,Matches
Dimitrije Antić,rs SRB,FW,FK Kolubara,18,2003,0.7,0,,,,,,,,,0,0,Matches
Goran Antonić,rs SRB,DF,TSC Bačka Top,30,1990,22.5,0,,,,,,,,,0,0,Matches
Filip Antonijević,rs SRB,DF,Metalac GM,21,2000,27.4,2,,,,,,,,,0,0,Matches
Uros Arsenijevic,rs SRB,MF,Radnički Kragujevac,18,2002,1.2,0,,,,,,,,,0,0,Matches
Lazar Arsić,rs SRB,MF,Radnički Niš,29,1991,15.2,2,,,,,,,,,1,1,Matches
Filip Babić,rs SRB,DF,TSC Bačka Top,26,1995,0.8,0,,,,,,,,,0,0,Matches
Siniša Babić,rs SRB,FW,Radnik Surdulica,30,1991,9.9,2,,,,,,,,,0,0,Matches
Srđan Babić,rs SRB,DF,Red Star,25,1996,1.9,0,,,,,,,,,0,0,Matches
Đorđe Babić,rs SRB,FW,Mladost Lučani,20,2000,1.5,0,,,,,,,,,0,0,Matches
Marko Bačanin,rs SRB,FW,Napredak Kruš,23,1998,12.7,1,,,,,,,,,0,0,Matches
Danilo Bacanović,rs SRB,MF,Novi Pazar,20,2000,2.9,0,,,,,,,,,0,0,Matches
Filip Bačkulja,rs SRB,MF,Metalac GM,19,2002,20.7,1,,,,,,,,,0,0,Matches
Mihajlo Baić,rs SRB,FW,Čukarički,18,2002,0.7,1,,,,,,,,,0,0,Matches
Vasilije Bakić,rs SRB,DF,FK Kolubara,21,2000,21.3,3,,,,,,,,,0,0,Matches
Bojan Balaž,rs SRB,DF,Novi Pazar,20,2001,1.5,0,,,,,,,,,0,0,Matches

Mihajlo Banjac,rs SRB,MF,TSC Bačka Top,21,1999,30.7,7,,,,,,,,,0,0,Matches
Đorđe Bašanović,rs SRB,DF,Proleter NS,25,1996,11.5,0,,,,,,,,,0,0,Matches
