Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Josh Bowler,eng ENG,MF,Olympiacos,23,1999,1.1,0,,,,,,,,,0,0,Matches
Jakub Brabec,cz CZE,DF,Aris,29,1992,22.0,1,,,,,,,,,0,0,Matches
Brandon,es ESP,FW,PAOK,27,1995,12.3,7,,,,,,,,,0,0,Matches
Laurențiu Brănescu,ro ROU,GK,Atromitos,28,1994,1.0,0,,,,,,,,,0,0,Matches
Alberto Brignoli,it ITA,GK,Panathinaikos,30,1991,34.0,0,,,,,,,,,0,0,Matches
Zymer Bytyqi,no NOR,"FW,MF",Olympiacos,25,1996,0.3,0,,,,,,,,,0,0,Matches
Jerson Cabral,nl NED,FW,Ionikos,31,1991,1.8,0,,,,,,,,,0,0,Matches
Rafael Camacho,pt POR,"MF,FW",Aris,22,2000,8.1,2,,,,,,,,,0,0,Matches
Aguibou Camara,gn GUI,MF,Olympiacos,21,2001,3.1,0,,,,,,,,,0,0,Matches
Aguibou Camara,gn GUI,MF,Atromitos,21,2001,9.8,3,,,,,,,,,0,0,Matches
José Cañas,es ESP,MF,Ionikos,35,1987,22.3,1,,,,,,,,,0,0,Matches
Sergi Canós,es ESP,MF,Olympiacos,25,1997,4.9,4,,,,,,,,,0,0,Matches
Aitor Cantalapiedra,es ESP,"FW,MF",Panathinaikos,26,1996,7.2,8,,,,,,,,,4,4,Matches
Eneko Capilla,es ESP,MF,Asteras Tripoli,27,1995,0.1,0,,,,,,,,,0,0,Matches
David Carmona,es ESP,DF,Asteras Tripoli,25,1997,21.4,0,,,,,,,,,0,0,Matches
José Castaño,es ESP,DF,Asteras Tripoli,23,1998,29.7,1,,,,,,,,,0,0,Matches
Christos Chatziioannou,gr GRE,FW,Aris,18,2004,0.2,0,,,,,,,,,0,0,Matches
Dimitris Chatziisaias,gr GRE,DF,Atromitos,29,1992,30.4,1,,,,,,,,,0,0,Matches
Ilias Chatzitheodoridis,gr GRE,"DF,FW",Panetolikos,24,1997,11.5,0,,,,,,,,,0,0,Matches

Pape Cheikh Diop,sn SEN,MF,Aris,24,1997,3.8,0,,,,,,,,,0,0,Matches
Raman Chibsah,gh GHA,MF,Ionikos,29,1993,4.2,0,,,,,,,,,0,0,Matches
Michaell Chirinos,hn HON,MF,Volos NFC,27,1995,11.8,1,,,,,,,,,0,0,Matches
Diamantis Chouchoumis,gr GRE,DF,Panetolikos,28,1994,23.2,1,,,,,,,,,0,0,Matches
Lefteris Choutesiotis,gr GRE,GK,Ionikos,28,1994,33.0,0,,,,,,,,,0,0,Matches
Lazaros Christodoulopoulos,gr GRE,FW,Aris,35,1986,3.4,0,,,,,,,,,0,0,Matches
Nikolaos Christogeorgos,gr GRE,GK,OFI Crete,22,2000,1.0,0,,,,,,,,,0,0,Matches
Efthymios Christopoulos,gr GRE,FW,AEK Athens,21,2000,0.0,0,,,,,,,,,0,0,Matches
Ilias Christopoulos,gr GRE,DF,Asteras Tripoli,19,2003,0.0,0,,,,,,,,,0,0,Matches
