Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Raphael Guzzo,pt POR,"MF,FW",Chaves,28,1995,13.2,2,22,8,36.4,1.67,0.61,0.09,0.25,20.2,1,0,0,1.5,1.5,0.07,+0.5,+0.5,Matches
Viktor Gyökeres,se SWE,FW,Sporting CP,25,1998,32.4,29,109,53,48.6,3.37,1.64,0.22,0.45,13.8,2,5,5,22.5,18.7,0.17,+6.5,+5.3,Matches
Justin de Haas,nl NED,DF,Famalicão,23,2000,17.8,1,24,6,25.0,1.35,0.34,0.04,0.17,16.1,8,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Yanis Hamache,dz ALG,DF,Arouca,24,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tomás Händel,pt POR,MF,Vitória,22,2000,28.0,2,25,5,20.0,0.89,0.18,0.08,0.40,21.4,1,0,0,1.7,1.7,0.07,+0.3,+0.3,Matches
Héctor,es ESP,FW,Chaves,27,1995,28.8,14,63,22,34.9,2.18,0.76,0.14,0.41,13.3,0,5,6,12.7,8.0,0.13,+1.3,+1.0,Matches
Gustavo Henrique,br BRA,"DF,MF",Estrela,24,1999,1.4,0,4,2,50.0,2.79,1.40,0.00,0.00,21.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Morten Hjulmand,dk DEN,MF,Sporting CP,24,1999,24.3,3,20,5,25.0,0.82,0.21,0.15,0.60,21.0,0,0,0,1.9,1.9,0.10,+1.1,+1.1,Matches
Jordan Holsgrove,sct SCO,MF,Estoril,23,1999,13.0,2,18,7,38.9,1.38,0.54,0.11,0.29,28.4,7,0,0,0.6,0.6,0.03,+1.4,+1.4,Matches
André Horta,pt POR,MF,Braga,26,1996,6.1,2,15,5,33.3,2.44,0.81,0.13,0.40,29.8,1,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
Ricardo Horta,pt POR,"FW,MF",Braga,28,1994,26.0,9,58,25,43.1,2.23,0.96,0.16,0.36,17.8,4,0,0,7.1,7.1,0.12,+1.9,+1.9,Matches
André Inácio,br BRA,"FW,MF",Estrela,21,2002,13.3,4,38,10,26.3,2.85,0.75,0.11,0.40,15.8,0,0,0,5.9,5.9,0.15,-1.9,-1.9,Matches
Gonçalo Inácio,pt POR,DF,Sporting CP,21,2001,27.6,1,12,3,25.0,0.44,0.11,0.08,0.33,10.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
Hernani Infande,pt POR,"FW,MF",Moreirense,22,2001,0.9,1,2,1,50.0,2.14,1.07,0.50,1.00,8.0,0,0,0,0.5,0.5,0.25,+0.5,+0.5,Matches
