Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Vukašin Bogdanović,rs SRB,FW,Radnik Surdulica,20,2002,18.9,2,,,,,,,,,0,0,Matches

Nikola Bogdanovski,mk MKD,MF,Novi Pazar,24,1999,5.4,0,,,,,,,,,0,0,Matches
Mihailo Bogicevic,ch SUI,DF,Spartak Subotic,25,1998,18.9,0,,,,,,,,,0,0,Matches
Dragan Bojat,rs SRB,DF,Novi Pazar,19,2003,17.9,1,,,,,,,,,0,0,Matches
Petar Bojić,rs SRB,MF,Mladost Lučani,31,1991,7.5,1,,,,,,,,,0,0,Matches
Marko Bojović,me MNE,FW,Napredak Kruš,21,2002,0.4,0,,,,,,,,,0,0,Matches
Milan Bojović,rs SRB,FW,Napredak Kruš,36,1987,10.7,3,,,,,,,,,1,1,Matches
Jonathan Bolingi,cd COD,FW,Vojvodina,29,1994,4.1,2,,,,,,,,,1,1,Matches
Ognjen Bondžulić,rs SRB,MF,Mladost Lučani,16,2007,0.6,0,,,,,,,,,0,0,Matches
Radivoj Bosić,rs SRB,FW,Javor Ivanjica,22,2000,24.8,6,,,,,,,,,0,0,Matches
Ensar Brunčević,rs SRB,DF,Novi Pazar,24,1999,1.4,0,,,,,,,,,0,0,Matches
Mateja Bubanj,rs SRB,FW,Voždovac,18,2005,1.6,1,,,,,,,,,0,0,Matches
Marko Bugarin,me MNE,MF,Spartak Subotic,23,1999,2.8,0,,,,,,,,,0,0,Matches
Osman Bukari,gh GHA,"FW,MF",Red Star,24,1998,21.9,7,,,,,,,,,1,1,Matches
Stefan Bukinac,rs SRB,DF,Vojvodina,18,2005,6.8,0,,,,,,,,,0,0,Matches
Nikola Bukumira,rs SRB,MF,Radnički Kragujevac,17,2005,1.9,1,,,,,,,,,0,0,Matches
Borisav Burmaz,rs SRB,FW,Voždovac,22,2001,13.3,10,,,,,,,,,2,2,Matches
Aleksandar Busnić,rs SRB,MF,Vojvodina,25,1997,0.7,0,,,,,,,,,0,0,Matches
Mihajlo Butrakovic,rs SRB,MF,Vojvodina,17,2006,0.4,0,,,,,,,,,0,0,Matches
Nemanja Ćalasan,rs SRB,DF,Čukarički,27,1996,3.8,0,,,,,,,,,0,0,Matches
Nemanja Ćalasan,rs SRB,DF,Spartak Subotic,27,1996,23.1,0,,,,,,,,,0,0,Matches
Josip Čalušić,hr CRO,DF,TSC Bačka Top,29,1993,13.4,0,,,,,,,,,0,0,Matches
Norman Campbell,jm JAM,FW,Vojvodina,23,1999,10.3,2,,,,,,,,,0,0,Matches
Norman Campbell,jm JAM,FW,Javor Ivanjica,23,1999,5.6,1,,,,,,,,,0,0,Matches
Strahinja Carapic,rs SRB,MF,FK IMT Novi Beograd,20,2002,1.0,0,,,,,,,,,0,0,Matches
Lazar Carević,me MNE,GK,Vojvodina,24,1999,33.0,0,,,,,,,,,0,0,Matches

Denil Castillo,ec ECU,MF,Partizan,19,2004,7.4,2,,,,,,,,,0,0,Matches
Luka Čermelj,rs SRB,DF,Novi Pazar,28,1995,1.5,0,,,,,,,,,0,0,Matches
Shedrack Charles,ng NGA,FW,FK IMT Novi Beograd,20,2003,2.0,0,,,,,,,,,0,0,Matches
Geoffrey Chinedu,ng NGA,FW,Radnički Kragujevac,25,1997,11.9,6,,,,,,,,,0,0,Matches
Jovan Ćirić,rs SRB,FW,Mladost Lučani,16,2007,3.6,0,,,,,,,,,0,0,Matches
Frane Čirjak,hr CRO,MF,Novi Pazar,28,1995,8.7,0,,,,,,,,,0,0,Matches
Aleksandar Ćirković,rs SRB,MF,TSC Bačka Top,21,2001,25.5,16,,,,,,,,,0,0,Matches
Nikola Ćirković,rs SRB,FW,Mladost Lučani,31,1991,31.0,1,,,,,,,,,0,0,Matches
