Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches


Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,0,1,0,0.0,3.75,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,32.2,0,14,4,28.6,0.43,0.12,0.00,0.00,21.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,9.1,4,38,14,36.8,4.20,1.55,0.11,0.29,14.5,0,0,0,4.6,4.6,0.12,-0.6,-0.6,Matches
Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,15.0,0,24,8,33.3,1.60,0.53,0.00,0.00,16.7,0,0,0,2.0,2.0,0.08,-2.0,-2.0,Matches
Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,0,4,1,25.0,0.21,0.05,0.00,0.00,12.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,8.1,0,19,4,21.1,2.36,0.50,0.00,0.00,18.7,2,0,0,2.2,2.2,0.13,-2.2,-2.2,Matches
Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,1,6,3,50.0,2.71,1.36,0.17,0.33,12.4,0,0,0,0.9,0.9,0.14,+0.1,+0.1,Matches
Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,6,31,15,48.4,1.78,0.86,0.19,0.40,16.3,0,0,0,4.1,4.1,0.13,+1.9,+1.9,Matches
Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,1.6,0,3,1,33.3,1.90,0.63,0.00,0.00,15.0,0,0,0,0.7,0.7,0.24,-0.7,-0.7,Matches
Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,2.9,0,7,1,14.3,2.44,0.35,0.00,0.00,15.8,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,5,42,13,31.0,1.62,0.50,0.12,0.38,16.6,0,0,0,4.6,4.6,0.11,+0.4,+0.4,Matches
Mohamed Amissi,bi BDI,"FW,MF",Heracles Almelo,20,2000,1.4,0,4,1,25.0,2.79,0.70,0.00,0.00,17.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Djavan Anderson,nl NED,"DF,MF",Zwolle,26,1995,11.4,0,15,3,20.0,1.31,0.26,0.00,0.00,22.6,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,0,8,1,12.5,0.28,0.03,0.00,0.00,15.2,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
