Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Pape Abou Cissé,sn SEN,DF,Olympiacos,25,1995,22.2,5,,,,,,,,,0,0,Matches
Daniel Adejo,ng NGA,DF,PAS Lamia,31,1989,22.9,0,,,,,,,,,0,0,Matches
Lumor Agbenyenu,gh GHA,"DF,MF",Aris,24,1996,5.7,0,,,,,,,,,0,0,Matches
Chuba Akpom,eng ENG,FW,PAOK,25,1995,19.7,7,,,,,,,,,0,0,Matches
Sotiris Alexandropoulos,gr GRE,MF,Panathinaikos,19,2001,17.7,1,,,,,,,,,0,0,Matches
Nikolai Alho,fi FIN,DF,Volos NFC,28,1993,14.2,0,,,,,,,,,0,0,Matches
Sudais Ali Baba,ng NGA,FW,Asteras Tripoli,20,2000,0.7,0,,,,,,,,,0,0,Matches
Denis Alibec,ro ROU,"FW,MF",Atromitos,30,1991,5.9,2,,,,,,,,,0,0,Matches
Federico Álvarez,ar ARG,DF,Asteras Tripoli,26,1994,27.0,0,,,,,,,,,0,0,Matches
Bruno Alves,pt POR,DF,Apollon Smyrnis,39,1981,17.8,0,,,,,,,,,0,0,Matches
Rodrigo Alves Soares,br BRA,DF,PAOK,28,1992,4.9,0,,,,,,,,,0,0,Matches
Nordin Amrabat,ma MAR,"MF,FW",AEK Athens,34,1987,22.9,6,,,,,,,,,3,4,Matches
Fatjon Andoni,al ALB,MF,Apollon Smyrnis,30,1991,21.2,2,,,,,,,,,1,1,Matches
Thanasis Androutsos,gr GRE,"DF,MF",Olympiacos,24,1997,7.9,0,,,,,,,,,0,0,Matches
Giannis Anestis,gr GRE,GK,Panetolikos,30,1991,13.0,0,,,,,,,,,0,0,Matches
José Ángel Crespo,es ESP,DF,PAOK,34,1987,10.0,1,,,,,,,,,0,0,Matches
Karim Ansarifard,ir IRN,FW,AEK Athens,31,1990,10.2,4,,,,,,,,,0,0,Matches
Fabien Antunes,fr FRA,"MF,DF",Panetolikos,29,1991,22.3,0,,,,,,,,,0,0,Matches
Giorgos Antzoulas,gr GRE,DF,Asteras Tripoli,21,2000,6.3,0,,,,,,,,,0,0,Matches
Aias Aosman,sy SYR,"MF,FW",Ionikos,26,1994,27.8,8,,,,,,,,,2,2,Matches
Kostas Apostolakis,gr GRE,DF,Panetolikos,22,1999,13.6,0,,,,,,,,,0,0,Matches
Youssef El-Arabi,ma MAR,FW,Olympiacos,34,1987,22.8,16,,,,,,,,,5,7,Matches
Bachana Arabuli,ge GEO,"FW,MF",PAS Lamia,27,1994,14.0,4,,,,,,,,,1,1,Matches
Sergio Araujo,ar ARG,FW,AEK Athens,29,1992,22.3,12,,,,,,,,,0,0,Matches
Kyriakos Aslanidis,gr GRE,DF,Aris,19,2002,1.0,0,,,,,,,,,0,0,Matches

Nicolaos Athanasiou,gr GRE,DF,Atromitos,20,2001,0.3,0,,,,,,,,,0,0,Matches
Pichu Atienza,es ESP,DF,Asteras Tripoli,31,1990,22.6,0,,,,,,,,,0,0,Matches
