Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Oliver Sonne,pe PER,DF,Silkeborg,22,2000,29.3,1,17,4,23.5,0.58,0.14,0.06,0.25,,0,0,Matches
Martin Spelmann,dk DEN,"MF,DF",Hvidovre IF,36,1987,18.0,0,22,8,36.4,1.22,0.44,0.00,0.00,,0,0,Matches
Orri Steinn Óskarsson,is ISL,FW,FC Copenhagen,18,2004,17.0,9,48,26,54.2,2.82,1.53,0.19,0.35,,0,0,Matches
Daniel Stenderup,dk DEN,DF,Hvidovre IF,34,1989,20.1,0,3,0,0.0,0.15,0.00,0.00,,,0,0,Matches
Jannich Storch,dk DEN,GK,Lyngby,30,1993,7.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Tobias Storm,dk DEN,MF,Lyngby,19,2004,13.7,0,6,0,0.0,0.44,0.00,0.00,,,0,0,Matches
Richard Sukuta-Pasu,de GER,FW,Vejle BK,33,1990,0.3,0,2,0,0.0,6.92,0.00,0.00,,,0,0,Matches
Yuito Suzuki,jp JPN,"MF,FW",Brøndby,21,2001,16.9,9,39,15,38.5,2.31,0.89,0.23,0.60,,0,0,Matches
Daniel Svensson,se SWE,"MF,DF",Nordsjælland,21,2002,29.8,2,16,3,18.8,0.54,0.10,0.13,0.67,,0,0,Matches
Mads Søndergaard,dk DEN,MF,Viborg,20,2002,19.4,2,21,8,38.1,1.08,0.41,0.10,0.25,,0,0,Matches
Christian Sørensen,dk DEN,DF,FC Copenhagen,30,1992,10.6,0,5,2,40.0,0.47,0.19,0.00,0.00,,0,0,Matches
Søren Tengstedt,dk DEN,"MF,FW",Silkeborg,23,2000,9.9,4,33,18,54.5,3.32,1.81,0.06,0.11,,2,3,Matches
Mike Themsen,dk DEN,"MF,FW",Randers,17,2006,2.7,1,5,3,60.0,1.84,1.10,0.20,0.33,,0,0,Matches
Nigel Thomas,nl NED,"FW,MF",Viborg,22,2001,5.7,1,15,5,33.3,2.62,0.87,0.07,0.20,,0,0,Matches
Tobias Thomsen,dk DEN,FW,Hvidovre IF,30,1992,18.9,8,55,25,45.5,2.91,1.32,0.15,0.32,,0,0,Matches
Frederik Tingager,dk DEN,DF,AGF,30,1993,30.0,2,18,7,38.9,0.60,0.23,0.11,0.29,,0,0,Matches
Franco Tongya,it ITA,MF,Odense,21,2002,3.4,1,5,2,40.0,1.49,0.59,0.20,0.50,,0,0,Matches
Nathan Trott,eng ENG,GK,Vejle BK,24,1998,31.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Tom Trybull,de GER,MF,Odense,30,1993,15.3,1,20,4,20.0,1.31,0.26,0.05,0.25,,0,0,Matches
Kevin Tshiembe,dk DEN,DF,Brøndby,26,1997,11.2,0,1,1,100.0,0.09,0.09,0.00,0.00,,0,0,Matches
Jeppe Tverskov,dk DEN,MF,Nordsjælland,30,1993,30.0,4,18,10,55.6,0.60,0.33,0.22,0.40,,0,0,Matches
Sauli Väisänen,fi FIN,DF,Odense,29,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Nicolai Vallys,dk DEN,MF,Brøndby,26,1996,30.0,13,53,23,43.4,1.77,0.77,0.25,0.57,,0,0,Matches
