Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Dante Vanzeir,be BEL,FW,Union SG,23,1998,27.4,13,64,33,51.6,2.34,1.21,0.19,0.36,13.0,0,1,2,14.3,12.7,0.21,-1.3,-0.7,Matches
Daan Vekemans,be BEL,"MF,FW",OH Leuven,21,2000,0.7,0,4,0,0.0,5.37,0.00,0.00,,13.7,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
Dimitar Velkovski,bg BUL,"DF,MF",Cercle Brugge,26,1995,14.4,0,11,1,9.1,0.76,0.07,0.00,0.00,26.2,4,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Yari Verschaeren,be BEL,"MF,FW",Anderlecht,20,2001,24.5,7,45,21,46.7,1.84,0.86,0.16,0.33,13.3,0,0,0,9.5,9.5,0.21,-2.5,-2.5,Matches
Birger Verstraete,be BEL,MF,Antwerp,27,1994,27.5,2,22,9,40.9,0.80,0.33,0.09,0.22,25.8,8,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
Louis Verstraete,be BEL,MF,Antwerp,22,1999,1.7,0,2,1,50.0,1.15,0.58,0.00,0.00,26.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Lasse Vigen Christensen,dk DEN,MF,Zulte Waregem,26,1994,12.0,0,7,3,42.9,0.59,0.25,0.00,0.00,18.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Sam Vines,us USA,DF,Antwerp,22,1999,15.8,0,2,0,0.0,0.13,0.00,0.00,,31.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Vitinho,br BRA,"DF,MF",Cercle Brugge,22,1999,22.8,1,13,3,23.1,0.57,0.13,0.08,0.33,19.4,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
Thibault Vlietinck,be BEL,"DF,MF",OH Leuven,23,1997,3.3,0,2,1,50.0,0.60,0.30,0.00,0.00,14.9,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
Ruud Vormer,nl NED,"MF,FW",Club Brugge,33,1988,20.6,5,46,22,47.8,2.24,1.07,0.11,0.23,19.0,8,0,0,5.6,5.5,0.12,-0.6,-0.5,Matches
Jelle Vossen,be BEL,"FW,MF",Zulte Waregem,32,1989,24.6,17,62,26,41.9,2.52,1.06,0.23,0.54,17.2,0,3,3,10.0,7.6,0.12,+7.0,+6.4,Matches
Molla Wagué,ml MLI,DF,R.F.C. Seraing,30,1991,3.0,0,1,0,0.0,0.33,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Patryk Walicki,pl POL,FW,Beerschot,18,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches

Sandy Walsh,id IDN,DF,Mechelen,26,1995,29.5,3,21,8,38.1,0.71,0.27,0.14,0.38,10.5,0,0,0,3.3,3.3,0.16,-0.3,-0.3,Matches
Warleson,br BRA,GK,Cercle Brugge,24,1996,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Martin Wasinski,be BEL,DF,Charleroi,17,2004,4.7,0,2,1,50.0,0.42,0.21,0.00,0.00,25.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Tsuyoshi Watanabe,jp JPN,DF,Kortrijk,24,1997,7.0,0,2,0,0.0,0.29,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Dries Wouters,be BEL,"DF,MF",Mechelen,24,1997,1.8,0,1,0,0.0,0.55,0.00,0.00,,30.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Siebe Wylin,be BEL,DF,Oostende,18,2003,3.9,0,2,0,0.0,0.51,0.00,0.00,,24.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Elie Youan,fr FRA,FW,Mechelen,22,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alhassan Yusuf,ng NGA,MF,Antwerp,21,2000,19.8,3,22,7,31.8,1.11,0.35,0.14,0.43,17.8,0,0,0,2.4,2.4,0.11,+0.6,+0.6,Matches
Anass Zaroury,ma MAR,"FW,MF",Charleroi,20,2000,18.8,5,53,23,43.4,2.81,1.22,0.09,0.22,20.1,1,0,0,4.7,4.5,0.08,+0.3,+0.5,Matches
Karim Zedadka,fr FRA,"DF,MF",Charleroi,21,2000,4.0,0,8,3,37.5,2.00,0.75,0.00,0.00,18.9,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
Ilyes Ziani,ma MAR,"FW,DF",Union SG,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joshua Zirkzee,nl NED,FW,Anderlecht,20,2001,23.1,15,64,29,45.3,2.77,1.26,0.23,0.52,15.4,0,0,0,11.7,11.7,0.19,+3.3,+3.3,Matches
Adem Zorgane,dz ALG,MF,Charleroi,21,2000,26.7,2,32,6,18.8,1.20,0.23,0.06,0.33,17.4,0,0,0,3.5,3.5,0.11,-1.5,-1.5,Matches
