comp_id,competition,league_nation_id,nation,confederation,champion,top_scorer,season
40,Spor Toto Süper Lig,15,TUR,UEFA,Trabzonspor,Umut Bozok - 20,2021_2022
41,Stoiximan Super League,14,GRE,UEFA,AEK Athens FC,Cédric Bakambu - 18,2022_2023
41,Stoiximan Super League,14,GRE,UEFA,PAOK FC,Loren Morón - 20,2023_2024
42,Super League Interwetten,14,GRE,UEFA,Olympiacos FC,Tom van Weert - 17,2021_2022
45,Supercopa de España,8,ESP,UEFA,,"Robert Lewandowski, Karim Benzema - 2",2022_2023
45,Supercopa de España,8,ESP,UEFA,Real Madrid CF,Karim Benzema - 2,2021_2022
45,Supercopa de España,8,ESP,UEFA,Real Madrid CF,Vinicius Júnior - 3,2023_2024
46,Supercoppa Frecciarossa,13,ITA,UEFA,Internazionale,"Alexis Sánchez, Lautaro Martínez... - 1",2021_2022
47,The Emirates FA Cup,10,ENG,UEFA,Liverpool FC,"Jayden Stockley, Riyad Mahrez - 4",2021_2022
47,The Emirates FA Cup,10,ENG,UEFA,Manchester City FC,Paul Mullin - 8,2022_2023
47,The Emirates FA Cup,10,ENG,UEFA,Manchester United FC,"Sammie Szmodics, Ellis Simms - 6",2023_2024
49,Trendyol Süper Lig,15,TUR,UEFA,Galatasaray SK,Mauro Icardi - 25,2023_2024
50,Trophée des Champions,9,FRA,UEFA,Lille OSC,Xeka - 1,2021_2022
50,Trophée des Champions,9,FRA,UEFA,Paris Saint-Germain FC,"Kylian Mbappé, Lee Kang-in - 1",2023_2024
50,Trophée des Champions,9,FRA,UEFA,Paris Saint-Germain FC,Neymar - 2,2022_2023
53,efbet League,3,BUL,UEFA,PFC Ludogorets Razgrad,Aleksandar Kolev - 15,2023_2024
53,efbet League,3,BUL,UEFA,PFC Ludogorets Razgrad,Ivaylo Chochev - 21,2022_2023
53,efbet League,3,BUL,UEFA,PFC Ludogorets Razgrad,Pieros Sotiriou - 17,2021_2022
