player_id,player,nation,position,club,age,year_of_birth,league,season,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
16,Aarón Escandell,ESP,GK,Las Palmas,27,1995,La_Liga,2023_2024,1.7,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.0,
17,Aarón Martín,ESP,DF,Genoa,26,1997,Serie_A,2023_2024,15.3,4,1,1,23.0,17.0,2.0,106.0,9.0,10.0,0.0,0.0,0,48.0,8.0,11.0,42.1
17,Aarón Martín,ESP,DF,Mainz 05,24,1997,Bundesliga,2021_2022,25.5,7,0,0,31.0,18.0,0.0,180.0,20.0,33.0,0.0,0.0,0,161.0,12.0,15.0,44.4
17,Aarón Martín,ESP,DF,Mainz 05,25,1997,Bundesliga,2022_2023,20.5,3,0,0,28.0,12.0,2.0,145.0,15.0,27.0,0.0,0.0,0,104.0,1.0,13.0,7.1
18,Abakar Sylla,CIV,DF,Club Brugge,19,2002,Belgian_Pro_League,2022_2023,14.2,7,2,1,23.0,12.0,2.0,1.0,26.0,14.0,0.0,0.0,0,129.0,30.0,27.0,52.6
18,Abakar Sylla,CIV,DF,Strasbourg,20,2002,Ligue_1,2023_2024,19.9,4,0,0,30.0,4.0,1.0,3.0,26.0,23.0,0.0,0.0,1,124.0,32.0,21.0,60.4
19,Abass Issah,GHA,"FW,MF",Chaves,23,1998,Primeira_Liga,2022_2023,15.2,6,1,0,39.0,32.0,12.0,22.0,8.0,7.0,0.0,0.0,0,68.0,7.0,13.0,35.0
19,Abass Issah,GHA,"MF,FW",Chaves,24,1998,Primeira_Liga,2023_2024,3.4,1,0,0,8.0,9.0,2.0,10.0,0.0,0.0,0.0,0.0,0,10.0,1.0,2.0,33.3
20,Abat Ajymbetow,KAZ,FW,Adana Demirspor,27,1995,Super_Lig,2023_2024,3.0,0,0,0,4.0,5.0,4.0,0.0,1.0,1.0,,,0,,,,
21,Abbas Ibrahim,NGA,"MF,DF",Paços,24,1998,Primeira_Liga,2022_2023,3.6,3,0,0,6.0,6.0,0.0,3.0,4.0,4.0,0.0,0.0,0,29.0,3.0,3.0,50.0
21,Abbas Ibrahim,NGA,"MF,FW",Paços,23,1998,Primeira_Liga,2021_2022,2.0,2,0,0,6.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0,19.0,2.0,3.0,40.0
22,Abdallah Sima,SEN,FW,Angers,21,2001,Ligue_1,2022_2023,20.4,0,0,0,32.0,24.0,12.0,16.0,4.0,13.0,1.0,1.0,1,52.0,43.0,63.0,40.6
