club_id,club,num_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
19,Antwerp,1,34,34,"3,060",34,38.0,1.0,175.0,138.0,80.0,19,6,9,12,35,3,3,0,0,0.0,Belgian_Pro_League,2021_2022
19,Antwerp,1,34,34,"3,060",34,26.0,0.0,101.0,75.0,76.0,22,6,6,19,55,3,2,0,1,0.0,Belgian_Pro_League,2022_2023
20,Apollon Smyrnis,3,33,33,"2,970",33,,,,,,4,10,19,9,27,11,9,1,1,10.0,Super_League_Greece,2021_2022
21,Arda,2,36,36,"3,240",36,,,,,,16,10,10,13,36,4,4,0,0,0.0,Bulgarian_First_League,2022_2023
21,Arda,2,36,36,"3,240",36,,,,,,14,9,13,14,38,3,3,0,0,0.0,Bulgarian_First_League,2023_2024
21,Arda,4,32,32,"2,700",32,,,,,,8,11,13,10,31,1,1,0,0,0.0,Bulgarian_First_League,2021_2022
22,Aris,2,36,36,"3,240",36,,,,,,16,7,13,14,38,7,5,2,0,28.0,Super_League_Greece,2023_2024
22,Aris,3,36,36,"3,240",36,,,,,,18,8,10,18,50,5,4,1,0,20.0,Super_League_Greece,2021_2022
22,Aris,2,36,36,"3,240",36,,,,,,15,6,15,11,30,8,7,1,0,12.0,Super_League_Greece,2022_2023
23,Arminia,2,34,34,"3,060",34,53.0,1.0,180.0,129.0,74.0,5,13,16,7,20,7,7,0,0,0.0,Bundesliga,2021_2022
24,Arouca,3,34,34,"3,060",34,50.0,1.0,150.0,100.0,71.0,13,7,14,5,14,9,7,1,1,12.0,Primeira_Liga,2023_2024
24,Arouca,4,34,34,"3,056",34,54.0,1.0,146.0,92.0,65.0,7,10,17,5,14,6,4,2,0,33.0,Primeira_Liga,2021_2022
24,Arouca,4,34,34,"3,060",34,37.0,1.0,149.0,109.0,78.0,15,9,10,15,44,10,5,4,1,44.0,Primeira_Liga,2022_2023
25,Arsenal,2,38,38,"3,420",38,29.0,0.0,83.0,54.0,67.0,28,5,5,18,47,3,2,1,0,33.0,Premier_League,2023_2024
25,Arsenal,1,38,38,"3,420",38,43.0,1.0,136.0,94.0,70.0,26,6,6,14,36,5,3,0,2,0.0,Premier_League,2022_2023
25,Arsenal,2,38,38,"3,420",38,48.0,1.0,147.0,100.0,70.0,22,3,13,13,34,6,5,0,1,0.0,Premier_League,2021_2022
26,Asteras Tripoli,5,33,33,"2,970",33,,,,,,11,5,17,8,24,12,10,1,1,9.0,Super_League_Greece,2023_2024
26,Asteras Tripoli,2,33,33,"2,970",33,,,,,,11,8,14,14,42,5,5,0,0,0.0,Super_League_Greece,2021_2022
26,Asteras Tripoli,2,33,33,"2,970",33,,,,,,5,16,12,11,33,4,4,0,0,0.0,Super_League_Greece,2022_2023
27,Aston Villa,2,38,38,"3,420",38,61.0,1.0,173.0,115.0,65.0,20,8,10,8,21,2,1,1,0,50.0,Premier_League,2023_2024
27,Aston Villa,2,38,38,"3,420",38,46.0,1.0,151.0,108.0,72.0,18,7,13,12,31,6,5,1,0,16.0,Premier_League,2022_2023
27,Aston Villa,3,38,38,"3,420",38,54.0,1.0,149.0,96.0,66.0,13,6,19,11,28,6,4,1,1,20.0,Premier_League,2021_2022
28,Atalanta,3,38,38,"3,420",38,48.0,1.0,153.0,107.0,70.0,19,7,12,9,23,3,3,0,0,0.0,Serie_A,2022_2023
28,Atalanta,3,38,38,"3,420",38,42.0,1.0,142.0,99.0,74.0,21,6,11,15,39,9,6,2,1,25.0,Serie_A,2023_2024
28,Atalanta,3,38,38,"3,419",38,48.0,1.0,139.0,94.0,69.0,16,11,11,10,26,6,5,0,1,0.0,Serie_A,2021_2022
29,Athletic Club,2,38,38,"3,420",38,36.0,0.0,131.0,96.0,74.0,14,13,11,13,34,3,3,0,0,0.0,La_Liga,2021_2022
29,Athletic Club,2,38,38,"3,420",38,43.0,1.0,123.0,83.0,67.0,14,9,15,11,28,3,3,0,0,0.0,La_Liga,2022_2023
29,Athletic Club,2,38,38,"3,420",38,37.0,0.0,134.0,98.0,73.0,19,11,8,18,47,5,1,3,1,75.0,La_Liga,2023_2024
30,Atlético Madrid,1,38,38,"3,420",38,43.0,1.0,106.0,65.0,66.0,21,8,9,12,31,8,7,1,0,12.0,La_Liga,2021_2022
30,Atlético Madrid,3,38,38,"3,420",38,33.0,0.0,128.0,95.0,77.0,23,8,7,13,34,5,4,0,1,0.0,La_Liga,2022_2023
