player_id,player,nation,position,club,age,year_of_birth,max_market_value,league,season
55,Abdu Conté,POR,DF,Troyes,24,1998,-1,Ligue_1,2022_2023
55,Abdu Conté,POR,"DF,MF",Moreirense,23,1998,-1,Primeira_Liga,2021_2022
56,Abdukodir Khusanov,UZB,DF,Lens,19,2004,-1,Ligue_1,2023_2024
57,Abdul Awudu,GHA,"FW,MF",Vizela,22,2001,-1,Primeira_Liga,2023_2024
58,Abdul Fatawu Issahaku,GHA,"DF,MF",Sporting CP,18,2004,-1,Primeira_Liga,2022_2023
59,Abdul Majeed Waris,GHA,"FW,MF",Strasbourg,29,1991,-1,Ligue_1,2021_2022
60,Abdul Mumin,GHA,DF,Rayo Vallecano,24,1998,-1,La_Liga,2022_2023
60,Abdul Mumin,GHA,DF,Rayo Vallecano,25,1998,-1,La_Liga,2023_2024
60,Abdul Mumin,GHA,DF,Vitória,23,1998,-1,Primeira_Liga,2021_2022
61,Abdul Zubairu,NGA,MF,FK Kolubara,23,1998,-1,Serbian_SuperLiga,2022_2023
62,Abdul-Aziz Yakubu,GHA,FW,Rio Ave,23,1998,-1,Primeira_Liga,2022_2023
62,Abdul-Aziz Yakubu,GHA,FW,Rio Ave,24,1998,-1,Primeira_Liga,2023_2024
63,Abdullah Durak,TUR,MF,Ankaragücü,35,1987,-1,Super_Lig,2022_2023
64,Abdulrahman Taiwo,NGA,FW,SønderjyskE,22,1998,-1,Danish_Superliga,2021_2022
65,Abdulrazaq Ishaq,NGA,"DF,MF",Anderlecht,20,2002,-1,Belgian_Pro_League,2022_2023
66,Abdulsamed Damlu,TUR,GK,Yeni Mal'spor,22,1999,-1,Super_Lig,2021_2022
67,Abdulwahab Ibrahim,GHA,MF,Famalicão,22,1999,-1,Primeira_Liga,2021_2022
68,Abdurrahim Dursun,TUR,DF,Adana Demirspor,23,1998,-1,Super_Lig,2022_2023
68,Abdurrahim Dursun,TUR,DF,Adana Demirspor,24,1998,-1,Super_Lig,2023_2024
69,Abdón Prats,ESP,FW,Mallorca,28,1992,-1,La_Liga,2021_2022
69,Abdón Prats,ESP,"FW,MF",Mallorca,29,1992,-1,La_Liga,2022_2023
69,Abdón Prats,ESP,"FW,MF",Mallorca,30,1992,-1,La_Liga,2023_2024
70,Abdülkadir Parmak,TUR,MF,Gaziantep FK,27,1994,-1,Super_Lig,2022_2023
70,Abdülkadir Parmak,TUR,MF,Hatayspor,28,1994,-1,Super_Lig,2023_2024
70,Abdülkadir Parmak,TUR,MF,Kayserispor,26,1994,-1,Super_Lig,2021_2022
70,Abdülkadir Parmak,TUR,MF,Sivasspor,28,1994,-1,Super_Lig,2023_2024
70,Abdülkadir Parmak,TUR,MF,Trabzonspor,26,1994,-1,Super_Lig,2021_2022
71,Abdülkadir Ömür,TUR,MF,Trabzonspor,22,1999,-1,Super_Lig,2021_2022
71,Abdülkadir Ömür,TUR,MF,Trabzonspor,23,1999,-1,Super_Lig,2022_2023
71,Abdülkadir Ömür,TUR,MF,Trabzonspor,24,1999,-1,Super_Lig,2023_2024
72,Abdülkerim Bardakcı,TUR,DF,Galatasaray,27,1994,-1,Super_Lig,2022_2023
72,Abdülkerim Bardakcı,TUR,DF,Galatasaray,28,1994,-1,Super_Lig,2023_2024
72,Abdülkerim Bardakcı,TUR,DF,Konyaspor,26,1994,-1,Super_Lig,2021_2022
73,Abel Camará,GNB,FW,B-SAD,31,1990,-1,Primeira_Liga,2021_2022
74,Abel Ruiz,ESP,FW,Braga,22,2000,-1,Primeira_Liga,2022_2023
74,Abel Ruiz,ESP,"FW,MF",Braga,21,2000,-1,Primeira_Liga,2021_2022
74,Abel Ruiz,ESP,"FW,MF",Braga,23,2000,-1,Primeira_Liga,2023_2024
75,Abiola Dauda,NGA,"FW,MF",Apollon Smyrnis,33,1988,-1,Super_League_Greece,2021_2022
76,Ablie Jallow,GAM,"MF,FW",Metz,24,1998,-1,Ligue_1,2023_2024
76,Ablie Jallow,GAM,"MF,FW",R.F.C. Seraing,22,1998,-1,Belgian_Pro_League,2021_2022
77,Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,-1,Belgian_Pro_League,2023_2024
78,Abner,BRA,DF,Betis,22,2000,-1,La_Liga,2022_2023
78,Abner,BRA,DF,Betis,23,2000,-1,La_Liga,2023_2024
79,Abou Lô,SEN,"MF,DF",Metz,23,2000,-1,Ligue_1,2023_2024
80,Abou-Malal Ba,FRA,MF,R.F.C. Seraing,24,1998,-1,Belgian_Pro_League,2022_2023
81,Aboubacar Ali,FRA,"MF,FW",Strasbourg,17,2006,-1,Ligue_1,2023_2024
82,Aboubacar Ibrahim Toungara,MLI,FW,Arda,27,1994,-1,Bulgarian_First_League,2022_2023
82,Aboubacar Ibrahim Toungara,MLI,FW,Arda,28,1994,-1,Bulgarian_First_League,2023_2024
82,Aboubacar Ibrahim Toungara,MLI,FW,Beroe,26,1994,-1,Bulgarian_First_League,2021_2022
82,Aboubacar Ibrahim Toungara,MLI,FW,Beroe,27,1994,-1,Bulgarian_First_League,2022_2023
83,Aboubakar Kamara,MTN,FW,Aris,26,1995,-1,Super_League_Greece,2021_2022
83,Aboubakar Kamara,MTN,FW,Aris,27,1995,-1,Super_League_Greece,2022_2023
83,Aboubakar Kamara,MTN,FW,Olympiacos,27,1995,-1,Super_League_Greece,2022_2023
84,Aboubakar Keita,CIV,DF,Charleroi,23,1997,-1,Belgian_Pro_League,2021_2022
85,Aboubakar Sidibé,FRA,DF,Clermont Foot,25,1996,-1,Ligue_1,2021_2022
86,Aboubakary Koita,MTN,"DF,MF",Sint-Truiden,22,1998,-1,Belgian_Pro_League,2021_2022
86,Aboubakary Koita,MTN,"DF,MF",Sint-Truiden,23,1998,-1,Belgian_Pro_League,2022_2023
86,Aboubakary Koita,MTN,"MF,FW",Sint-Truiden,24,1998,-1,Belgian_Pro_League,2023_2024
87,Abraham Marcus,NGA,FW,Portimonense,21,2000,-1,Primeira_Liga,2021_2022
87,Abraham Marcus,NGA,FW,Porto,22,2000,-1,Primeira_Liga,2022_2023
87,Abraham Marcus,NGA,"MF,FW",Radomiak Radom,21,2000,-1,Ekstraklasa,2021_2022
88,Abraham Okyere,GHA,MF,Beerschot,19,2002,-1,Belgian_Pro_League,2021_2022
89,Achilleas Poungouras,GRE,DF,Panathinaikos,25,1995,-1,Super_League_Greece,2021_2022
89,Achilleas Poungouras,GRE,DF,Panathinaikos,26,1995,-1,Super_League_Greece,2022_2023
89,Achilleas Poungouras,GRE,"DF,MF",Sivasspor,27,1995,-1,Super_Lig,2023_2024
90,Achraf Dari,MAR,DF,Brest,23,1999,-1,Ligue_1,2022_2023
90,Achraf Dari,MAR,DF,Charleroi,24,1999,-1,Belgian_Pro_League,2023_2024
90,Achraf Dari,MAR,"DF,FW",Brest,24,1999,-1,Ligue_1,2023_2024
91,Achraf Douiri,NED,"DF,FW",Volendam,22,1999,-1,Eredivisie,2022_2023
91,Achraf Douiri,NED,"DF,FW",Volendam,23,1999,-1,Eredivisie,2023_2024
92,Achraf El Bouchataoui,NED,MF,RKC Waalwijk,21,2000,-1,Eredivisie,2021_2022
93,Achraf Hakimi,MAR,DF,Paris S-G,22,1998,70000000,Ligue_1,2021_2022
93,Achraf Hakimi,MAR,DF,Paris S-G,24,1998,-1,Ligue_1,2023_2024
93,Achraf Hakimi,MAR,"DF,MF",Paris S-G,23,1998,-1,Ligue_1,2022_2023
94,Achraf Lazaar,MAR,DF,Portimonense,29,1992,-1,Primeira_Liga,2021_2022
95,Achraf Madi,NED,DF,Sparta R'dam,19,2002,-1,Eredivisie,2021_2022
96,Adam Andersson,SWE,DF,Randers,25,1996,-1,Danish_Superliga,2022_2023
97,Adam Armstrong,ENG,FW,Southampton,24,1997,-1,Premier_League,2021_2022
97,Adam Armstrong,ENG,"FW,MF",Southampton,25,1997,-1,Premier_League,2022_2023
98,Adam Buksa,POL,FW,Antalyaspor,27,1996,-1,Super_Lig,2023_2024
98,Adam Buksa,POL,"FW,MF",Lens,26,1996,-1,Ligue_1,2022_2023
99,Adam Chrzanowski,POL,DF,Wisła Płock,22,1999,-1,Ekstraklasa,2021_2022
99,Adam Chrzanowski,POL,DF,Wisła Płock,23,1999,-1,Ekstraklasa,2022_2023
100,Adam Daghim,DEN,MF,AGF,15,2005,-1,Danish_Superliga,2021_2022
100,Adam Daghim,DEN,MF,AGF,16,2005,-1,Danish_Superliga,2022_2023
100,Adam Daghim,DEN,MF,AGF,17,2005,-1,Danish_Superliga,2023_2024
100,Adam Daghim,DEN,MF,RB Salzburg,17,2005,-1,Austrian_Bundesliga,2023_2024
101,Adam Deja,POL,MF,Korona Kielce,29,1993,-1,Ekstraklasa,2022_2023
102,Adam Dębiński,POL,MF,Widzew Łódź,18,2004,-1,Ekstraklasa,2022_2023
103,Adam Forshaw,ENG,MF,Leeds United,29,1991,-1,Premier_League,2021_2022
103,Adam Forshaw,ENG,MF,Leeds United,30,1991,-1,Premier_League,2022_2023
104,Adam Frączczak,POL,MF,Korona Kielce,34,1987,-1,Ekstraklasa,2022_2023
105,Adam Gabriel,CZE,"DF,MF",Midtjylland,22,2001,-1,Danish_Superliga,2023_2024
106,Adam Gnezda Čerin,SVN,MF,Panathinaikos,24,1999,-1,Super_League_Greece,2023_2024
106,Adam Gnezda Čerin,SVN,"MF,FW",Panathinaikos,23,1999,-1,Super_League_Greece,2022_2023
107,Adam Griger,SVK,FW,LASK,17,2004,-1,Austrian_Bundesliga,2021_2022
108,Adam Hloušek,CZE,"MF,DF",Bruk-Bet Termalica Nieciecza,32,1988,-1,Ekstraklasa,2021_2022
109,Adam Hložek,CZE,"FW,MF",Leverkusen,20,2002,-1,Bundesliga,2022_2023
109,Adam Hložek,CZE,"MF,FW",Leverkusen,21,2002,-1,Bundesliga,2023_2024
110,Adam Idah,IRL,"FW,MF",Norwich City,20,2001,-1,Premier_League,2021_2022
111,Adam Kramarz,POL,MF,Puszcza Niepołomice,20,2002,-1,Ekstraklasa,2023_2024
112,Adam Lallana,ENG,MF,Brighton,33,1988,-1,Premier_League,2021_2022
112,Adam Lallana,ENG,"MF,FW",Brighton,34,1988,-1,Premier_League,2022_2023
112,Adam Lallana,ENG,"MF,FW",Brighton,35,1988,-1,Premier_League,2023_2024
113,Adam Maher,NED,MF,Utrecht,28,1993,-1,Eredivisie,2021_2022
114,Adam Marciniak,POL,DF,Łódzki KS,34,1988,-1,Ekstraklasa,2023_2024
115,Adam Marušić,MNE,DF,Lazio,28,1992,-1,Serie_A,2021_2022
115,Adam Marušić,MNE,DF,Lazio,29,1992,-1,Serie_A,2022_2023
115,Adam Marušić,MNE,DF,Lazio,30,1992,-1,Serie_A,2023_2024
116,Adam Masina,MAR,DF,Torino,29,1994,-1,Serie_A,2023_2024
116,Adam Masina,MAR,DF,Udinese,28,1994,-1,Serie_A,2022_2023
116,Adam Masina,MAR,DF,Udinese,29,1994,-1,Serie_A,2023_2024
116,Adam Masina,MAR,DF,Watford,27,1994,-1,Premier_League,2021_2022
117,Adam Obert,SVK,DF,Cagliari,20,2002,-1,Serie_A,2023_2024
117,Adam Obert,SVK,"DF,MF",Cagliari,18,2002,-1,Serie_A,2021_2022
118,Adam Ounas,ALG,FW,Lille,26,1996,-1,Ligue_1,2023_2024
118,Adam Ounas,ALG,FW,Napoli,25,1996,-1,Serie_A,2022_2023
118,Adam Ounas,ALG,"FW,MF",Lille,25,1996,-1,Ligue_1,2022_2023
118,Adam Ounas,ALG,"MF,FW",Napoli,24,1996,-1,Serie_A,2021_2022
119,Adam Radwański,POL,"MF,FW",Bruk-Bet Termalica Nieciecza,23,1998,-1,Ekstraklasa,2021_2022
120,Adam Ratajczyk,POL,MF,Zagłębie Lubin,20,2002,-1,Ekstraklasa,2022_2023
120,Adam Ratajczyk,POL,"MF,DF",Zagłębie Lubin,19,2002,-1,Ekstraklasa,2021_2022
120,Adam Ratajczyk,POL,"MF,FW",Stal Mielec,20,2002,-1,Ekstraklasa,2022_2023
121,Adam Smith,ENG,DF,Bournemouth,31,1991,-1,Premier_League,2022_2023
121,Adam Smith,ENG,DF,Bournemouth,32,1991,-1,Premier_League,2023_2024
122,Adam Stejskal,CZE,GK,WSG Tirol,20,2002,-1,Austrian_Bundesliga,2023_2024
123,Adam Sørensen,DEN,"MF,DF",Lyngby,21,2000,-1,Danish_Superliga,2022_2023
124,Adam Tzanetopoulos,GRE,DF,PAS Lamia,26,1995,-1,Super_League_Greece,2021_2022
124,Adam Tzanetopoulos,GRE,DF,PAS Lamia,27,1995,-1,Super_League_Greece,2022_2023
124,Adam Tzanetopoulos,GRE,DF,PAS Lamia,28,1995,-1,Super_League_Greece,2023_2024
125,Adam Vlkanova,CZE,"MF,FW",Ruch Chorzów,28,1994,-1,Ekstraklasa,2023_2024
126,Adam Webster,ENG,DF,Brighton,26,1995,-1,Premier_League,2021_2022
126,Adam Webster,ENG,DF,Brighton,27,1995,-1,Premier_League,2022_2023
126,Adam Webster,ENG,DF,Brighton,28,1995,-1,Premier_League,2023_2024
127,Adam Wharton,ENG,MF,Crystal Palace,19,2004,30000000,Premier_League,2023_2024
128,Adam Zreľák,SVK,FW,Warta Poznań,27,1994,-1,Ekstraklasa,2021_2022
128,Adam Zreľák,SVK,FW,Warta Poznań,28,1994,-1,Ekstraklasa,2022_2023
128,Adam Zreľák,SVK,FW,Warta Poznań,29,1994,-1,Ekstraklasa,2023_2024
129,Adama Bojang,GAM,FW,Reims,19,2004,-1,Ligue_1,2023_2024
130,Adama Fofana,CIV,MF,Vejle BK,20,2001,-1,Danish_Superliga,2021_2022
131,Adama Soumaoro,FRA,DF,Bologna,29,1992,-1,Serie_A,2021_2022
131,Adama Soumaoro,FRA,DF,Bologna,30,1992,-1,Serie_A,2022_2023
132,Adama Traoré,ESP,FW,Barcelona,25,1996,-1,La_Liga,2021_2022
132,Adama Traoré,ESP,"FW,MF",Fulham,27,1996,-1,Premier_League,2023_2024
132,Adama Traoré,ESP,"FW,MF",Wolves,25,1996,-1,Premier_League,2021_2022
132,Adama Traoré,ESP,"FW,MF",Wolves,26,1996,-1,Premier_League,2022_2023
133,Adama Traoré,MLI,MF,Hatayspor,26,1995,-1,Super_Lig,2021_2022
134,Adamo Nagalo,BFA,DF,Nordsjælland,18,2002,-1,Danish_Superliga,2021_2022
134,Adamo Nagalo,BFA,DF,Nordsjælland,19,2002,-1,Danish_Superliga,2022_2023
134,Adamo Nagalo,BFA,DF,Nordsjælland,20,2002,-1,Danish_Superliga,2023_2024
135,Adel Bettaieb,TUN,FW,Ümraniyespor,25,1997,-1,Super_Lig,2022_2023
136,Adel Mahamoud,COM,FW,Nantes,20,2003,-1,Ligue_1,2023_2024
137,Adel Taarabt,MAR,MF,Benfica,32,1989,-1,Primeira_Liga,2021_2022
138,Adem Büyük,TUR,"FW,MF",Yeni Mal'spor,33,1987,-1,Super_Lig,2021_2022
139,Adem Ljajić,SRB,FW,Fatih Karagümrük,31,1991,-1,Super_Lig,2023_2024
139,Adem Ljajić,SRB,"FW,MF",Fatih Karagümrük,30,1991,-1,Super_Lig,2022_2023
139,Adem Ljajić,SRB,"FW,MF",Novi Pazar,31,1991,-1,Serbian_SuperLiga,2023_2024
140,Adem Zorgane,ALG,MF,Charleroi,21,2000,-1,Belgian_Pro_League,2021_2022
140,Adem Zorgane,ALG,MF,Charleroi,22,2000,-1,Belgian_Pro_League,2022_2023
140,Adem Zorgane,ALG,MF,Charleroi,23,2000,-1,Belgian_Pro_League,2023_2024
141,Ademola Lookman,NGA,"FW,MF",Atalanta,24,1997,-1,Serie_A,2022_2023
141,Ademola Lookman,NGA,"FW,MF",Atalanta,25,1997,-1,Serie_A,2023_2024
141,Ademola Lookman,NGA,"FW,MF",Leicester City,23,1997,-1,Premier_League,2021_2022
142,Aderinsola Habib Eseola,UKR,FW,PFC Hebar Pazardzhik,31,1991,-1,Bulgarian_First_League,2022_2023
143,Aderlan Santos,BRA,DF,Rio Ave,33,1989,-1,Primeira_Liga,2022_2023
143,Aderlan Santos,BRA,DF,Rio Ave,34,1989,-1,Primeira_Liga,2023_2024
144,Adetunji Adeshina,NGA,MF,Novi Pazar,17,2004,-1,Serbian_SuperLiga,2022_2023
144,Adetunji Adeshina,NGA,MF,Novi Pazar,18,2004,-1,Serbian_SuperLiga,2023_2024
145,Adewale Oladoye,NGA,MF,Gent,19,2001,-1,Belgian_Pro_League,2021_2022
146,Adewele Sapara,NGA,"FW,MF",Portimonense,27,1995,-1,Primeira_Liga,2022_2023
146,Adewele Sapara,NGA,"MF,DF",Portimonense,26,1995,-1,Primeira_Liga,2021_2022
147,Adi Mehremić,BIH,DF,İstanbulspor,30,1992,-1,Super_Lig,2022_2023
148,Adi Nalic,BIH,"FW,MF",Almere City,25,1997,-1,Eredivisie,2023_2024
149,Adil Aouchiche,FRA,MF,Lorient,20,2002,-1,Ligue_1,2022_2023
149,Adil Aouchiche,FRA,"MF,FW",Saint-Étienne,19,2002,-1,Ligue_1,2021_2022
150,Adil Auassar,NED,DF,Sparta R'dam,35,1986,-1,Eredivisie,2022_2023
150,Adil Auassar,NED,"DF,MF",Sparta R'dam,34,1986,-1,Eredivisie,2021_2022
151,Adil Demirbağ,TUR,DF,Konyaspor,23,1997,-1,Super_Lig,2021_2022
151,Adil Demirbağ,TUR,DF,Konyaspor,24,1997,-1,Super_Lig,2022_2023
151,Adil Demirbağ,TUR,DF,Konyaspor,25,1997,-1,Super_Lig,2023_2024
152,Adil Nabi,ENG,MF,Atromitos,27,1994,-1,Super_League_Greece,2021_2022
152,Adil Nabi,ENG,MF,OFI Crete,27,1994,-1,Super_League_Greece,2021_2022
153,Adil Rami,FRA,DF,Troyes,35,1985,-1,Ligue_1,2021_2022
153,Adil Rami,FRA,DF,Troyes,36,1985,-1,Ligue_1,2022_2023
154,Adil Rhaili,MAR,DF,Apollon Smyrnis,30,1991,-1,Super_League_Greece,2021_2022
155,Adil Taoui,FRA,FW,LASK,20,2001,-1,Austrian_Bundesliga,2022_2023
155,Adil Taoui,FRA,MF,LASK,21,2001,-1,Austrian_Bundesliga,2023_2024
156,Adis Jahović,MKD,"FW,MF",Göztepe,34,1987,-1,Super_Lig,2021_2022
157,Adis Jasic,AUT,DF,Wolfsberger AC,18,2003,-1,Austrian_Bundesliga,2021_2022
157,Adis Jasic,AUT,"DF,MF",Wolfsberger AC,19,2003,-1,Austrian_Bundesliga,2022_2023
