club_id,club,confederation,country,uefa_rating,uefa_season_ranking,overall_uefa_rating,overall_uefa_club_rank,season
43,Beşiktaş,,,-1,-1,-1,-1,
44,Blau-Weiß Linz,,,-1,-1,-1,-1,
45,Boavista,,,-1,-1,-1,-1,
45,Boavista,,,-1,-1,-1,-1,
45,Boavista,,,-1,-1,-1,-1,
46,Bochum,,,-1,-1,-1,-1,
46,Bochum,,,-1,-1,-1,-1,
46,Bochum,,,-1,-1,-1,-1,
47,Bologna,UEFA,Italy,-1,-1,0,102,2021_2022
47,Bologna,UEFA,Italy,-1,-1,0,102,2022_2023
47,Bologna,UEFA,Italy,-1,-1,0,102,2023_2024
48,Bordeaux,UEFA,France,-1,-1,0,102,2021_2022
49,Botev Plovdiv,UEFA,Bulgaria,-1,-1,1,98,2021_2022
49,Botev Plovdiv,UEFA,Bulgaria,1,72,1,98,2022_2023
49,Botev Plovdiv,UEFA,Bulgaria,-1,-1,1,98,2023_2024
50,Botev Vratsa,,,-1,-1,-1,-1,
50,Botev Vratsa,,,-1,-1,-1,-1,
50,Botev Vratsa,,,-1,-1,-1,-1,
51,Bournemouth,,,-1,-1,-1,-1,
51,Bournemouth,,,-1,-1,-1,-1,
52,Braga,UEFA,Portugal,16,22,30,41,2021_2022
52,Braga,UEFA,Portugal,7,48,30,41,2022_2023
52,Braga,UEFA,Portugal,7,43,30,41,2023_2024
53,Brentford,,,-1,-1,-1,-1,
53,Brentford,,,-1,-1,-1,-1,
53,Brentford,,,-1,-1,-1,-1,
54,Brest,UEFA,France,-1,-1,0,102,2021_2022
54,Brest,UEFA,France,-1,-1,0,102,2022_2023
54,Brest,UEFA,France,-1,-1,0,102,2023_2024
55,Brighton,UEFA,England,-1,-1,14,56,2021_2022
55,Brighton,UEFA,England,-1,-1,14,56,2022_2023
55,Brighton,UEFA,England,14,31,14,56,2023_2024
56,Bruk-Bet Termalica Nieciecza,,,-1,-1,-1,-1,
57,Brøndby,UEFA,Denmark,3,58,5,78,2021_2022
57,Brøndby,UEFA,Denmark,2,66,5,78,2022_2023
57,Brøndby,UEFA,Denmark,-1,-1,5,78,2023_2024
58,Burnley,UEFA,England,-1,-1,0,102,2021_2022
58,Burnley,UEFA,England,-1,-1,0,102,2023_2024
59,CSKA 1948,UEFA,Bulgaria,-1,-1,1,98,2021_2022
59,CSKA 1948,UEFA,Bulgaria,-1,-1,1,98,2022_2023
59,CSKA 1948,UEFA,Bulgaria,1,75,1,98,2023_2024
60,CSKA Sofia,UEFA,Bulgaria,1,75,5,78,2021_2022
60,CSKA Sofia,UEFA,Bulgaria,2,57,5,78,2022_2023
60,CSKA Sofia,UEFA,Bulgaria,1,75,5,78,2023_2024
61,Cagliari,,,-1,-1,-1,-1,
61,Cagliari,,,-1,-1,-1,-1,
62,Cambuur,,,-1,-1,-1,-1,
62,Cambuur,,,-1,-1,-1,-1,
63,Casa Pia,,,-1,-1,-1,-1,
63,Casa Pia,,,-1,-1,-1,-1,
