player_id,player,nation,position,club,age,year_of_birth,league,season,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
2587,Daniel Maldini,ITA,"FW,MF",Empoli,21,2001,Serie_A,2023_2024,3.7,0,0,0,3.0,5.0,2.0,9.0,2.0,2.0,0.0,0.0,0,11.0,1.0,5.0,16.7
2587,Daniel Maldini,ITA,"FW,MF",Spezia,20,2001,Serie_A,2022_2023,7.0,1,0,0,13.0,18.0,0.0,19.0,1.0,5.0,0.0,0.0,0,32.0,12.0,17.0,41.4
2587,Daniel Maldini,ITA,MF,Milan,19,2001,Serie_A,2021_2022,1.6,1,0,0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0,5.0,3.0,5.0,37.5
2587,Daniel Maldini,ITA,"MF,FW",Monza,21,2001,Serie_A,2023_2024,2.9,1,0,0,8.0,5.0,0.0,5.0,2.0,2.0,0.0,0.0,0,6.0,7.0,5.0,58.3
2587,Daniel Maldini,ITA,"MF,FW",Monza,21,2001,Serie_A,2023_2024,3.7,0,0,0,3.0,5.0,2.0,9.0,2.0,2.0,0.0,0.0,0,11.0,1.0,5.0,16.7
2588,Daniel Mancini,ARG,MF,Panathinaikos,25,1996,Super_League_Greece,2022_2023,11.7,3,0,0,,,,,,,,,0,,,,
2588,Daniel Mancini,ARG,MF,Panathinaikos,25,1996,Super_League_Greece,2022_2023,14.8,2,0,0,,,,,,,,,0,,,,
2588,Daniel Mancini,ARG,MF,Panathinaikos,26,1996,Super_League_Greece,2023_2024,15.4,4,0,0,,,,,,,,,0,,,,
2588,Daniel Mancini,ARG,"MF,FW",Aris,24,1996,Super_League_Greece,2021_2022,23.8,8,0,0,,,,,,,,,0,,,,
2588,Daniel Mancini,ARG,"MF,FW",Aris,25,1996,Super_League_Greece,2022_2023,11.7,3,0,0,,,,,,,,,0,,,,
2588,Daniel Mancini,ARG,"MF,FW",Aris,25,1996,Super_League_Greece,2022_2023,14.8,2,0,0,,,,,,,,,0,,,,
2589,Daniel Miljanovic,SWE,MF,FK Levski 2005,22,2001,Bulgarian_First_League,2023_2024,11.7,3,0,0,,,,,,,,,0,,,,
