Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
AEK Athens,30,36.0,78,,,,,,,,,7,9
AO Kifisia,35,33.0,34,,,,,,,,,6,7
Aris,33,36.0,50,,,,,,,,,6,7
Asteras Tripoli,33,33.0,40,,,,,,,,,3,5
Atromitos,27,33.0,35,,,,,,,,,5,7
OFI Crete,30,33.0,35,,,,,,,,,4,6
Olympiacos,36,36.0,72,,,,,,,,,10,14
Panathinaikos,32,36.0,78,,,,,,,,,10,12
Panetolikos,30,33.0,36,,,,,,,,,2,2
Panserraikos,32,33.0,36,,,,,,,,,7,9
PAOK,28,36.0,84,,,,,,,,,4,8
PAS Giannina,34,33.0,33,,,,,,,,,4,4
PAS Lamia,32,36.0,42,,,,,,,,,2,4
Volos NFC,33,33.0,33,,,,,,,,,5,7
