Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked,Matches
Carlos Augusto,br BRA,"DF,FW",it Inter,24,1999,5.3,274,236,38,2,0,1,16,35,1,1,0,0,203,0,9,Matches
Yann Aurel Bisseck,de GER,DF,it Inter,22,2000,1.9,159,155,4,3,0,2,3,1,0,0,0,0,147,0,3,Matches
Fredrik Aursnes,no NOR,"DF,MF",pt Benfica,27,1995,6.0,325,292,32,1,0,3,9,30,1,0,1,0,252,1,9,Matches
Kaan Ayhan,tr TUR,"MF,DF",tr Galatasaray,28,1994,4.2,209,208,0,0,3,2,1,0,0,0,0,0,159,1,3,Matches
Neil El Aynaoui,fr FRA,MF,fr Lens,22,2001,1.5,42,40,1,1,0,0,0,0,0,0,0,0,36,1,0,Matches
Irakli Azarov,ge GEO,DF,ua Shakhtar,21,2002,3.3,177,148,29,5,3,0,5,24,0,0,0,0,147,0,4,Matches
César Azpilicueta,es ESP,DF,es Atlético Madrid,33,1989,3.2,174,164,10,2,0,1,1,7,0,0,0,0,154,0,1,Matches
Isaac Babadi,nl NED,"FW,MF",nl PSV Eindhoven,18,2005,0.2,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
Loïc Bade,fr FRA,DF,es Sevilla,23,2000,1.1,48,46,1,1,0,1,0,0,0,0,0,0,39,1,2,Matches
Alexander Bah,dk DEN,DF,pt Benfica,25,1997,2.1,162,136,25,0,0,0,6,25,0,0,0,0,118,1,5,Matches
Samson Baidoo,at AUT,DF,at RB Salzburg,19,2004,3.4,200,187,13,9,0,2,0,4,0,0,0,0,161,0,1,Matches
Cédric Bakambu,cd COD,FW,tr Galatasaray,32,1991,0.4,11,9,2,0,0,0,0,0,0,0,0,0,7,0,1,Matches
Johan Bakayoko,be BEL,FW,nl PSV Eindhoven,20,2003,7.2,248,234,14,2,1,0,30,4,6,4,0,0,185,0,11,Matches

Alejandro Balde,es ESP,DF,es Barcelona,19,2003,3.7,255,224,31,4,0,2,15,27,0,0,0,0,219,0,8,Matches
Michel-Ange Balikwisha,be BEL,"FW,MF",be Antwerp,22,2001,4.3,127,107,19,1,0,0,30,4,14,5,8,0,87,1,5,Matches
David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,1.0,40,33,4,2,0,0,0,0,0,0,0,0,28,3,0,Matches
Simon Banza,cd COD,FW,pt Braga,26,1996,3.8,78,69,9,1,0,0,1,2,0,0,0,0,56,0,2,Matches
Bradley Barcola,fr FRA,"FW,DF",fr Paris S-G,20,2002,5.3,187,181,6,0,0,1,11,5,1,1,0,0,148,0,4,Matches
Abdülkerim Bardakcı,tr TUR,DF,tr Galatasaray,28,1994,6.0,392,367,25,16,1,4,2,3,0,0,0,0,318,0,2,Matches
Roony Bardghji,se SWE,"MF,FW",dk FC Copenhagen,17,2005,1.6,53,51,2,0,0,1,2,1,1,1,0,0,46,0,2,Matches
Nicolò Barella,it ITA,MF,it Inter,26,1997,5.2,343,332,10,4,3,5,16,5,1,0,1,0,280,1,10,Matches
Harvey Barnes,eng ENG,FW,eng Newcastle Utd,25,1997,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Romário Baró,pt POR,MF,pt Porto,23,2000,0.7,18,17,1,1,0,0,1,0,0,0,0,0,16,0,1,Matches
Ander Barrenetxea,es ESP,"FW,MF",es Real Sociedad,21,2001,4.4,181,176,5,1,0,1,12,0,4,0,0,0,136,0,12,Matches
Pablo Barrios,es ESP,MF,es Atlético Madrid,20,2003,2.9,181,180,0,0,0,4,4,0,0,0,0,0,159,1,2,Matches
Davide Bartesaghi,it ITA,FW,it Milan,17,2005,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Alessandro Bastoni,it ITA,DF,it Inter,24,1999,5.6,401,359,39,17,2,3,12,20,0,0,0,0,339,3,12,Matches
Jelle Bataille,be BEL,DF,be Antwerp,24,1999,4.6,260,222,37,3,2,0,10,33,1,0,0,0,202,1,5,Matches
Christoph Baumgartner,at AUT,MF,de RB Leipzig,23,1999,1.3,46,45,1,0,1,1,1,1,0,0,0,0,34,0,2,Matches
Sheraldo Becker,sr SUR,FW,de Union Berlin,28,1995,4.1,87,85,1,0,0,0,21,1,0,0,0,0,50,1,6,Matches
Sheraldo Becker,sr SUR,FW,es Real Sociedad,28,1995,0.7,18,18,0,0,0,0,3,0,0,0,0,0,9,0,1,Matches
Thomas Beelen,nl NED,DF,nl Feyenoord,22,2001,0.9,56,55,1,1,0,0,0,0,0,0,0,0,52,0,1,Matches
Kevin Behrens,de GER,FW,de Union Berlin,32,1991,3.3,66,63,2,0,0,0,3,0,0,0,0,0,41,1,2,Matches
Armel Bella Kotchap,de GER,DF,nl PSV Eindhoven,21,2001,0.9,50,48,2,2,0,1,0,0,0,0,0,0,43,0,2,Matches
Jude Bellingham,eng ENG,"MF,FW",es Real Madrid,20,2003,11.0,587,572,12,1,2,3,14,2,0,0,0,0,517,3,13,Matches
Walter Benítez,ar ARG,GK,nl PSV Eindhoven,30,1993,8.0,271,204,66,16,0,0,0,0,0,0,0,0,206,1,0,Matches
Loris Benito,ch SUI,DF,ch Young Boys,31,1992,4.5,244,219,25,8,0,0,0,1,0,0,0,0,215,0,1,Matches
Ramy Bensebaini,dz ALG,DF,de Dortmund,28,1995,4.2,226,183,43,7,0,0,9,36,0,0,0,0,174,0,9,Matches

Lucas Beraldo,br BRA,DF,fr Paris S-G,19,2003,4.5,344,328,14,6,0,1,0,8,0,0,0,0,303,2,5,Matches
Paulo Bernardo,pt POR,MF,sct Celtic,21,2002,3.5,120,119,1,1,0,0,1,0,0,0,0,0,95,0,3,Matches
Juan Bernat,es ESP,DF,pt Benfica,30,1993,1.2,64,57,7,1,0,0,0,6,0,0,0,0,61,0,0,Matches
Mads Bidstrup,dk DEN,MF,at RB Salzburg,22,2001,5.5,147,142,4,4,0,1,2,0,0,0,0,0,97,1,6,Matches
Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4.0,178,163,15,3,0,0,0,0,0,0,0,0,155,0,0,Matches
Janis Blaswich,de GER,GK,de RB Leipzig,32,1991,5.0,241,185,56,15,0,1,0,0,0,0,0,0,211,0,0,Matches
Lewin Blum,ch SUI,DF,ch Young Boys,22,2001,2.4,84,68,15,0,0,0,12,15,0,0,0,0,54,1,1,Matches
Oscar Bobb,no NOR,"FW,MF",eng Manchester City,20,2003,2.4,99,96,3,1,0,0,1,1,1,0,0,0,87,0,1,Matches
Sacha Boey,fr FRA,DF,tr Galatasaray,22,2000,6.0,372,304,67,3,1,0,16,64,0,0,0,0,298,1,9,Matches
Nicolai Boilesen,dk DEN,"DF,FW",dk FC Copenhagen,31,1992,1.0,62,58,4,3,0,0,1,1,0,0,0,0,53,0,0,Matches
Valerii Bondar,ua UKR,DF,ua Shakhtar,24,1999,4.0,175,166,8,8,1,1,0,0,0,0,0,0,158,1,4,Matches
Artem Bondarenko,ua UKR,MF,ua Shakhtar,22,2000,2.5,145,142,3,2,0,0,2,0,0,0,0,0,130,0,0,Matches
Leonardo Bonucci,it ITA,DF,de Union Berlin,36,1987,2.9,83,80,3,2,0,2,0,1,0,0,0,0,60,0,0,Matches
Gonçalo Borges,pt POR,FW,pt Porto,22,2001,0.4,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
Cristian Borja,co COL,DF,pt Braga,30,1993,5.7,320,274,45,7,0,0,17,36,2,0,1,0,277,1,5,Matches
Olivier Boscagli,fr FRA,DF,nl PSV Eindhoven,25,1997,6.8,442,410,30,16,2,6,1,2,0,0,0,0,357,2,6,Matches
Sven Botman,nl NED,DF,eng Newcastle Utd,23,2000,1.0,47,43,4,4,0,1,0,0,0,0,0,0,41,0,0,Matches
Julian Brandt,de GER,"MF,FW",de Dortmund,27,1996,8.7,445,378,66,13,1,3,61,1,50,20,25,0,333,1,12,Matches
Bruma,pt POR,FW,pt Braga,28,1994,4.1,183,178,5,0,0,1,6,5,0,0,0,0,152,0,5,Matches
Osman Bukari,gh GHA,FW,rs Red Star,24,1998,5.4,125,117,5,3,2,0,12,2,0,0,0,0,79,3,3,Matches
Dan Burn,eng ENG,DF,eng Newcastle Utd,31,1992,3.1,115,92,23,1,0,0,1,22,0,0,0,0,86,0,2,Matches
Jean Butez,fr FRA,GK,be Antwerp,28,1995,5.0,217,197,19,3,0,0,0,0,0,0,0,0,167,1,0,Matches
Arthur Cabral,br BRA,"FW,DF",pt Benfica,25,1998,1.3,28,27,1,0,0,0,1,0,0,0,0,0,21,0,1,Matches
Jens Cajuste,se SWE,MF,it Napoli,23,1999,1.8,75,72,3,2,0,1,0,1,0,0,0,0,60,0,3,Matches
Davide Calabria,it ITA,DF,it Milan,26,1996,4.8,232,190,41,8,0,1,10,33,0,0,0,0,182,1,6,Matches

Hakan Çalhanoğlu,tr TUR,MF,it Inter,29,1994,5.7,437,388,48,31,2,7,23,4,13,4,5,1,376,1,6,Matches
Eduardo Camavinga,fr FRA,MF,es Real Madrid,20,2002,8.8,508,495,11,7,3,3,1,3,0,0,0,0,460,2,9,Matches
Emre Can,de GER,"MF,DF",de Dortmund,29,1994,10.1,498,489,8,7,0,4,2,1,0,0,0,0,429,1,6,Matches
João Cancelo,pt POR,DF,es Barcelona,29,1994,9.0,597,516,80,10,0,8,26,70,0,0,0,0,515,1,12,Matches
Nicolás Capaldo,ar ARG,"MF,DF",at RB Salzburg,25,1997,2.4,68,64,4,1,0,0,2,2,1,1,0,0,47,0,2,Matches
Fábio Cardoso,pt POR,DF,pt Porto,29,1994,3.0,138,131,6,4,0,1,0,0,0,0,0,0,126,1,0,Matches
David Carmo,ao ANG,DF,pt Porto,24,1999,4.0,261,246,13,9,0,0,0,0,0,0,0,0,229,2,1,Matches
Cameron Carter-Vickers,us USA,DF,sct Celtic,25,1997,3.3,297,289,6,6,0,1,0,0,0,0,0,0,271,2,1,Matches
Dani Carvajal,es ESP,DF,es Real Madrid,31,1992,9.4,500,413,87,10,0,1,7,77,0,0,0,0,414,0,17,Matches
Fabio Carvalho,pt POR,MF,de RB Leipzig,20,2002,1.4,41,38,3,1,0,0,1,0,2,0,0,0,34,0,2,Matches
Vitor Carvalho,br BRA,MF,pt Braga,26,1997,2.9,189,181,8,2,0,0,1,4,0,0,0,0,175,0,2,Matches
Marc Casado,es ESP,MF,es Barcelona,19,2003,0.3,23,23,0,0,0,1,1,0,0,0,0,0,17,0,0,Matches
Nicolò Casale,it ITA,DF,it Lazio,25,1998,2.0,154,150,4,4,0,2,0,0,0,0,0,0,146,0,1,Matches
Casemiro,br BRA,MF,eng Manchester Utd,31,1992,1.8,95,91,4,4,4,3,0,0,0,0,0,0,75,0,0,Matches
Valentín Castellanos,ar ARG,FW,it Lazio,24,1998,2.4,48,46,2,0,0,0,2,0,0,0,0,0,29,0,2,Matches
André Castro,pt POR,MF,pt Braga,35,1988,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
Danilo Cataldi,it ITA,MF,it Lazio,28,1994,1.8,93,89,4,2,0,0,3,0,2,1,1,0,78,0,4,Matches
Dani Ceballos,es ESP,MF,es Real Madrid,26,1996,1.7,143,141,2,1,0,1,4,1,0,0,0,0,127,0,2,Matches
Miguel Chaiwa,zm ZAM,MF,ch Young Boys,19,2004,0.7,19,19,0,0,0,0,0,0,0,0,0,0,11,0,2,Matches
Chiquinho,pt POR,MF,pt Benfica,28,1995,0.6,45,39,6,4,0,0,4,0,2,2,0,0,38,0,1,Matches
Andreas Christensen,dk DEN,"DF,MF",es Barcelona,27,1996,4.9,343,330,13,8,0,0,0,4,0,0,0,0,324,0,0,Matches
Samuel Chukwueze,ng NGA,FW,it Milan,24,1999,1.8,53,51,2,0,0,0,3,2,0,0,0,0,41,0,2,Matches
Viktor Claesson,se SWE,"FW,MF",dk FC Copenhagen,31,1992,5.3,181,174,7,0,1,0,0,1,1,0,0,0,130,0,6,Matches
William Clem,dk DEN,MF,dk FC Copenhagen,19,2004,0.8,17,17,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches
Ebrima Colley,gm GAM,"MF,FW",ch Young Boys,23,2000,1.4,37,36,0,0,0,0,3,0,0,0,0,0,19,1,3,Matches

Kingsley Coman,fr FRA,FW,de Bayern Munich,27,1996,5.0,236,229,6,1,0,5,23,2,1,0,0,0,186,1,4,Matches
Francisco Conceição,pt POR,"FW,MF",pt Porto,20,2002,2.7,82,75,5,0,0,1,12,1,4,2,0,0,62,2,1,Matches
Kobe Corbanie,be BEL,"DF,FW",be Antwerp,18,2005,0.4,14,13,1,0,0,0,0,1,0,0,0,0,12,0,0,Matches
Andreas Cornelius,dk DEN,"FW,MF",dk FC Copenhagen,30,1993,0.9,23,23,0,0,0,0,1,0,0,0,0,0,14,0,1,Matches
Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,28,1995,3.6,120,118,2,0,0,0,6,0,2,1,0,0,97,0,3,Matches
David Costa,pt POR,"MF,FW",fr Lens,22,2001,1.3,60,56,3,2,0,0,2,0,1,0,1,0,50,1,4,Matches
Diogo Costa,pt POR,GK,pt Porto,23,1999,8.3,374,303,71,19,0,1,0,0,0,0,0,0,284,0,0,Matches
Soumaïla Coulibaly,fr FRA,DF,be Antwerp,19,2003,6.0,337,316,20,8,0,1,0,0,0,0,0,0,307,1,0,Matches
Thibaut Courtois,be BEL,GK,es Real Madrid,31,1992,1.0,23,20,3,1,0,0,0,0,0,0,0,0,19,0,0,Matches
Juan Cuadrado,co COL,"DF,FW",it Inter,35,1988,1.3,52,42,10,1,1,2,4,9,0,0,0,0,44,0,0,Matches
Pau Cubarsí,es ESP,DF,es Barcelona,16,2007,3.0,145,136,9,7,0,2,0,0,0,0,0,0,125,0,2,Matches
Diogo Dalot,pt POR,DF,eng Manchester Utd,24,1999,5.1,280,236,43,4,0,2,13,39,0,0,0,0,214,1,12,Matches
Kevin Danso,at AUT,DF,fr Lens,24,1998,6.0,220,196,23,13,0,0,1,0,0,0,0,0,190,1,0,Matches
Matteo Darmian,it ITA,"DF,FW",it Inter,33,1989,4.5,261,229,32,5,0,3,7,27,0,0,0,0,211,0,14,Matches
David Datro Fofana,ci CIV,FW,de Union Berlin,20,2002,2.2,35,35,0,0,0,0,2,0,0,0,0,0,24,0,3,Matches
Alphonso Davies,ca CAN,DF,de Bayern Munich,22,2000,7.8,471,403,67,13,0,2,4,53,1,1,0,0,406,1,7,Matches
Kevin De Bruyne,be BEL,MF,eng Manchester City,32,1991,2.2,163,136,25,1,0,1,31,4,19,7,7,0,114,2,7,Matches
Ritchie De Laet,be BEL,DF,be Antwerp,34,1988,2.5,110,72,37,3,1,1,6,34,0,0,0,0,78,1,3,Matches
Rodrigo De Paul,ar ARG,MF,es Atlético Madrid,29,1994,6.8,407,393,13,9,4,3,8,1,3,1,1,0,330,1,8,Matches
Amar Dedić,ba BIH,DF,at RB Salzburg,20,2002,6.0,251,208,43,4,0,1,13,35,4,3,0,0,198,0,5,Matches
Miloš Degenek,au AUS,FW,rs Red Star,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ousmane Dembélé,fr FRA,"FW,MF",fr Paris S-G,26,1997,10.6,586,520,60,6,4,1,86,4,48,8,16,0,403,6,29,Matches
Kerem Demirbay,de GER,MF,tr Galatasaray,30,1993,0.7,39,36,3,0,0,1,2,1,1,1,0,0,31,0,1,Matches
Thomas van den Belt,nl NED,MF,nl Feyenoord,22,2001,0.4,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
Sergiño Dest,us USA,DF,nl PSV Eindhoven,22,2000,7.2,363,305,58,3,0,0,19,55,0,0,0,0,299,0,6,Matches

Giovanni Di Lorenzo,it ITA,DF,it Napoli,29,1993,8.0,560,461,96,21,3,3,19,75,0,0,0,0,460,3,6,Matches
Ángel Di María,ar ARG,FW,pt Benfica,35,1988,4.6,198,173,25,8,3,7,26,9,8,7,1,0,151,0,5,Matches
Rúben Dias,pt POR,DF,eng Manchester City,26,1997,8.5,932,906,26,21,0,1,1,4,0,0,0,0,893,0,3,Matches
Brahim Díaz,ma MAR,"MF,FW",es Real Madrid,23,1999,3.6,148,141,6,1,1,1,13,0,1,0,0,0,116,1,4,Matches
Eric Dier,eng ENG,DF,de Bayern Munich,29,1994,5.0,398,370,27,10,0,1,0,0,0,0,0,0,358,1,2,Matches
Kevin Diks,nl NED,DF,dk FC Copenhagen,26,1996,7.9,382,362,18,9,2,3,0,6,0,0,0,0,345,2,3,Matches
Javairô Dilrosun,nl NED,DF,nl Feyenoord,25,1998,0.1,10,8,2,0,0,0,2,1,1,1,0,0,7,0,0,Matches
Federico Dimarco,it ITA,DF,it Inter,25,1997,4.0,220,188,30,8,0,2,28,17,5,1,0,0,163,2,10,Matches
Andy Diouf,fr FRA,MF,fr Lens,20,2003,0.4,23,21,2,1,0,0,3,0,1,0,1,0,17,0,2,Matches
Novatus Dismas,tz TAN,DF,ua Shakhtar,20,2002,1.0,53,42,11,2,0,0,1,9,0,0,0,0,46,0,0,Matches
Álvaro djaló,es ESP,FW,pt Braga,23,1999,4.5,97,91,6,0,0,0,7,3,1,0,0,0,72,0,7,Matches
Nasser Djiga,bf BFA,DF,rs Red Star,20,2002,6.0,216,205,10,6,0,0,0,4,0,0,0,0,178,1,6,Matches
Marko Dmitrović,rs SRB,GK,es Sevilla,31,1992,4.0,148,99,48,10,0,0,0,0,0,0,0,0,91,1,0,Matches
Danilho Doekhi,nl NED,DF,de Union Berlin,25,1998,2.9,91,86,3,2,0,0,1,1,0,0,0,0,70,2,1,Matches
Jeremy Doku,be BEL,"FW,MF",eng Manchester City,21,2002,3.4,184,178,6,3,0,1,13,3,0,0,0,0,159,0,6,Matches
Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,24,1999,12.0,354,259,95,24,0,0,0,0,0,0,0,0,305,0,0,Matches
Nene Dorgeles,ml MLI,"FW,MF",at RB Salzburg,20,2002,1.5,38,37,1,0,0,0,2,0,0,0,0,0,30,0,3,Matches
Aleksandar Dragović,at AUT,DF,rs Red Star,32,1991,6.0,261,236,23,13,0,2,1,2,0,0,0,0,233,2,3,Matches
Martin Dúbravka,sk SVK,GK,eng Newcastle Utd,34,1989,1.0,35,26,8,3,0,0,0,0,0,0,0,0,27,1,0,Matches
Denzel Dumfries,nl NED,DF,it Inter,27,1996,3.6,125,97,26,1,0,0,10,25,0,0,0,0,87,2,4,Matches
Ederson,br BRA,GK,eng Manchester City,29,1993,7.3,249,216,33,10,0,4,0,0,0,0,0,0,236,0,0,Matches
Jorge Eduardo Sánchez,mx MEX,DF,pt Porto,25,1997,2.1,107,83,24,1,0,0,4,23,0,0,0,0,85,0,8,Matches
Eguinaldo,br BRA,"MF,FW",ua Shakhtar,18,2004,0.2,5,4,1,0,0,0,1,1,0,0,0,0,1,0,1,Matches
Chidera Ejuke,ng NGA,FW,be Antwerp,25,1998,1.7,87,80,7,0,0,1,7,3,4,2,2,0,77,0,3,Matches
Jurgen Ekkelenkamp,nl NED,MF,be Antwerp,23,2000,3.0,62,60,2,1,0,0,2,1,0,0,0,0,51,0,1,Matches

Meschak Elia,cd COD,"FW,MF",ch Young Boys,25,1997,5.5,100,94,6,0,0,0,9,1,1,1,0,0,74,0,5,Matches
Elif Elmas,mk MKD,MF,de RB Leipzig,23,1999,0.2,7,6,1,0,0,0,0,1,0,0,0,0,6,0,0,Matches
Elif Elmas,mk MKD,"FW,MF",it Napoli,23,1999,1.6,77,75,2,0,1,0,6,1,1,0,1,0,61,0,0,Matches
Mohamed Elneny,eg EGY,MF,eng Arsenal,31,1992,0.7,25,24,1,1,0,0,0,0,0,0,0,0,21,0,1,Matches
Aritz Elustondo,es ESP,DF,es Real Sociedad,29,1994,1.9,114,106,7,0,0,2,0,7,0,0,0,0,97,1,2,Matches
Mohamed Elyounoussi,no NOR,"FW,MF",dk FC Copenhagen,28,1994,7.6,186,181,4,1,2,0,11,1,0,0,0,0,132,1,8,Matches
Youssef En-Nesyri,ma MAR,FW,es Sevilla,26,1997,5.7,66,53,13,0,0,1,0,0,0,0,0,0,43,0,2,Matches
Luis Enrique Palma,hn HON,FW,sct Celtic,23,2000,3.0,116,106,10,2,1,5,13,0,8,4,2,0,79,0,5,Matches
Christian Eriksen,dk DEN,MF,eng Manchester Utd,31,1992,2.3,139,132,6,3,2,2,6,0,3,1,0,0,108,1,0,Matches
Stephen Eustáquio,ca CAN,MF,pt Porto,26,1996,5.9,276,244,32,19,0,1,12,2,11,1,6,0,234,0,6,Matches
Evanilson,br BRA,FW,pt Porto,23,1999,5.4,116,101,11,1,2,0,3,3,0,0,0,0,89,4,5,Matches
Jonny Evans,nir NIR,DF,eng Manchester Utd,35,1988,0.7,47,43,4,1,0,0,0,1,0,0,0,0,39,0,1,Matches
Rasmus Falk,dk DEN,MF,dk FC Copenhagen,31,1992,7.0,356,345,10,9,0,1,1,1,0,0,0,0,307,1,8,Matches
João Félix,pt POR,FW,es Barcelona,23,1999,4.1,166,162,3,0,2,1,9,3,0,0,0,0,120,1,4,Matches
Bruno Fernandes,pt POR,"MF,FW",eng Manchester Utd,28,1994,6.0,303,249,52,17,2,4,32,8,21,4,12,0,209,2,8,Matches
Roger Fernandes,gw GNB,FW,pt Braga,17,2005,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
Carlos Fernández,es ESP,FW,es Real Sociedad,27,1996,0.8,26,26,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches
Fernando,br BRA,FW,at RB Salzburg,24,1999,0.4,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Fernando,br BRA,MF,es Sevilla,36,1987,3.6,124,121,3,3,0,1,0,0,0,0,0,0,111,0,2,Matches
