Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5,5,450,5.0,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,3,13,0,0.00,0.20,0.20,0.00,0.20,0.00,0.01,0.01,0.00,0.01,Matches
Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,4,3,314,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,5,4,325,3.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05,Matches
Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2002,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
Felipe Anderson,br BRA,FW,it Lazio,30,1993,8,7,542,6.0,0,1,1,0,0,0,0,0,0.6,0.6,1.3,1.9,15,26,54,0.00,0.17,0.17,0.00,0.17,0.11,0.21,0.32,0.11,0.32,Matches

Angeliño,es ESP,DF,tr Galatasaray,26,1997,6,5,424,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,26,18,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32,1990,7,5,465,5.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,8,11,16,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
Antony,br BRA,FW,eng Manchester Utd,23,2000,4,3,232,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,14,16,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Jon Aramburu,ve VEN,DF,es Real Sociedad,21,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ronald Araújo,uy URU,DF,es Barcelona,24,1999,8,8,658,7.3,0,0,0,0,0,0,2,1,0.9,0.9,0.3,1.2,2,27,1,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.17,0.12,0.17,Matches
Tomás Araújo,pt POR,DF,pt Benfica,21,2002,3,1,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Marko Arnautović,at AUT,FW,it Inter,34,1989,4,2,192,2.1,2,0,2,2,0,0,0,0,2.9,2.9,0.0,2.9,3,1,18,0.94,0.00,0.94,0.94,0.94,1.35,0.00,1.35,1.35,1.35,Matches
Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Asensio,es ESP,"FW,MF",fr Paris S-G,27,1996,6,1,124,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0,9,8,0.00,0.00,0.00,0.00,0.00,0.30,0.11,0.41,0.30,0.41,Matches
Kristjan Asllani,al ALB,MF,it Inter,21,2002,6,2,205,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,0,14,4,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches
Otavio Ataide,br BRA,DF,pt Porto,21,2002,2,2,210,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.43,0.43,0.00,0.43,0.00,0.01,0.01,0.00,0.01,Matches
Emil Audero,it ITA,GK,it Inter,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Augusto,br BRA,"DF,FW",it Inter,24,1999,7,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,13,15,20,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
Yann Aurel Bisseck,de GER,DF,it Inter,22,2000,3,2,172,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,5,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.11,0.02,0.11,Matches
Fredrik Aursnes,no NOR,"DF,MF",pt Benfica,27,1995,6,6,540,6.0,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,10,24,37,0.00,0.17,0.17,0.00,0.17,0.01,0.14,0.15,0.01,0.15,Matches
Kaan Ayhan,tr TUR,"MF,DF",tr Galatasaray,28,1994,5,5,380,4.2,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,3,18,7,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,Matches
Neil El Aynaoui,fr FRA,MF,fr Lens,22,2001,3,0,138,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Irakli Azarov,ge GEO,DF,ua Shakhtar,21,2002,4,3,296,3.3,0,1,1,0,0,0,0,0,0.1,0.1,0.9,0.9,4,15,11,0.00,0.30,0.30,0.00,0.30,0.02,0.26,0.28,0.02,0.28,Matches
César Azpilicueta,es ESP,DF,es Atlético Madrid,33,1989,6,3,290,3.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,10,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Isaac Babadi,nl NED,"FW,MF",nl PSV Eindhoven,18,2005,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Loïc Bade,fr FRA,DF,es Sevilla,23,2000,2,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alexander Bah,dk DEN,DF,pt Benfica,25,1997,3,3,191,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,9,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Samson Baidoo,at AUT,DF,at RB Salzburg,19,2004,5,3,303,3.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,11,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Cédric Bakambu,cd COD,FW,tr Galatasaray,32,1991,2,0,38,0.4,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.6,1,0,4,2.37,0.00,2.37,2.37,2.37,1.25,0.09,1.34,1.25,1.34,Matches
Johan Bakayoko,be BEL,FW,nl PSV Eindhoven,20,2003,8,8,649,7.2,1,1,2,1,0,0,0,0,1.2,1.2,1.8,3.0,35,11,82,0.14,0.14,0.28,0.14,0.28,0.17,0.25,0.42,0.17,0.42,Matches

Alejandro Balde,es ESP,DF,es Barcelona,19,2003,6,3,331,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,29,17,37,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches
Michel-Ange Balikwisha,be BEL,"FW,MF",be Antwerp,22,2001,5,5,384,4.3,1,0,1,1,0,0,0,0,0.7,0.7,0.6,1.2,12,14,24,0.23,0.00,0.23,0.23,0.23,0.16,0.13,0.29,0.16,0.29,Matches
David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Simon Banza,cd COD,FW,pt Braga,26,1996,6,4,341,3.8,0,1,1,0,0,0,2,0,1.1,1.1,0.2,1.3,5,10,28,0.00,0.26,0.26,0.00,0.26,0.29,0.05,0.34,0.29,0.34,Matches
Bradley Barcola,fr FRA,"FW,DF",fr Paris S-G,20,2002,10,5,475,5.3,1,1,2,1,0,0,0,0,2.3,2.3,0.7,3.0,36,22,76,0.19,0.19,0.38,0.19,0.38,0.44,0.12,0.56,0.44,0.56,Matches
Abdülkerim Bardakcı,tr TUR,DF,tr Galatasaray,28,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,6,34,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Roony Bardghji,se SWE,"MF,FW",dk FC Copenhagen,17,2005,4,1,146,1.6,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,6,2,8,0.62,0.00,0.62,0.62,0.62,0.28,0.21,0.49,0.28,0.49,Matches
Nicolò Barella,it ITA,MF,it Inter,26,1997,8,4,468,5.2,0,1,1,0,0,0,1,0,0.9,0.9,1.8,2.7,10,46,24,0.00,0.19,0.19,0.00,0.19,0.16,0.35,0.51,0.16,0.51,Matches
Harvey Barnes,eng ENG,FW,eng Newcastle Utd,25,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Romário Baró,pt POR,MF,pt Porto,23,2000,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
Ander Barrenetxea,es ESP,"FW,MF",es Real Sociedad,21,2001,7,5,397,4.4,1,1,2,1,0,0,1,0,0.5,0.5,1.2,1.7,22,21,64,0.23,0.23,0.45,0.23,0.45,0.10,0.28,0.38,0.10,0.38,Matches
Pablo Barrios,es ESP,MF,es Atlético Madrid,20,2003,7,2,262,2.9,1,1,2,1,0,0,0,0,0.3,0.3,0.3,0.6,3,15,12,0.34,0.34,0.69,0.34,0.69,0.12,0.11,0.23,0.12,0.23,Matches
Davide Bartesaghi,it ITA,FW,it Milan,17,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alessandro Bastoni,it ITA,DF,it Inter,24,1999,7,6,500,5.6,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,23,9,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches
Jelle Bataille,be BEL,DF,be Antwerp,24,1999,6,4,410,4.6,0,1,1,0,0,0,1,0,0.0,0.0,1.0,1.0,5,21,19,0.00,0.22,0.22,0.00,0.22,0.00,0.21,0.21,0.00,0.21,Matches
Christoph Baumgartner,at AUT,MF,de RB Leipzig,23,1999,6,0,118,1.3,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,5,5,4,0.00,0.00,0.00,0.00,0.00,0.63,0.05,0.68,0.63,0.68,Matches
Sheraldo Becker,sr SUR,FW,de Union Berlin,28,1995,5,4,365,4.1,2,0,2,2,0,0,0,0,1.3,1.3,0.8,2.1,19,11,30,0.49,0.00,0.49,0.49,0.49,0.32,0.20,0.53,0.32,0.53,Matches
Sheraldo Becker,sr SUR,FW,es Real Sociedad,28,1995,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Thomas Beelen,nl NED,DF,nl Feyenoord,22,2001,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Behrens,de GER,FW,de Union Berlin,32,1991,5,4,299,3.3,0,0,0,0,0,0,0,0,0.9,0.9,0.0,1.0,4,4,16,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.29,0.28,0.29,Matches
Armel Bella Kotchap,de GER,DF,nl PSV Eindhoven,21,2001,2,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Jude Bellingham,eng ENG,"MF,FW",es Real Madrid,20,2003,11,11,989,11.0,4,5,9,4,0,0,2,0,3.0,3.0,2.6,5.7,36,69,76,0.36,0.46,0.82,0.36,0.82,0.28,0.25,0.53,0.28,0.53,Matches
Walter Benítez,ar ARG,GK,nl PSV Eindhoven,30,1993,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Loris Benito,ch SUI,DF,ch Young Boys,31,1992,5,5,406,4.5,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,15,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Ramy Bensebaini,dz ALG,DF,de Dortmund,28,1995,5,4,375,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,14,18,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches

Lucas Beraldo,br BRA,DF,fr Paris S-G,19,2003,5,4,409,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Paulo Bernardo,pt POR,MF,sct Celtic,21,2002,6,2,312,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,9,12,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
Juan Bernat,es ESP,DF,pt Benfica,30,1993,2,1,111,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Mads Bidstrup,dk DEN,MF,at RB Salzburg,22,2001,6,6,494,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,11,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Janis Blaswich,de GER,GK,de RB Leipzig,32,1991,5,5,450,5.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.20,0.20,0.00,0.20,0.00,0.06,0.06,0.00,0.06,Matches
Lewin Blum,ch SUI,DF,ch Young Boys,22,2001,4,2,216,2.4,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,4,6,6,0.42,0.00,0.42,0.42,0.42,0.04,0.03,0.07,0.04,0.07,Matches
Oscar Bobb,no NOR,"FW,MF",eng Manchester City,20,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,7,6,10,0.41,0.00,0.41,0.41,0.41,0.09,0.08,0.17,0.09,0.17,Matches
Sacha Boey,fr FRA,DF,tr Galatasaray,22,2000,6,6,540,6.0,1,0,1,1,0,0,2,0,0.2,0.2,0.5,0.7,18,41,38,0.17,0.00,0.17,0.17,0.17,0.04,0.08,0.12,0.04,0.12,Matches
Nicolai Boilesen,dk DEN,"DF,FW",dk FC Copenhagen,31,1992,3,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Valerii Bondar,ua UKR,DF,ua Shakhtar,24,1999,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Artem Bondarenko,ua UKR,MF,ua Shakhtar,22,2000,4,2,221,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,6,6,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.22,0.20,0.22,Matches
Leonardo Bonucci,it ITA,DF,de Union Berlin,36,1987,3,3,259,2.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gonçalo Borges,pt POR,FW,pt Porto,22,2001,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Cristian Borja,co COL,DF,pt Braga,30,1993,6,6,517,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,18,26,34,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
Olivier Boscagli,fr FRA,DF,nl PSV Eindhoven,25,1997,7,7,611,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,36,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Sven Botman,nl NED,DF,eng Newcastle Utd,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Julian Brandt,de GER,"MF,FW",de Dortmund,27,1996,12,9,785,8.7,2,2,4,2,0,0,0,0,1.4,1.4,2.1,3.5,18,26,54,0.23,0.23,0.46,0.23,0.46,0.16,0.24,0.40,0.16,0.40,Matches
Bruma,pt POR,FW,pt Braga,28,1994,5,4,371,4.1,2,1,3,2,0,0,0,0,0.7,0.7,0.4,1.1,22,26,47,0.49,0.24,0.73,0.49,0.73,0.17,0.09,0.27,0.17,0.27,Matches
Osman Bukari,gh GHA,FW,rs Red Star,24,1998,6,5,486,5.4,2,2,4,2,0,0,1,0,1.0,1.0,2.5,3.4,24,22,41,0.37,0.37,0.74,0.37,0.74,0.18,0.46,0.63,0.18,0.63,Matches
Dan Burn,eng ENG,DF,eng Newcastle Utd,31,1992,4,3,277,3.1,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,11,8,0.32,0.00,0.32,0.32,0.32,0.07,0.00,0.07,0.07,0.07,Matches
Jean Butez,fr FRA,GK,be Antwerp,28,1995,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Arthur Cabral,br BRA,"FW,DF",pt Benfica,25,1998,4,1,120,1.3,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,0,2,6,0.75,0.00,0.75,0.75,0.75,0.51,0.09,0.60,0.51,0.60,Matches
Jens Cajuste,se SWE,MF,it Napoli,23,1999,6,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Davide Calabria,it ITA,DF,it Milan,26,1996,6,5,428,4.8,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.3,2,16,14,0.00,0.21,0.21,0.00,0.21,0.04,0.22,0.26,0.04,0.26,Matches

Hakan Çalhanoğlu,tr TUR,MF,it Inter,29,1994,6,6,509,5.7,1,0,1,0,1,1,2,0,1.1,0.4,1.5,1.8,9,31,11,0.18,0.00,0.18,0.00,0.00,0.22,0.28,0.49,0.07,0.35,Matches
Eduardo Camavinga,fr FRA,MF,es Real Madrid,20,2002,11,9,789,8.8,0,1,1,0,0,0,3,0,0.3,0.3,0.7,1.0,13,42,16,0.00,0.11,0.11,0.00,0.11,0.03,0.08,0.11,0.03,0.11,Matches
Emre Can,de GER,"MF,DF",de Dortmund,29,1994,11,11,909,10.1,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.3,4,44,7,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches
João Cancelo,pt POR,DF,es Barcelona,29,1994,10,9,808,9.0,2,1,3,2,0,0,1,0,0.6,0.6,0.9,1.5,32,54,50,0.22,0.11,0.33,0.22,0.33,0.07,0.10,0.17,0.07,0.17,Matches
Nicolás Capaldo,ar ARG,"MF,DF",at RB Salzburg,25,1997,4,2,212,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,6,7,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15,Matches
Fábio Cardoso,pt POR,DF,pt Porto,29,1994,3,3,269,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
