Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5.0,0,9,4,44.4,1.80,0.80,0.00,0.00,14.6,1,0,1,1.5,0.8,0.09,-1.5,-0.8,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,1.5,0,1,1,100.0,0.69,0.69,0.00,0.00,21.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,4.6,1,12,3,25.0,2.62,0.65,0.08,0.33,18.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,1.5,0,1,1,100.0,0.65,0.65,0.00,0.00,33.1,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,1.4,0,1,0,0.0,0.71,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,3.1,5,15,10,66.7,4.79,3.19,0.33,0.50,16.7,1,0,0,1.7,1.7,0.12,+3.3,+3.3,Matches
Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,3.5,0,2,1,50.0,0.57,0.29,0.00,0.00,9.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,3.6,0,1,1,100.0,0.28,0.28,0.00,0.00,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Felipe Anderson,br BRA,FW,it Lazio,30,1993,6.0,0,9,1,11.1,1.49,0.17,0.00,0.00,16.1,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches

Angeliño,es ESP,DF,tr Galatasaray,26,1997,4.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
