Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4,4,360,4.0,5,1.25,15,10,73.3,4,0,0,1,25.0,1,1,0,0,0.0,Matches
Emil Audero,it ITA,GK,it Inter,26,1997,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,,Matches
David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
Walter Benítez,ar ARG,GK,nl PSV Eindhoven,30,1993,8,8,720,8.0,13,1.62,34,21,61.8,2,4,2,1,12.5,0,0,0,0,,Matches
Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4,4,360,4.0,7,1.75,15,10,66.7,1,0,3,0,0.0,2,2,0,0,0.0,Matches
Janis Blaswich,de GER,GK,de RB Leipzig,32,1991,5,5,450,5.0,9,1.80,21,13,57.1,3,0,2,0,0.0,0,0,0,0,,Matches
Jean Butez,fr FRA,GK,be Antwerp,28,1995,5,5,450,5.0,15,3.00,30,16,50.0,1,0,4,0,0.0,0,0,0,0,,Matches
Diogo Costa,pt POR,GK,pt Porto,23,1999,8,8,750,8.3,9,1.08,28,20,67.9,5,0,3,2,25.0,0,0,0,0,,Matches
Thibaut Courtois,be BEL,GK,es Real Madrid,31,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Marko Dmitrović,rs SRB,GK,es Sevilla,31,1992,4,4,360,4.0,8,2.00,15,8,53.3,0,1,3,0,0.0,1,1,0,0,0.0,Matches
Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,24,1999,12,12,"1,080",12.0,15,1.25,52,37,71.2,5,2,5,3,25.0,0,0,0,0,,Matches
Martin Dúbravka,sk SVK,GK,eng Newcastle Utd,34,1989,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
Ederson,br BRA,GK,eng Manchester City,29,1993,7,7,660,7.3,6,0.82,13,7,53.8,6,1,0,1,14.3,0,0,0,0,,Matches
Omri Glazer,il ISR,GK,rs Red Star,27,1996,6,6,540,6.0,15,2.50,45,31,71.1,0,1,5,0,0.0,2,2,0,0,0.0,Matches
Kamil Grabara,pl POL,GK,dk FC Copenhagen,24,1999,8,8,720,8.0,14,1.75,44,30,70.5,2,2,4,2,25.0,1,1,0,0,0.0,Matches
Péter Gulácsi,hu HUN,GK,de RB Leipzig,33,1990,3,3,270,3.0,3,1.00,9,6,66.7,1,1,1,0,0.0,0,0,0,0,,Matches
Joe Hart,eng ENG,GK,sct Celtic,36,1987,6,6,540,6.0,15,2.50,38,21,60.5,1,1,4,0,0.0,2,0,2,0,100.0,Matches
