Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Arda,2,36,36,"3,240",36.0,,,,,,16,10,10,13,36.1,4,4,0,0,0.0
Beroe,2,35,35,"3,150",35.0,,,,,,8,8,19,7,20.0,5,5,0,0,0.0
Botev Plovdiv,3,36,36,"3,240",36.0,,,,,,10,6,20,7,19.4,2,2,0,0,0.0
Botev Vratsa,2,35,35,"3,150",35.0,,,,,,8,8,19,11,31.4,12,12,0,0,0.0
Cherno More,2,35,35,"3,150",35.0,,,,,,15,9,11,15,42.9,3,3,0,0,0.0
CSKA 1948,2,35,35,"3,150",35.0,,,,,,17,13,5,15,42.9,3,3,0,0,0.0
CSKA Sofia,2,35,35,"3,150",35.0,,,,,,26,6,3,21,60.0,1,1,0,0,0.0
FC Spartak Varna,3,35,35,"3,150",35.0,,,,,,5,10,20,4,11.4,6,6,0,0,0.0
Levski Sofia,2,35,35,"3,150",35.0,,,,,,17,10,8,22,62.9,1,1,0,0,0.0
Loko Plovdiv,3,35,35,"3,150",35.0,,,,,,15,9,11,14,40.0,3,3,0,0,0.0
Lokomotiv Sofia,2,36,36,"3,238",36.0,,,,,,11,9,16,11,30.6,3,3,0,0,0.0
Ludogorets,2,35,35,"3,150",35.0,,,,,,26,7,2,15,42.9,5,5,0,0,0.0
PFC Hebar Pazardzhik,3,35,35,"3,150",35.0,,,,,,9,5,21,7,20.0,6,6,0,0,0.0
Pirin Blagoevgrad,2,35,35,"3,150",35.0,,,,,,8,10,17,10,28.6,7,7,0,0,0.0
Septemvri Sofia,2,35,35,"3,150",35.0,,,,,,7,7,21,4,11.4,4,4,0,0,0.0
Slavia Sofia,3,36,36,"3,240",36.0,,,,,,17,7,12,14,38.9,1,1,0,0,0.0
