Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 PAOK,26,19,3,4,66,21,+45,60,2.31,,Kiril Despodov - 11,Dominik Kotarski,→ Championship round 
 AEK Athens,26,17,8,1,60,25,+35,59,2.27,,Ezequiel Ponce - 15,Cican Stankovic,→ Championship round 
 Olympiacos,26,18,3,5,58,24,+34,57,2.19,,Ayoub El Kaabi - 17,Alexandros Paschalakis,→ Championship round 
 Panathinaikos,26,17,5,4,62,21,+41,56,2.15,,Fotis Ioannidis - 15,Yuri Lodygin,→ Championship round 
 Aris,26,12,6,8,39,29,+10,42,1.62,,Loren Morón - 20,Julián Cuesta,→ Championship round 
 PAS Lamia,26,9,7,10,35,44,-9,34,1.31,,Carlitos - 10,Alexei Koșelev,→ Championship round 
,,,,,,,,,,,,,
 Asteras Tripoli,26,9,4,13,36,46,-10,31,1.19,,Juan Miritello - 13,Nikos Papadopoulos,→ Relegation round 
 Atromitos,26,6,10,10,29,44,-15,28,1.08,,Karol Angielski - 9,Panagiotis Tsintotas,→ Relegation round 
 Panserraikos,26,6,9,11,28,45,-17,27,1.04,,Kosta Aleksic - 7,Adrián Chovan,→ Relegation round 
 OFI Crete,26,5,10,11,26,44,-18,25,0.96,,"Aaron Leya Iseka, Luiz Phellype... - 4",Noam Baumann,→ Relegation round 
 AO Kifisia,26,4,9,13,31,56,-25,21,0.81,,Ognjen Ožegović - 16,Alexandros Anagnostopoulos,→ Relegation round 
 Panetolikos,26,4,8,14,26,46,-20,20,0.77,,João Pedro Sousa Silva - 5,Stefanos Kapino,→ Relegation round 
 Volos NFC,26,4,7,15,24,52,-28,19,0.73,,Juan Manuel García - 9,Dániel Kovács,→ Relegation round 
 PAS Giannina,26,3,9,14,25,48,-23,18,0.69,,Pedro Pérez Conde - 9,Boris Klaiman,→ Relegation round 
