Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 FC Copenhagen,32,18,5,9,61,35,+26,59,1.84,"42,051",Viktor Claesson - 13,Kamil Grabara,→ Champions League via league finish
 Nordsjælland,32,15,10,7,50,35,+15,55,1.72,"8,470",Ernest Nuamah - 12,Andreas Hansen,→ Europa Conference League via league finish
 AGF,32,14,9,9,42,31,+11,51,1.59,"21,176",Patrick Mortensen - 16,Jesper Hansen,→ Europa Conference League via league finish
 Viborg,32,14,9,9,44,35,+9,51,1.59,"9,282",Jay-Roy Grot - 9,Lucas Lund Pedersen,
 Brøndby,32,12,8,12,48,52,-4,44,1.38,"27,833",Ohi Omoijuanfo - 13,Mads Hermansen,
 Randers,32,10,11,11,40,47,-7,41,1.28,"9,276",Marvin Egho - 6,Patrik Carlgren,
,,,,,,,,,,,,,
 Midtjylland,32,13,12,7,55,39,+16,51,1.59,"12,357",Gustav Isaksen - 18,Jonas Lössl,→ Europa Conference League via playoff win
 Odense,32,12,10,10,47,53,-6,46,1.44,"14,029","Bashkim Kadrii, Emmanuel Sabbi... - 8",Martin Hansen,
 Silkeborg,32,11,8,13,44,49,-5,41,1.28,"8,134",Tonni Adamsen - 10,Nicolai Larsen,
 Lyngby,32,6,10,16,30,49,-19,28,0.88,"8,791",Sævar Magnússon - 6,Mads Kikkenborg,
 Horsens,32,7,7,18,33,58,-25,28,0.88,"6,705","Anders K. Jacobsen, Aron Sigurðarson - 7",Matej Delač,Relegated
 Aalborg,32,6,9,17,34,45,-11,27,0.84,"11,908",Allan Sousa - 8,Theo Sander,Relegated
