Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Bruk-Bet Termalica Nieciecza,38,34.0,35,,,,,,,,,8,13
Cracovia,33,34.0,38,,,,,,,,,1,3
Górnik Zabrze,30,34.0,54,,,,,,,,,1,1
Górnik Łęczna,33,34.0,27,,,,,,,,,2,2
Jagiellonia,38,34.0,39,,,,,,,,,2,3
Lech Poznań,28,34.0,66,,,,,,,,,4,5
Lechia Gdańsk,31,34.0,48,,,,,,,,,4,5
Legia Warsaw,39,34.0,42,,,,,,,,,1,1
Piast Gliwice,29,34.0,42,,,,,,,,,3,5
Pogoń Szczecin,27,34.0,59,,,,,,,,,7,7
Radomiak Radom,29,34.0,40,,,,,,,,,9,11
RKS Raków,36,34.0,57,,,,,,,,,9,12
Śląsk Wrocław,33,34.0,41,,,,,,,,,5,6
Stal Mielec,35,34.0,39,,,,,,,,,8,10
Warta Poznań,34,34.0,34,,,,,,,,,2,5
Wisła Kraków,34,34.0,36,,,,,,,,,2,2
Wisła Płock,32,34.0,46,,,,,,,,,3,3
Zagłębie Lubin,39,34.0,41,,,,,,,,,6,8
