Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Arda,30,32.0,35,,,,,,,,,6,6
Beroe,28,32.0,30,,,,,,,,,2,2
Botev Plovdiv,30,31.0,36,,,,,,,,,3,3
Botev Vratsa,37,32.0,29,,,,,,,,,3,3
Cherno More,31,31.0,35,,,,,,,,,4,4
CSKA 1948,41,32.0,50,,,,,,,,,7,7
CSKA Sofia,31,31.0,41,,,,,,,,,1,1
Levski Sofia,31,31.0,37,,,,,,,,,3,3
Loko Plovdiv,28,32.0,36,,,,,,,,,8,8
Lokomotiv Sofia,32,32.0,27,,,,,,,,,4,4
Ludogorets,32,31.0,73,,,,,,,,,6,6
Pirin Blagoevgrad,36,32.0,39,,,,,,,,,5,5
Slavia Sofia,36,31.0,35,,,,,,,,,4,4
Tsarsko Selo,46,32.0,22,,,,,,,,,2,2
