Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Adana Demirspor,36,34.0,69,589,213,36.2,17.32,6.26,0.11,0.29,,7,10
Alanyaspor,29,34.0,47,355,129,36.3,10.44,3.79,0.12,0.33,,5,6
Ankaragücü,40,35.0,39,419,141,33.7,11.97,4.03,0.09,0.26,,3,5
Antalyaspor,34,35.0,42,437,153,35.0,12.49,4.37,0.09,0.25,,3,4
Başakşehir,38,34.0,47,381,142,37.3,11.21,4.18,0.11,0.30,,4,5
Beşiktaş,35,34.0,70,513,186,36.3,15.09,5.47,0.12,0.33,,8,10
Fatih Karagümrük,34,34.0,69,392,163,41.6,11.53,4.79,0.16,0.37,,8,8
Fenerbahçe,29,34.0,80,516,190,36.8,15.18,5.59,0.13,0.34,,15,17
Galatasaray,33,34.0,73,638,247,38.7,18.76,7.26,0.10,0.26,,8,12
Gaziantep FK,24,22.0,31,255,94,36.9,11.59,4.27,0.12,0.32,,1,1
Giresunspor,26,34.0,35,416,140,33.7,12.24,4.12,0.07,0.21,,5,7
Hatayspor,28,21.0,19,207,59,28.5,9.86,2.81,0.08,0.29,,2,2
İstanbulspor,36,34.0,39,350,123,35.1,10.29,3.62,0.10,0.29,,3,3
Kasımpaşa,39,35.0,41,420,148,35.2,12.00,4.23,0.08,0.24,,6,6
Kayserispor,28,34.0,49,400,121,30.3,11.76,3.56,0.11,0.36,,6,7
Konyaspor,31,34.0,41,433,148,34.2,12.74,4.35,0.08,0.24,,6,7
Sivasspor,29,35.0,42,426,150,35.2,12.17,4.29,0.08,0.23,,7,7
Trabzonspor,37,35.0,59,546,194,35.5,15.60,5.54,0.09,0.26,,9,9
Ümraniyespor,38,34.0,40,425,138,32.5,12.50,4.06,0.07,0.22,,9,10
