Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG
N/A
N/A
Arouca,35,34.0,30,428,118,27.6,12.59,3.47,0.07,0.24,19.3,18,2,3,35.1,32.7,0.08,-5.1,-4.7
B-SAD,37,34.0,22,323,88,27.2,9.50,2.59,0.06,0.22,19.8,19,3,3,30.9,28.6,0.09,-8.9,-9.6
Benfica,35,34.0,77,514,190,37.0,15.12,5.59,0.14,0.38,16.4,14,5,5,73.1,69.1,0.14,+3.9,+2.9
Boavista,28,34.0,39,386,118,30.6,11.35,3.47,0.09,0.31,20.3,20,3,4,35.3,32.2,0.09,+3.7,+3.8
Braga,40,34.0,52,448,156,34.8,13.18,4.59,0.10,0.30,18.8,13,5,6,53.1,48.3,0.11,-1.1,-1.3
Estoril,31,34.0,35,349,108,30.9,10.26,3.18,0.08,0.27,18.5,20,6,7,35.6,30.2,0.09,-0.6,-1.2
Famalicão,37,34.0,43,399,141,35.3,11.74,4.15,0.10,0.28,17.2,18,3,5,47.4,44.2,0.11,-4.4,-4.2
Gil Vicente FC,29,34.0,47,422,153,36.3,12.41,4.50,0.10,0.29,18.6,19,3,5,42.5,38.8,0.09,+4.5,+5.2
Marítimo,30,34.0,38,351,112,31.9,10.32,3.29,0.09,0.29,19.7,21,5,7,34.7,29.9,0.09,+3.3,+3.1
Moreirense,29,34.0,32,400,123,30.8,11.76,3.62,0.07,0.23,19.1,19,4,7,43.2,37.6,0.10,-11.2,-9.6
Paços,30,34.0,28,363,98,27.0,10.68,2.88,0.07,0.24,19.5,29,4,5,33.9,30.0,0.08,-5.9,-6.0
Portimonense,35,34.0,28,394,125,31.7,11.59,3.68,0.07,0.21,19.8,22,2,4,34.5,31.4,0.08,-6.5,-5.4
Porto,33,34.0,83,595,214,36.0,17.50,6.29,0.13,0.36,16.8,23,6,9,83.3,76.9,0.13,-0.3,+0.1
Santa Clara,32,34.0,36,369,109,29.5,10.85,3.21,0.09,0.29,19.2,19,4,4,38.4,35.2,0.10,-2.4,-3.2
Sporting CP,31,34.0,71,531,196,36.9,15.62,5.76,0.12,0.32,17.3,8,9,11,71.0,62.7,0.12,0.0,-0.7
Tondela,27,34.0,41,291,112,38.5,8.56,3.29,0.11,0.29,20.2,19,9,9,35.1,28.5,0.10,+5.9,+3.5
Vitória,31,34.0,50,458,142,31.0,13.47,4.18,0.09,0.28,18.6,16,10,11,49.3,42.8,0.10,+0.7,-2.8
Vizela,31,34.0,36,445,112,25.2,13.09,3.29,0.07,0.29,18.7,17,3,3,41.5,39.1,0.09,-5.5,-6.1
