Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG
N/A
N/A
Anderlecht,25,34.0,70,496,176,35.5,14.59,5.18,0.13,0.36,16.7,17,7,7,73.9,68.8,0.14,-3.9,-5.8
Antwerp,31,34.0,53,433,152,35.1,12.74,4.47,0.12,0.34,17.8,13,2,5,49.7,45.6,0.11,+3.3,+5.4
Beerschot,33,34.0,31,378,123,32.5,11.12,3.62,0.07,0.23,18.8,10,3,5,37.2,32.9,0.09,-6.2,-4.9
Cercle Brugge,25,34.0,49,460,155,33.7,13.53,4.56,0.09,0.28,17.9,19,6,6,53.7,49.2,0.11,-4.7,-6.2
Charleroi,34,34.0,52,463,166,35.9,13.62,4.88,0.11,0.31,17.8,7,1,3,51.8,50.0,0.11,+0.2,+1.0
Club Brugge,31,34.0,71,529,195,36.9,15.56,5.74,0.13,0.35,15.4,20,3,3,72.3,69.6,0.14,-1.3,-1.6
Eupen,34,34.0,36,408,139,34.1,12.00,4.09,0.09,0.25,19.2,16,1,1,43.7,42.9,0.11,-7.7,-7.9
Genk,27,34.0,65,497,187,37.6,14.62,5.50,0.12,0.31,16.7,7,7,9,69.9,62.9,0.13,-4.9,-4.9
Gent,28,34.0,54,508,184,36.2,14.94,5.41,0.10,0.28,17.4,14,2,5,62.5,58.5,0.12,-8.5,-6.5
Kortrijk,32,34.0,43,411,127,30.9,12.09,3.74,0.09,0.29,19.1,15,6,8,45.5,39.2,0.10,-2.5,-2.2
Mechelen,27,33.0,56,375,138,36.8,11.36,4.18,0.14,0.39,18.5,11,2,4,42.0,38.9,0.11,+14.0,+15.1
OH Leuven,30,33.0,42,417,146,35.0,12.64,4.42,0.09,0.26,19.1,6,4,5,45.3,41.7,0.10,-3.3,-3.7
Oostende,30,34.0,33,399,117,29.3,11.74,3.44,0.08,0.26,18.6,10,2,2,39.6,38.0,0.10,-6.6,-7.0
R.F.C. Seraing,29,34.0,29,353,108,30.6,10.38,3.18,0.08,0.25,18.3,14,2,2,39.2,37.6,0.11,-10.2,-10.6
Sint-Truiden,32,34.0,40,409,127,31.1,12.03,3.74,0.09,0.28,19.3,17,4,5,41.3,37.5,0.09,-1.3,-1.5
Standard Liège,38,34.0,31,398,118,29.6,11.71,3.47,0.07,0.24,18.8,19,3,3,39.0,36.6,0.09,-8.0,-8.6
Union SG,25,34.0,71,485,180,37.1,14.26,5.29,0.13,0.36,16.7,10,6,7,62.0,56.5,0.13,+9.0,+8.5
Zulte Waregem,27,34.0,42,364,124,34.1,10.71,3.65,0.10,0.31,17.0,11,4,4,38.0,35.0,0.10,+4.0,+3.0
