Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Čukarički,36,37.0,64,,,,,,,,,10,10
FK Kolubara,39,37.0,26,,,,,,,,,2,2
FK Mladost Novi Sad,39,37.0,25,,,,,,,,,5,5
Javor Ivanjica,34,37.0,34,,,,,,,,,5,5
Mladost Lučani,40,37.0,40,,,,,,,,,7,7
Napredak Kruš,30,37.0,27,,,,,,,,,4,4
Novi Pazar,35,37.0,40,,,,,,,,,10,10
Partizan,30,37.0,67,,,,,,,,,8,9
Radnički Kragujevac,40,37.0,37,,,,,,,,,5,5
Radnički Niš,42,37.0,36,,,,,,,,,4,4
Radnik Surdulica,36,37.0,27,,,,,,,,,5,5
Red Star,37,37.0,93,,,,,,,,,9,9
Spartak Subotic,34,37.0,38,,,,,,,,,3,3
TSC Bačka Top,30,37.0,65,,,,,,,,,7,7
Vojvodina,29,37.0,57,,,,,,,,,5,5
Voždovac,38,37.0,29,,,,,,,,,4,4
