Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
AGF,30,32.0,40,365,136,37.3,11.41,4.25,0.10,0.26,,4,5
Brøndby,31,32.0,59,377,141,37.4,11.78,4.41,0.15,0.39,,4,4
FC Copenhagen,28,32.0,63,502,195,38.8,15.69,6.09,0.11,0.29,,6,7
Hvidovre IF,29,32.0,26,342,112,32.7,10.69,3.50,0.07,0.21,,2,3
Lyngby,34,32.0,37,357,130,36.4,11.16,4.06,0.10,0.26,,3,4
Midtjylland,35,32.0,61,473,172,36.4,14.78,5.37,0.12,0.32,,6,11
Nordsjælland,28,32.0,58,468,178,38.0,14.63,5.56,0.12,0.31,,3,5
Odense,30,32.0,37,372,131,35.2,11.62,4.09,0.09,0.27,,2,2
Randers,31,32.0,39,420,129,30.7,13.12,4.03,0.09,0.28,,3,4
Silkeborg,28,32.0,38,344,128,37.2,10.75,4.00,0.10,0.28,,2,3
Vejle BK,30,32.0,31,323,123,38.1,10.09,3.84,0.10,0.25,,0,2
Viborg,29,32.0,38,396,141,35.6,12.38,4.41,0.10,0.27,,0,1
