Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG
N/A
N/A
Anderlecht,32,30.0,56,397,138,34.8,13.23,4.60,0.12,0.36,17.4,9,7,7,47.8,42.6,0.11,+8.2,+6.4
Antwerp,27,30.0,52,409,140,34.2,13.63,4.67,0.11,0.34,17.5,5,5,9,51.6,44.5,0.11,+0.4,+2.5
Cercle Brugge,27,30.0,43,483,140,29.0,16.10,4.67,0.08,0.29,16.6,13,2,3,50.9,48.5,0.10,-7.9,-7.5
Charleroi,30,30.0,26,326,107,32.8,10.87,3.57,0.07,0.21,17.3,3,3,4,32.9,29.7,0.09,-6.9,-6.7
Club Brugge,29,30.0,60,471,169,35.9,15.70,5.63,0.11,0.31,15.8,10,8,10,60.1,52.2,0.11,-0.1,-0.2
Eupen,26,30.0,24,297,95,32.0,9.90,3.17,0.08,0.24,18.4,8,1,1,28.9,28.1,0.10,-4.9,-5.1
Genk,26,30.0,49,491,162,33.0,16.37,5.40,0.10,0.29,16.0,9,2,5,59.3,55.2,0.12,-10.3,-8.2
Gent,32,30.0,50,435,161,37.0,14.50,5.37,0.11,0.29,17.3,7,4,6,49.7,45.0,0.11,+0.3,+1.0
Kortrijk,36,30.0,22,299,85,28.4,9.97,2.83,0.07,0.24,18.2,14,2,2,25.6,24.6,0.08,-3.6,-4.6
Mechelen,30,30.0,37,379,133,35.1,12.63,4.43,0.09,0.26,18.3,6,3,4,42.4,39.4,0.11,-5.4,-5.4
OH Leuven,29,30.0,34,335,106,31.6,11.17,3.53,0.09,0.28,17.9,8,4,5,33.7,29.8,0.09,+0.3,+0.2
RWD Molenbeek,38,30.0,31,282,107,37.9,9.40,3.57,0.11,0.28,16.8,8,1,1,33.5,32.8,0.12,-2.5,-2.8
Sint-Truiden,25,30.0,33,400,128,32.0,13.33,4.27,0.08,0.23,19.1,23,3,5,38.0,34.1,0.09,-5.0,-4.1
Standard Liège,34,30.0,32,335,108,32.2,11.17,3.60,0.09,0.28,17.3,10,2,4,32.0,29.0,0.09,0.0,+1.0
Union SG,26,30.0,63,476,171,35.9,15.87,5.70,0.11,0.31,16.6,14,10,11,58.3,49.8,0.11,+4.7,+3.2
Westerlo,32,30.0,41,358,112,31.3,11.93,3.73,0.09,0.29,17.5,16,8,8,40.4,34.2,0.10,+0.6,-1.2
