Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Čukarički,43,37.0,56,,,,,,,,,3,4
FK IMT Novi Beograd,38,37.0,41,,,,,,,,,5,7
FK Železničar Pančevo,36,37.0,45,,,,,,,,,4,6
Javor Ivanjica,31,37.0,32,,,,,,,,,1,1
Mladost Lučani,36,37.0,36,,,,,,,,,5,5
Napredak Kruš,36,37.0,35,,,,,,,,,2,2
Novi Pazar,40,37.0,44,,,,,,,,,6,7
Partizan,32,37.0,77,,,,,,,,,10,11
Radnički Kragujevac,37,37.0,66,,,,,,,,,5,7
Radnički Niš,40,37.0,39,,,,,,,,,4,5
Radnik Surdulica,33,37.0,23,,,,,,,,,4,4
Red Star,34,37.0,91,,,,,,,,,15,15
Spartak Subotic,38,37.0,35,,,,,,,,,1,4
TSC Bačka Top,26,37.0,75,,,,,,,,,6,8
Vojvodina,33,37.0,59,,,,,,,,,4,4
Voždovac,35,37.0,45,,,,,,,,,5,5
