Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Aalborg,30,32.0,34,382,137,35.9,11.94,4.28,0.09,0.24,,1,2
AGF,28,32.0,42,383,129,33.7,11.97,4.03,0.09,0.28,,6,6
Brøndby,30,32.0,47,439,163,37.1,13.72,5.09,0.10,0.26,,5,5
FC Copenhagen,32,32.0,59,473,187,39.5,14.78,5.84,0.11,0.29,,5,9
Horsens,25,32.0,31,294,91,31.0,9.19,2.84,0.08,0.26,,7,7
Lyngby,31,32.0,30,366,118,32.2,11.44,3.69,0.08,0.24,,2,2
Midtjylland,33,32.0,53,452,169,37.4,14.12,5.28,0.11,0.28,,5,7
Nordsjælland,28,32.0,50,408,161,39.5,12.75,5.03,0.11,0.29,,4,6
Odense,35,32.0,46,388,139,35.8,12.12,4.34,0.10,0.27,,8,9
Randers,31,32.0,39,408,136,33.3,12.75,4.25,0.09,0.27,,2,3
Silkeborg,30,32.0,42,358,132,36.9,11.19,4.12,0.11,0.30,,2,4
Viborg,29,32.0,44,403,156,38.7,12.59,4.87,0.10,0.27,,2,4
