Squad,# of Players,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
N/A
N/A
Arouca,31,34.0,13911,17348,80.2,254209,90188,5780,6488,89.1,6322,7260,87.1,1537,2768,55.5,38,32.1,27.4,+5.9,332,1040,217,56,1317
Benfica,34,34.0,17244,20589,83.8,289741,101234,8474,9361,90.5,6851,7778,88.1,1495,2396,62.4,59,59.0,58.6,0.0,455,1509,424,75,1880
Boavista,23,34.0,11747,15162,77.5,220400,80189,4863,5541,87.8,5184,6054,85.6,1439,2813,51.2,18,24.8,22.8,-6.8,242,841,195,83,1008
Braga,25,34.0,15375,18817,81.7,280854,100241,6381,7127,89.5,6919,7798,88.7,1696,2966,57.2,49,48.1,44.0,+0.9,422,1291,382,112,1678
Casa Pia,32,34.0,10877,14094,77.2,198436,79271,4751,5423,87.6,4736,5551,85.3,1183,2413,49.0,27,19.5,21.8,+7.5,256,877,165,55,985
Chaves,31,34.0,10054,13419,74.9,191781,77406,4192,4877,86.0,4215,5065,83.2,1389,2716,51.1,18,22.5,22.5,-4.5,268,769,157,74,925
Estoril,31,34.0,12142,15367,79.0,228158,82076,4855,5565,87.2,5628,6507,86.5,1408,2554,55.1,27,26.5,25.8,+0.5,281,875,203,51,1060
Estrela,34,34.0,11061,14750,75.0,210850,84151,4434,5279,84.0,5054,6040,83.7,1371,2681,51.1,18,29.7,27.2,-11.7,281,777,219,67,1057
Famalicão,27,34.0,11238,14426,77.9,228716,86213,4055,4718,85.9,5130,5967,86.0,1838,3025,60.8,23,24.2,24.3,-1.2,316,822,207,107,976
Farense,25,34.0,9386,13093,71.7,191166,75812,3328,4026,82.7,4425,5375,82.3,1464,3009,48.7,26,27.6,22.3,-1.6,260,769,185,72,944
Gil Vicente FC,31,34.0,12524,16065,78.0,228900,82263,5114,5925,86.3,5807,6806,85.3,1314,2487,52.8,28,25.4,26.7,+2.6,271,820,209,37,1144
Moreirense,29,34.0,11609,14914,77.8,217860,82989,4737,5459,86.8,5294,6138,86.2,1350,2596,52.0,30,25.6,21.7,+4.4,297,816,194,72,1054
Portimonense,31,34.0,10389,13854,75.0,196527,77344,4227,4947,85.4,4593,5481,83.8,1290,2611,49.4,30,23.8,20.3,+6.2,273,782,178,74,976
Porto,32,34.0,16207,19449,83.3,293647,97602,6826,7672,89.0,7471,8324,89.8,1632,2600,62.8,46,46.8,57.7,-0.8,430,1425,407,95,1869
Rio Ave,33,34.0,12306,15665,78.6,229619,83476,4928,5704,86.4,5663,6566,86.2,1448,2583,56.1,22,25.5,24.3,-3.5,250,800,219,74,1085
Sporting CP,29,34.0,16356,19452,84.1,275295,97248,7904,8649,91.4,6873,7791,88.2,1239,2134,58.1,67,55.5,52.6,+11.5,431,1481,374,89,1669
Vitória,27,34.0,11319,15030,75.3,207172,85898,4900,5756,85.1,4798,5871,81.7,1324,2531,52.3,35,32.3,32.6,+2.7,336,1002,289,88,1361
Vizela,31,34.0,12050,15405,78.2,210202,85979,5678,6410,88.6,4782,5659,84.5,1248,2445,51.0,25,28.8,30.0,-3.8,317,993,251,93,1244
