Squad,# of Players,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
N/A
N/A
Arouca,35,34.0,11461,15285,75.0,218726,86591,4683,5568,84.1,5039,6074,83.0,1536,2970,51.7,18,23.9,25.0,-5.9,292,951,220,65,1187
B-SAD,37,34.0,9838,13251,74.2,185619,73724,3949,4653,84.9,4437,5295,83.8,1207,2584,46.7,11,20.7,18.9,-9.7,212,639,146,56,850
Benfica,35,34.0,16615,19789,84.0,294149,97191,7083,7888,89.8,7501,8372,89.6,1585,2473,64.1,58,54.9,50.5,+3.1,402,1365,393,91,1819
Boavista,28,34.0,10587,13988,75.7,204104,78061,4097,4873,84.1,4783,5618,85.1,1418,2696,52.6,28,24.3,18.7,+3.7,288,668,110,44,841
Braga,40,34.0,14840,18609,79.7,279751,92693,5932,6768,87.6,6765,7826,86.4,1818,3137,58.0,34,37.1,31.2,-3.1,356,1223,254,57,1391
Estoril,31,34.0,11591,14765,78.5,225491,78664,4178,4865,85.9,5719,6598,86.7,1500,2594,57.8,25,24.1,23.1,+0.9,253,851,185,78,1176
Famalicão,37,34.0,11418,14675,77.8,223553,86354,4385,5140,85.3,5090,5957,85.4,1653,2813,58.8,32,32.9,29.5,-0.9,289,936,217,71,1201
Gil Vicente FC,29,34.0,13929,17410,80.0,267552,92922,5282,6058,87.2,6561,7547,86.9,1768,2970,59.5,32,31.6,28.8,+0.4,313,1198,258,41,1429
Marítimo,30,34.0,11617,14954,77.7,230848,86304,4105,4828,85.0,5710,6611,86.4,1620,2857,56.7,21,22.0,20.2,-1.0,246,757,163,62,996
Moreirense,29,34.0,9346,13209,70.8,179411,72213,3821,4671,81.8,3955,4970,79.6,1305,2702,48.3,19,24.3,21.6,-5.3,243,802,176,62,1029
Paços,30,34.0,11350,14804,76.7,221718,83807,4332,4992,86.8,5224,6197,84.3,1572,2888,54.4,17,21.3,21.9,-4.3,244,826,188,76,992
Portimonense,35,34.0,11242,14717,76.4,225169,86132,4222,4962,85.1,5155,6046,85.3,1681,3081,54.6,18,23.8,20.1,-5.8,299,820,142,36,1056
Porto,33,34.0,16188,19569,82.7,281824,96681,7589,8413,90.2,6243,7179,87.0,1776,2821,63.0,54,59.3,55.2,-5.3,446,1298,388,67,1554
Santa Clara,32,34.0,10609,14029,75.6,206207,81040,4137,4877,84.8,4747,5605,84.7,1498,2822,53.1,22,26.9,23.3,-4.9,247,809,156,36,967
Sporting CP,31,34.0,16576,19896,83.3,293023,96142,7398,8193,90.3,7221,8175,88.3,1635,2644,61.8,45,48.6,43.8,-3.6,394,1264,338,97,1563
Tondela,27,34.0,10770,14260,75.5,203209,82052,4461,5200,85.8,4660,5630,82.8,1399,2667,52.5,25,22.1,19.1,+2.9,213,731,158,47,964
Vitória,31,34.0,11541,14962,77.1,220936,81315,4731,5471,86.5,4934,5844,84.4,1600,2854,56.1,25,31.8,27.6,-6.8,322,976,246,81,1273
Vizela,31,34.0,10187,13836,73.6,184230,76044,4484,5277,85.0,4271,5224,81.8,1175,2470,47.6,23,27.8,29.8,-4.8,299,844,218,76,1167
