Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
AEK Athens,30,36.0,75,2,0,,,,,,,,,0
AO Kifisia,35,33.0,106,7,5,,,,,,,,,3
Aris,33,36.0,95,0,0,,,,,,,,,2
Asteras Tripoli,33,33.0,94,6,6,,,,,,,,,3
Atromitos,27,33.0,95,7,3,,,,,,,,,1
OFI Crete,30,33.0,99,0,0,,,,,,,,,3
Olympiacos,36,36.0,86,3,2,,,,,,,,,1
Panathinaikos,32,36.0,73,4,1,,,,,,,,,1
Panetolikos,30,33.0,89,5,4,,,,,,,,,2
Panserraikos,32,33.0,103,7,2,,,,,,,,,2
PAOK,28,36.0,83,1,1,,,,,,,,,0
PAS Giannina,34,33.0,100,5,3,,,,,,,,,1
PAS Lamia,32,36.0,100,4,2,,,,,,,,,3
Volos NFC,33,33.0,109,6,4,,,,,,,,,1
