Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
Arda,28,36.0,92,4,1,,,,,,,,,0
Beroe,40,35.0,110,8,3,,,,,,,,,0
Botev Plovdiv,46,36.0,97,3,2,,,,,,,,,1
Botev Vratsa,31,35.0,105,5,2,,,,,,,,,2
Cherno More,29,35.0,73,3,2,,,,,,,,,0
CSKA 1948,41,36.0,83,7,2,,,,,,,,,0
CSKA Sofia,34,35.0,89,4,0,,,,,,,,,1
Etar,41,35.0,93,11,5,,,,,,,,,3
FK Levski 2005,32,35.0,99,2,1,,,,,,,,,1
Levski Sofia,32,35.0,77,4,0,,,,,,,,,0
Loko Plovdiv,33,35.0,100,7,5,,,,,,,,,1
Lokomotiv Sofia,29,35.0,90,4,4,,,,,,,,,1
Ludogorets,44,35.0,56,4,0,,,,,,,,,2
PFC Hebar Pazardzhik,28,35.0,84,5,2,,,,,,,,,0
Pirin Blagoevgrad,35,35.0,95,5,3,,,,,,,,,2
Slavia Sofia,34,36.0,92,3,2,,,,,,,,,1
