Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
Čukarički,33,37.0,85,4,4,,,,,,,,,0
FK Kolubara,35,37.0,94,2,1,,,,,,,,,1
Metalac GM,33,37.0,91,3,3,,,,,,,,,1
Mladost Lučani,39,37.0,97,4,1,,,,,,,,,0
Napredak Kruš,35,37.0,96,6,3,,,,,,,,,5
Novi Pazar,38,37.0,89,2,0,,,,,,,,,1
Partizan,32,37.0,63,2,2,,,,,,,,,1
Proleter NS,37,37.0,113,4,4,,,,,,,,,1
Radnički Kragujevac,42,37.0,95,5,1,,,,,,,,,3
Radnički Niš,34,37.0,95,6,3,,,,,,,,,2
Radnik Surdulica,31,37.0,88,4,4,,,,,,,,,1
Red Star,36,37.0,66,0,0,,,,,,,,,2
Spartak Subotic,43,37.0,73,2,0,,,,,,,,,2
TSC Bačka Top,33,37.0,77,0,0,,,,,,,,,1
Vojvodina,29,37.0,93,5,3,,,,,,,,,2
Voždovac,30,37.0,72,2,1,,,,,,,,,1
