Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Kerem Atakan Kesgin,tr TUR,MF,Beşiktaş,21,2000,0.5,0,0,0,1,1,0,3,1,1,,,0,Matches

Kerem Atakan Kesgin,tr TUR,MF,Sivasspor,21,2000,1.7,0,0,0,2,3,1,2,1,2,,,0,Matches
Onur Atasayar,,DF,Ümraniyespor,27,1995,16.4,4,1,1,10,8,4,32,25,19,,,0,Matches
Christian Atsu,gh GHA,"FW,MF",Hatayspor,30,1992,0.5,0,0,0,0,1,0,3,1,0,,,0,Matches
Durel Avounou,cg CGO,MF,Ümraniyespor,24,1997,19.3,3,1,1,24,32,6,48,15,7,,,0,Matches
Abdullah Aydın,,MF,İstanbulspor,22,2000,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
Oğuz Aydın,tr TUR,"MF,FW",Alanyaspor,21,2000,13.8,2,0,0,15,7,5,68,6,12,,,0,Matches
Taylan Aydın,tr TUR,DF,Kasımpaşa,16,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Soner Aydoğdu,tr TUR,MF,Antalyaspor,31,1991,5.6,3,1,0,7,7,0,15,7,5,,,0,Matches
Berkay Aydoğmuş,,MF,Başakşehir,18,2004,0.7,0,0,0,4,1,0,0,0,2,,,0,Matches
Kaan Ayhan,tr TUR,DF,Galatasaray,27,1994,1.3,0,0,0,1,0,0,1,4,2,,,0,Matches
Onur Ayık,tr TUR,"FW,MF",Ümraniyespor,32,1990,16.5,2,0,0,15,36,3,32,15,14,,,0,Matches
Serdar Aziz,tr TUR,DF,Fenerbahçe,31,1990,10.8,3,0,0,10,7,0,0,6,5,,,0,Matches
Mahamadou Ba,ml MLI,MF,İstanbulspor,22,1999,12.7,4,0,0,22,17,0,0,14,17,,,0,Matches
Mame Baba Thiam,sn SEN,"FW,MF",Kayserispor,29,1992,21.5,2,0,0,38,22,16,10,15,11,,,0,Matches
Volkan Babacan,tr TUR,GK,Başakşehir,33,1988,21.0,0,0,0,0,5,0,0,0,1,,,0,Matches
Onurhan Babuscu,at AUT,MF,Gaziantep FK,18,2003,0.3,0,0,0,0,1,0,0,0,0,,,0,Matches
Kağan Bağış,,MF,İstanbulspor,24,1998,1.6,0,0,0,1,0,0,6,2,1,,,0,Matches
Stéphane Bahoken,cm CMR,FW,Kasımpaşa,30,1992,17.4,3,0,0,38,16,14,15,3,5,,,0,Matches
Riad Bajić,ba BIH,FW,Giresunspor,28,1994,31.9,1,0,0,21,46,23,12,4,8,,,1,Matches
Anastasios Bakasetas,gr GRE,MF,Trabzonspor,29,1993,23.3,9,1,0,31,47,2,127,21,31,,,0,Matches
Bünyamin Balcı,tr TUR,"DF,MF",Antalyaspor,22,2000,31.2,3,1,0,27,42,2,77,31,58,,,0,Matches
Jure Balkovec,si SVN,DF,Alanyaspor,27,1994,21.2,4,0,0,10,22,0,94,11,17,,,0,Matches
Mario Balotelli,it ITA,FW,Adana Demirspor,31,1990,0.8,0,0,0,0,0,1,0,0,0,,,0,Matches
Rayyan Baniya,,DF,Fatih Karagümrük,23,1999,25.0,4,0,0,29,20,0,0,23,30,,,1,Matches
Özgur Baran Aksaka,,MF,Galatasaray,19,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches

Abdülkerim Bardakcı,tr TUR,DF,Galatasaray,27,1994,29.5,6,2,1,36,23,5,11,37,32,,,0,Matches
Enis Bardhi,mk MKD,MF,Trabzonspor,27,1995,14.8,2,0,0,33,27,2,79,4,12,,,0,Matches
Marc Bartra,es ESP,DF,Trabzonspor,31,1991,25.2,4,1,0,32,23,1,15,53,29,,,0,Matches
Sadık Baş,,"FW,DF",Hatayspor,28,1994,1.6,0,0,0,3,3,0,7,0,3,,,0,Matches
Emrah Başsan,tr TUR,MF,Kayserispor,30,1992,13.6,1,0,0,13,47,1,109,6,15,,,0,Matches
Michy Batshuayi,be BEL,FW,Fenerbahçe,28,1993,13.5,6,1,1,15,10,18,3,0,3,,,0,Matches
Bilal Bayazit,nl NED,GK,Kayserispor,23,1999,29.9,2,1,0,1,5,0,0,1,1,,,0,Matches
Altay Bayındır,tr TUR,GK,Fenerbahçe,24,1998,26.0,2,0,0,2,8,0,0,0,2,,,0,Matches
Furkan Bayır,tr TUR,DF,Alanyaspor,22,2000,31.0,6,0,0,64,14,0,3,56,23,,,0,Matches
Gökdeniz Bayrakdar,tr TUR,MF,Antalyaspor,20,2001,4.6,1,0,0,8,5,2,4,2,7,,,0,Matches
Emin Bayram,tr TUR,DF,Galatasaray,19,2003,4.7,1,0,0,4,3,0,0,13,10,,,0,Matches
Burak Bekaroğlu,,DF,Hatayspor,25,1997,3.0,0,0,0,3,1,0,1,2,4,,,0,Matches
Burak Bekaroğlu,,DF,Fatih Karagümrük,25,1997,2.0,0,0,0,1,3,1,0,2,2,,,0,Matches
Efkan Bekiroglu,,MF,Alanyaspor,26,1995,15.8,2,0,0,17,14,1,14,6,6,,,0,Matches
Younès Belhanda,ma MAR,"FW,MF",Adana Demirspor,32,1990,25.2,5,2,0,23,27,8,69,7,22,,,0,Matches
Mortadha Ben Ouannes,tn TUN,"DF,MF",Kasımpaşa,28,1994,26.5,9,1,1,26,45,11,77,37,23,,,0,Matches
Oğuzhan Berber,tr TUR,"DF,MF",İstanbulspor,30,1992,12.7,1,0,0,3,8,0,16,22,19,,,0,Matches
Giorgi Beridze,ge GEO,MF,Ankaragücü,25,1997,18.6,0,0,0,10,27,10,31,9,10,,,0,Matches
Rahmetullah Berişbek,tr TUR,MF,Giresunspor,23,1999,2.9,1,0,0,4,2,0,11,6,9,,,0,Matches
Mergim Berisha,de GER,FW,Fenerbahçe,24,1998,0.2,1,0,0,1,1,0,2,0,0,,,0,Matches
Andrea Bertolacci,it ITA,MF,Kayserispor,31,1991,2.7,1,0,0,3,8,0,1,3,2,,,0,Matches
Andrea Bertolacci,it ITA,MF,Fatih Karagümrük,31,1991,9.2,5,0,0,17,23,0,16,4,5,,,0,Matches
Adel Bettaieb,tn TUN,FW,Ümraniyespor,25,1997,8.0,1,0,0,10,19,7,13,0,2,,,0,Matches
Lucas Biglia,ar ARG,MF,Başakşehir,36,1986,18.2,6,0,0,29,26,0,12,28,21,,,0,Matches
Hayrullah Bilazer,,DF,Giresunspor,27,1995,30.4,7,0,0,29,20,4,73,41,43,,,0,Matches

Emre Bilgin,tr TUR,GK,Beşiktaş,18,2004,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Tayfur Bingöl,tr TUR,MF,Alanyaspor,29,1993,1.5,1,0,0,3,4,0,3,1,0,,,0,Matches
Tayfur Bingöl,tr TUR,"MF,DF",Beşiktaş,29,1993,10.6,1,0,0,10,10,1,17,7,16,,,0,Matches
Mame Biram Diouf,sn SEN,FW,Konyaspor,34,1987,18.3,2,1,1,22,14,19,2,2,7,,,0,Matches
Davide Biraschi,it ITA,DF,Fatih Karagümrük,28,1994,27.5,5,1,1,42,23,0,28,36,28,,,0,Matches
Birkir Bjarnason,is ISL,"MF,FW",Adana Demirspor,34,1988,2.5,0,0,0,1,4,0,2,1,1,,,0,Matches
Sacha Boey,fr FRA,DF,Galatasaray,21,2000,30.1,8,1,0,48,27,2,95,52,55,,,0,Matches
Ruud Boffin,be BEL,GK,Antalyaspor,34,1987,7.0,0,0,0,1,0,0,0,0,1,,,0,Matches
Fabio Borini,it ITA,"FW,MF",Fatih Karagümrük,31,1991,26.3,6,0,0,30,64,10,37,29,21,,,0,Matches
Arif Boşluk,,"MF,DF",Trabzonspor,19,2003,3.2,0,0,0,2,1,0,15,7,6,,,0,Matches
Andreas Bouchalakis,gr GRE,MF,Konyaspor,29,1993,8.1,2,0,0,11,6,0,3,9,7,,,0,Matches
Mehdi Boudjemaa,dz ALG,MF,Hatayspor,24,1998,12.0,5,0,0,20,20,1,11,6,11,,,0,Matches
Tyler Boyd,us USA,"FW,MF",Beşiktaş,27,1994,0.5,0,0,0,1,1,0,0,0,0,,,0,Matches
Umut Bozok,tr TUR,FW,Trabzonspor,25,1996,12.7,3,0,0,24,20,11,3,2,11,,,0,Matches
Bruma,pt POR,"FW,MF",Fenerbahçe,27,1994,0.3,0,0,0,0,0,0,2,0,0,,,0,Matches
Jeffrey Bruma,nl NED,DF,Kasımpaşa,30,1991,8.1,1,0,0,12,4,0,0,8,1,,,0,Matches
Onur Bulut,tr TUR,DF,Beşiktaş,28,1994,6.5,1,0,0,8,7,0,13,11,5,,,0,Matches
Onur Bulut,tr TUR,DF,Kayserispor,28,1994,21.0,1,0,0,12,16,1,41,20,30,,,0,Matches
Zymer Bytyqi,no NOR,MF,Konyaspor,25,1996,16.5,2,0,0,5,5,9,81,7,7,,,0,Matches
Torgeir Børven,no NOR,FW,Gaziantep FK,30,1991,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Musa Çağıran,tr TUR,MF,Hatayspor,29,1992,4.5,2,0,0,6,5,0,4,6,6,,,0,Matches
Oğulcan Çağlayan,tr TUR,"FW,MF",Giresunspor,26,1996,2.0,0,0,0,2,3,1,1,0,0,,,0,Matches
Júnior Caiçara,br BRA,DF,Başakşehir,33,1989,7.1,2,0,0,12,3,1,10,6,7,,,0,Matches
Jordy Caicedo,ec ECU,FW,Sivasspor,24,1997,5.3,0,0,0,14,8,7,5,2,1,,,0,Matches
Aldin Čajić,ba BIH,MF,İstanbulspor,29,1992,1.4,0,0,0,2,0,1,0,1,0,,,0,Matches

Uğurcan Çakır,tr TUR,GK,Trabzonspor,26,1996,30.7,3,0,0,0,3,0,0,0,0,,,0,Matches
Francisco Calvo,cr CRC,DF,Konyaspor,30,1992,30.8,12,0,0,28,19,10,1,46,23,,,1,Matches
Samba Camara,ml MLI,DF,Sivasspor,29,1992,5.8,1,0,0,9,7,0,0,10,17,,,0,Matches
Gustavo Campanharo,br BRA,MF,Kayserispor,30,1992,18.9,1,0,0,39,28,0,5,34,53,,,0,Matches
Jorman Campuzano,co COL,MF,Giresunspor,26,1996,23.4,6,0,0,36,52,2,8,38,36,,,0,Matches
Erol Can Akdağ,,MF,Giresunspor,25,1996,0.7,0,0,0,2,2,0,0,1,1,,,0,Matches
İrfan Can Eğribayat,tr TUR,GK,Fenerbahçe,24,1998,8.0,2,0,0,0,1,0,0,0,0,,,0,Matches
Faruk Can Genç,,DF,Giresunspor,22,2000,6.9,3,0,0,5,3,0,15,13,7,,,0,Matches
Mert Can,,DF,Ankaragücü,17,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Daniel Candeias,pt POR,"MF,FW",Alanyaspor,34,1988,17.4,5,0,0,28,11,5,107,7,33,,,0,Matches
Atakan Çankaya,tr TUR,DF,Ankaragücü,24,1998,14.9,4,0,0,14,25,2,2,17,25,,,0,Matches
Erdem Canpolat,de GER,GK,Kasımpaşa,21,2001,9.0,1,0,0,0,0,0,0,1,0,,,0,Matches
Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",Kayserispor,28,1994,25.9,8,0,0,47,38,10,134,12,19,,,0,Matches
Lionel Carole,fr FRA,DF,Kayserispor,31,1991,22.2,4,0,0,27,29,0,29,44,15,,,0,Matches
Steven Caulker,sl SLE,DF,Fatih Karagümrük,30,1991,4.2,0,0,0,2,2,0,0,8,4,,,0,Matches
Ivan Cavaleiro,pt POR,"MF,FW",Alanyaspor,28,1993,12.0,2,0,0,19,12,3,72,7,5,,,0,Matches
Endri Çekiçi,al ALB,MF,Konyaspor,25,1996,12.2,3,0,0,20,20,5,18,1,11,,,0,Matches
Batuhan Çelik,tr TUR,FW,Başakşehir,17,2005,0.4,0,0,0,2,0,0,1,0,2,,,0,Matches
Bersant Celina,xk KVX,MF,Kasımpaşa,25,1996,10.9,1,0,0,4,7,3,22,6,8,,,0,Matches
Murat Cem Akpınar,tr TUR,MF,Giresunspor,23,1999,9.0,4,0,0,23,17,0,23,12,18,,,0,Matches
Muzaffer Cem Kablan,,GK,Fatih Karagümrük,22,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Sahverdi Cetin,de GER,MF,Ankaragücü,21,2000,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Erdem Çetinkaya,tr TUR,FW,Kasımpaşa,21,2001,0.4,0,0,0,2,1,0,0,0,1,,,0,Matches
Oğuz Ceylan,tr TUR,DF,Ankaragücü,31,1990,8.1,3,0,0,14,6,3,42,5,13,,,0,Matches
