Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Nick Bätzner,de GER,"FW,MF",Oostende,22,2000,21.0,4,0,0,19,14,5,53,12,23,0,0,0,127,12,33,26.7,Matches
Robert Bauer,de GER,DF,Sint-Truiden,27,1995,21.0,6,1,0,28,18,0,11,51,25,0,1,0,128,20,20,50.0,Matches
Nadhir Benbouali,dz ALG,"FW,MF",Charleroi,22,2000,8.3,3,0,0,15,4,9,1,1,1,0,0,0,12,32,46,41.0,Matches
Amine Benchaib,ma MAR,MF,Kortrijk,24,1998,0.8,0,1,0,2,0,0,4,0,1,0,0,0,1,0,1,0.0,Matches
Ján Bernát,sk SVK,MF,Westerlo,21,2001,2.2,3,0,0,6,7,0,8,1,1,1,0,0,10,1,5,16.7,Matches
Antoine Bernier,be BEL,"FW,MF",R.F.C. Seraing,24,1997,19.3,1,0,0,27,51,2,28,9,6,3,0,0,85,8,29,21.6,Matches
Mohamed Berte,be BEL,FW,Oostende,20,2002,3.0,1,0,0,6,11,1,1,0,6,0,0,0,23,3,3,50.0,Matches
Loïc Bessile,tg TOG,DF,Charleroi,23,1999,6.9,0,0,0,3,2,0,2,20,11,0,0,0,25,8,13,38.1,Matches
Loïc Bessile,tg TOG,DF,Eupen,23,1999,5.8,0,1,0,7,1,0,1,15,9,0,1,0,31,13,7,65.0,Matches

Lucas Bijker,nl NED,DF,Mechelen,29,1993,1.7,1,0,0,2,0,0,1,4,3,0,0,0,12,0,3,0.0,Matches
Nathan Bitumazala,fr FRA,"MF,DF",Eupen,19,2002,9.8,1,0,0,7,6,2,21,3,8,0,0,0,45,4,7,36.4,Matches
Eric Bocat,fr FRA,DF,Sint-Truiden,23,1999,15.7,2,0,0,11,25,0,42,37,20,1,0,0,125,10,14,41.7,Matches
Arnaud Bodart,be BEL,GK,Standard Liège,24,1998,34.0,2,1,0,1,1,0,0,2,0,0,0,0,32,11,0,100.0,Matches
Merveille Bokadi,cd COD,DF,Standard Liège,30,1992,30.7,4,0,0,18,28,0,2,37,37,1,1,1,235,44,36,55.0,Matches
Sinan Bolat,tr TUR,GK,Westerlo,33,1988,33.0,6,0,0,1,7,0,0,0,0,0,1,0,41,8,0,100.0,Matches
Boli Bolingoli-Mbombo,be BEL,DF,Mechelen,27,1995,13.7,6,0,0,22,10,2,16,28,26,0,0,0,101,18,17,51.4,Matches
Aleksandar Boljević,me MNE,"DF,FW",Standard Liège,26,1995,2.3,1,0,0,1,4,1,23,1,5,1,0,0,4,1,1,50.0,Matches
Adrien Bongiovanni,be BEL,MF,Charleroi,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Victor Boniface,ng NGA,FW,Union SG,21,2000,24.7,2,0,0,18,38,12,17,8,4,0,0,0,85,40,48,45.5,Matches
Viktor Boone,be BEL,DF,Union SG,24,1998,0.5,1,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0.0,Matches
Indy Boonen,be BEL,"FW,MF",Oostende,23,1999,4.3,1,0,0,2,6,1,15,1,7,0,0,0,21,2,5,28.6,Matches
Sammy Bossut,be BEL,GK,Zulte Waregem,36,1985,22.0,1,0,0,0,1,0,0,0,1,0,0,0,29,2,0,100.0,Matches
Louis Bostyn,be BEL,GK,Zulte Waregem,28,1993,12.0,0,0,0,1,1,0,0,0,0,0,1,0,14,2,0,100.0,Matches
Mehdi Boukamir,ma MAR,DF,Charleroi,18,2004,8.2,1,1,0,6,5,0,0,13,8,0,0,0,53,15,20,42.9,Matches
Frank Boya,cm CMR,MF,Sint-Truiden,26,1996,25.9,6,0,0,49,33,1,18,42,44,1,0,0,251,80,45,64.0,Matches
Dedryck Boyata,be BEL,DF,Club Brugge,31,1990,6.1,1,0,0,4,2,0,0,6,4,0,1,0,33,10,4,71.4,Matches
Stan Braem,be BEL,"FW,MF",Zulte Waregem,23,1998,2.2,1,0,0,2,1,0,2,1,4,0,0,0,11,4,11,26.7,Matches
Christian Brüls,be BEL,"MF,FW",Sint-Truiden,33,1988,14.0,2,0,0,12,17,0,98,14,25,0,0,0,85,19,18,51.4,Matches
Christian Brüls,be BEL,"MF,FW",Zulte Waregem,33,1988,11.2,3,1,1,19,20,1,63,7,12,0,0,0,85,8,8,50.0,Matches
Gianni Bruno,be BEL,FW,Sint-Truiden,30,1991,23.2,4,0,0,19,25,18,54,5,7,0,0,0,94,27,47,36.5,Matches
