Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Júnior Brumado,br BRA,FW,Midtjylland,24,1999,1.5,1,0,0,5,2,0,0,0,2,,,0,Matches
Ola Brynhildsen,no NOR,"FW,MF",Midtjylland,24,1999,14.3,3,0,0,12,18,11,7,4,4,,,0,Matches
Filip Bundgaard,dk DEN,FW,Brøndby,19,2004,4.7,0,0,0,5,2,0,15,1,8,,,0,Matches
Filip Bundgaard,dk DEN,FW,Randers,19,2004,13.0,1,0,0,19,18,2,70,12,15,,,0,Matches
Oliver Bundgaard,dk DEN,DF,Viborg,22,2001,31.3,3,0,0,21,26,2,121,27,40,,,0,Matches
Tyler Burey,eng ENG,MF,Odense,21,2001,1.8,0,0,0,8,4,1,2,1,1,,,0,Matches
Nicolas Bürgy,ch SUI,DF,Viborg,27,1995,23.4,1,0,0,16,9,0,1,31,9,,,0,Matches
Alexander Busch,dk DEN,DF,Silkeborg,20,2003,16.7,4,0,0,10,21,0,0,20,12,,,0,Matches
Azer Bušuladžić,dk DEN,MF,Vejle BK,31,1991,4.5,1,0,0,4,6,0,2,1,4,,,0,Matches
Mohamed Buya Turay,sl SLE,FW,Odense,28,1995,4.5,1,0,0,6,2,10,2,1,3,,,0,Matches
Asbjørn Bøndergaard,dk DEN,FW,Silkeborg,19,2004,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Luka Callo,dk DEN,DF,AGF,17,2006,2.1,0,0,0,3,1,0,3,0,3,,,0,Matches
Christian Cappis,us USA,MF,Brøndby,23,1999,0.1,0,0,0,0,1,1,0,0,1,,,0,Matches
Patrik Carlgren,se SWE,GK,Randers,31,1992,32.0,3,0,0,2,6,0,0,0,0,,,0,Matches
Frederik Carlsen,dk DEN,MF,Silkeborg,21,2001,6.3,0,0,0,8,2,1,3,0,12,,,0,Matches
Edward Chilufya,zm ZAM,FW,Midtjylland,23,1999,0.7,0,0,0,3,1,0,1,0,1,,,0,Matches
Hans Christian Bernat,dk DEN,GK,Odense,22,2000,7.5,1,0,0,1,1,0,0,0,0,,,0,Matches
Tochi Chukwuani,dk DEN,MF,Lyngby,20,2003,24.4,4,0,0,48,43,4,24,17,44,,,0,Matches
Viktor Claesson,se SWE,"MF,FW",FC Copenhagen,31,1992,14.1,2,0,0,28,13,1,9,13,19,,,0,Matches
Nikolai Clausen,dk DEN,MF,Hvidovre IF,28,1995,0.7,0,0,0,2,0,0,1,1,0,,,0,Matches
William Clem,dk DEN,MF,FC Copenhagen,19,2004,13.3,1,0,0,12,6,0,6,23,16,,,0,Matches
David Čolina,hr CRO,MF,Vejle BK,23,2000,8.9,3,0,0,13,8,2,28,11,14,,,0,Matches
Rezan Corlu,dk DEN,MF,Lyngby,25,1997,2.2,0,0,0,4,1,1,3,0,2,,,0,Matches
Andreas Cornelius,dk DEN,FW,FC Copenhagen,30,1993,7.3,0,0,0,18,8,2,6,4,3,,,0,Matches

Lasso Coulibaly,gh GHA,MF,Nordsjælland,20,2002,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Lasso Coulibaly,gh GHA,MF,Randers,20,2002,23.8,4,0,0,49,60,18,34,12,30,,,0,Matches
Adam Daghim,dk DEN,MF,AGF,17,2005,0.1,0,0,0,0,0,1,2,0,0,,,0,Matches
