Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Valentin Atangana Edoa,fr FRA,MF,Reims,17,2005,6.2,0,0,0,19,8,0,5,6,13,0,0,0,28,8,12,40.0,Matches
Arthur Atta,fr FRA,"MF,FW",Metz,20,2003,10.3,0,0,0,18,12,4,10,10,14,0,0,0,54,11,19,36.7,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,34,1989,29.1,4,0,0,9,20,21,42,9,14,0,0,0,67,26,39,40.0,Matches
André Ayew,gh GHA,FW,Le Havre,33,1989,12.3,2,1,0,15,26,4,4,2,11,0,0,0,40,44,62,41.5,Matches
Neil El Aynaoui,fr FRA,MF,Lens,22,2001,17.4,1,0,0,21,40,1,7,32,20,1,0,0,94,15,16,48.4,Matches
Abdellah Baallal,ma MAR,MF,Clermont Foot,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Shavy Babicka,ga GAB,"FW,MF",Toulouse,23,2000,4.1,0,0,0,5,4,1,13,0,8,0,0,0,18,5,6,45.5,Matches
Tiemoué Bakayoko,fr FRA,MF,Lorient,28,1994,14.6,5,0,0,25,23,2,1,26,17,0,0,0,94,24,17,58.5,Matches
Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,20,2002,24.2,4,1,0,32,75,3,155,20,22,0,0,0,114,12,22,35.3,Matches
Aliou Baldé,gn GUI,"FW,DF",Nice,20,2002,0.8,0,0,0,2,2,0,4,3,1,0,0,0,6,1,2,33.3,Matches
Carlos Baleba,cm CMR,MF,Lille,19,2004,0.7,0,0,0,2,2,0,0,2,2,0,0,0,2,0,0,,Matches
Leonardo Balerdi,ar ARG,DF,Marseille,24,1999,25.2,6,1,1,25,23,1,2,51,50,1,0,0,167,57,36,61.3,Matches
Folarin Balogun,us USA,FW,Monaco,22,2001,18.8,1,0,0,31,35,14,7,3,4,1,0,0,48,8,33,19.5,Matches
Mohamed Bamba,ci CIV,FW,Lorient,21,2001,12.6,3,0,0,22,14,11,2,2,9,0,0,0,35,23,29,44.2,Matches

Mamady Bangré,bf BFA,"FW,MF",Toulouse,22,2001,1.1,2,0,0,3,0,1,4,4,2,0,0,0,12,1,3,25.0,Matches
Bradley Barcola,fr FRA,FW,Lyon,20,2002,3.0,1,0,0,4,2,2,0,2,2,0,0,0,11,9,2,81.8,Matches
Bradley Barcola,fr FRA,"FW,MF",Paris S-G,20,2002,15.2,3,1,1,22,12,4,18,10,16,0,0,0,52,10,11,47.6,Matches
Melvin Bard,fr FRA,DF,Nice,22,2000,29.5,7,1,0,40,24,1,70,42,38,0,1,0,204,23,29,44.2,Matches
Steven Baseya,fr FRA,DF,Strasbourg,18,2005,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0.0,Matches
Mohamed Bechikh,fr FRA,"FW,MF",Strasbourg,18,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Yanis Begraoui,ma MAR,"FW,MF",Toulouse,22,2001,3.3,0,0,0,5,7,1,5,5,3,0,0,0,13,4,8,33.3,Matches
Jérémie Bela,ao ANG,"MF,FW",Clermont Foot,30,1993,2.3,0,0,0,0,4,0,14,0,1,0,0,0,8,1,3,25.0,Matches
Reda Belahyane,fr FRA,MF,Nice,19,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15.0,1,0,0,0,3,0,0,1,0,0,0,0,18,4,0,100.0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,25,1998,3.0,2,0,0,3,8,0,8,4,3,0,0,0,19,0,5,0.0,Matches
Jeanuël Belocian,fr FRA,DF,Rennes,18,2005,16.1,0,0,0,12,15,0,13,13,22,0,0,0,69,10,10,50.0,Matches
Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,18,2005,4.8,0,1,0,6,19,1,13,2,6,1,0,0,19,5,8,38.5,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,32,1990,25.7,2,0,0,11,20,32,9,8,3,0,0,0,72,15,28,34.9,Matches
Saïd Benrahma,dz ALG,"FW,MF",Lyon,27,1995,8.6,2,0,0,1,10,7,67,1,7,0,0,0,41,1,15,6.3,Matches
Nabil Bentaleb,dz ALG,MF,Lille,28,1994,21.9,7,0,0,23,18,0,6,37,32,0,1,0,142,24,13,64.9,Matches
Lucas Beraldo,br BRA,DF,Paris S-G,19,2003,11.2,4,1,0,12,13,0,2,20,14,0,0,0,63,15,15,50.0,Matches
Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,100.0,Matches
