Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Fredrik Aursnes,no NOR,"FW,MF",Benfica,26,1995,23.9,5,0,0,25,10,8,37,32,29,1,0,0,157,21,23,47.7,Matches
Matheus Babi,br BRA,FW,Santa Clara,25,1997,15.1,6,0,0,37,50,13,2,2,11,0,0,0,31,68,74,47.9,Matches
Miguel Baeza,es ESP,"MF,FW",Rio Ave,22,2000,12.0,0,0,0,8,13,0,30,7,7,0,0,0,49,5,9,35.7,Matches
Alexander Bah,dk DEN,DF,Benfica,24,1997,20.9,1,0,0,33,39,1,85,36,34,2,0,1,118,36,32,52.9,Matches
Jason Bahamboula,cg CGO,MF,Vitória,21,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.3,Matches
Ibrahima Bamba,ci CIV,"DF,MF",Vitória,20,2002,25.8,14,1,1,38,43,0,5,36,38,0,1,0,174,28,34,45.2,Matches
Daniel Bandeira,pt POR,MF,Vitória,22,2000,18.3,3,0,0,25,20,0,15,24,27,0,0,1,150,32,19,62.7,Matches
Simon Banza,cd COD,FW,Braga,25,1996,16.1,3,0,0,42,42,10,7,2,10,1,0,0,47,63,63,50.0,Matches

Romário Baró,pt POR,"MF,FW",Casa Pia,22,2000,10.4,3,0,0,12,18,2,4,10,10,0,1,0,66,7,14,33.3,Matches
Luís Bastos,pt POR,DF,Paços,20,2001,4.1,0,0,0,4,10,0,9,3,2,0,0,0,20,2,1,66.7,Matches
Gabriel Batista,br BRA,GK,Santa Clara,24,1998,26.0,2,0,0,0,6,0,0,0,0,0,0,0,34,4,1,80.0,Matches
Ricardo Batista,pt POR,GK,Casa Pia,35,1986,31.0,5,0,0,0,13,0,0,1,0,0,0,0,45,9,2,81.8,Matches
Dylan Batubinsika,cd COD,DF,Famalicão,26,1996,2.0,1,0,0,1,2,0,0,4,2,0,0,0,12,4,2,66.7,Matches
Batxi,ao ANG,"FW,MF",Chaves,24,1998,3.6,1,0,0,1,8,0,12,1,3,0,0,0,14,0,2,0.0,Matches
Clésio Baúque,mz MOZ,"MF,DF",Marítimo,27,1994,0.7,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,50.0,Matches
Héctor Bellerín,es ESP,"DF,MF",Sporting CP,27,1995,4.9,1,0,0,5,0,1,13,3,6,0,0,0,23,10,9,52.6,Matches
Stefano Beltrame,it ITA,MF,Marítimo,29,1993,11.7,3,0,0,8,18,0,32,7,6,0,0,0,65,6,5,54.5,Matches
Gilson Benchimol,cv CPV,FW,Estoril,20,2001,3.4,1,0,0,9,5,0,1,0,3,0,0,0,19,9,14,39.1,Matches
Beni,ao ANG,MF,Casa Pia,20,2002,10.4,4,1,1,14,7,0,4,15,19,0,0,0,72,7,9,43.8,Matches
Benny,pt POR,"FW,MF",Chaves,22,2000,13.6,3,1,1,20,21,2,49,4,8,0,0,0,47,2,12,14.3,Matches
Berna,ao ANG,MF,Boavista,18,2003,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Paulo Bernardo,pt POR,MF,Paços,20,2002,8.4,4,1,1,13,13,0,7,6,12,0,0,0,48,9,13,40.9,Matches
Celton Biai,pt POR,GK,Vitória,21,2000,5.0,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,100.0,Matches
Pedro Bicalho,br BRA,"MF,FW",Santa Clara,21,2001,2.1,0,0,0,4,2,0,2,5,3,0,0,0,11,2,1,66.7,Matches
Emmanuel Boateng,gh GHA,"FW,MF",Rio Ave,26,1996,20.7,5,0,0,38,47,18,5,4,6,2,0,0,55,54,69,43.9,Matches
Kennedy Boateng,tg TOG,DF,Santa Clara,25,1996,25.7,6,1,0,26,12,2,0,34,30,0,0,1,142,91,40,69.5,Matches
Victor Bobsin,br BRA,MF,Santa Clara,22,2000,17.9,8,0,0,35,15,0,6,24,19,0,0,0,134,24,21,53.3,Matches
Bolgado,br BRA,DF,Casa Pia,23,1998,5.4,3,0,0,8,2,0,1,9,6,0,2,0,26,17,10,63.0,Matches
Kiko Bondoso,pt POR,"FW,MF",Vizela,26,1995,31.6,2,0,0,13,54,6,39,12,21,0,0,0,163,10,48,17.2,Matches
Gonçalo Borges,pt POR,"FW,MF",Porto,21,2001,1.3,0,0,0,3,2,1,14,0,3,0,0,0,9,1,0,100.0,Matches
Cristian Borja,co COL,DF,Braga,29,1993,7.6,1,0,0,10,12,0,24,11,14,0,0,0,36,6,11,35.3,Matches
Róbert Boženík,sk SVK,FW,Boavista,22,1999,10.8,5,0,0,20,18,11,1,0,3,0,0,0,20,13,34,27.7,Matches
Rafael Bracalli,br BRA,GK,Boavista,41,1981,28.0,2,0,0,0,7,0,0,2,1,0,0,0,40,7,2,77.8,Matches

Pedro Brazão,pt POR,"MF,FW",Famalicão,19,2002,3.4,0,0,0,7,3,1,1,1,2,0,0,0,15,2,3,40.0,Matches
Yan Brice Eteki,cm CMR,MF,Casa Pia,24,1997,6.6,4,0,0,19,30,0,1,6,11,0,1,0,53,2,9,18.2,Matches
Rafael Brito,pt POR,"MF,DF",Marítimo,20,2002,7.1,6,0,0,18,14,0,5,10,11,0,0,0,37,10,10,50.0,Matches
John Brooks,us USA,"MF,DF",Benfica,29,1993,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
Bruma,pt POR,"MF,FW",Braga,27,1994,11.3,3,0,0,9,12,4,10,8,15,0,0,0,62,1,6,14.3,Matches
Bruninho,br BRA,FW,Arouca,23,1999,2.5,1,0,0,10,6,6,1,4,2,0,0,0,11,16,22,42.1,Matches
Matheus Bueno,br BRA,MF,Gil Vicente FC,24,1998,6.2,1,0,0,9,14,0,10,6,5,0,0,0,42,3,1,75.0,Matches
André Bukia,cd COD,"FW,MF",Arouca,27,1995,11.4,2,0,0,13,33,1,13,4,6,0,0,0,78,0,13,0.0,Matches
Fabijan Buntić,hr CRO,GK,Vizela,25,1997,33.0,3,0,0,0,1,0,0,0,0,0,0,0,35,9,3,75.0,Matches
Oriol Busquets,es ESP,MF,Arouca,23,1999,12.9,0,0,0,15,6,0,1,16,14,0,0,0,76,7,9,43.8,Matches
Adrián Butzke,es ESP,FW,Paços,23,1999,14.8,3,1,1,19,18,4,4,3,6,1,0,0,33,67,61,52.3,Matches
Jovane Cabral,cv CPV,MF,Sporting CP,24,1998,0.6,1,0,0,3,3,1,4,0,1,0,0,0,6,0,3,0.0,Matches
Paulo Henrique Rodrigues Cabral,pt POR,DF,Santa Clara,25,1996,15.9,8,1,1,35,19,1,34,18,18,0,0,0,56,45,21,68.2,Matches
Jhonder Cádiz,ve VEN,FW,Famalicão,27,1995,14.7,0,1,0,14,35,17,9,3,5,1,0,0,25,72,48,60.0,Matches
Diogo Calila,pt POR,"DF,MF",Santa Clara,23,1998,7.2,3,0,0,21,15,1,24,9,10,0,1,0,50,2,6,25.0,Matches
Ibrahima Camará,gn GUI,MF,Boavista,23,1999,11.5,3,1,0,12,12,2,26,8,13,0,0,0,67,16,24,40.0,Matches
Francis Cann,gh GHA,FW,Vizela,24,1998,0.4,0,0,0,1,1,0,0,1,0,0,0,0,10,0,3,0.0,Matches
Reggie Cannon,us USA,DF,Boavista,24,1998,25.7,11,2,2,47,15,0,9,59,29,0,0,1,119,22,28,44.0,Matches
Fábio Cardoso,pt POR,DF,Porto,28,1994,13.7,4,0,0,10,5,0,2,12,3,0,0,0,64,31,14,68.9,Matches
Felippe Cardoso,br BRA,FW,Casa Pia,23,1998,5.6,4,1,1,18,10,4,1,2,1,1,0,0,15,13,18,41.9,Matches
Yago Cariello,br BRA,FW,Portimonense,23,1999,15.2,4,0,0,30,29,13,3,2,6,1,0,0,36,56,67,45.5,Matches
Carlinhos,br BRA,MF,Portimonense,28,1994,7.6,2,0,0,13,8,0,10,1,9,0,0,0,39,1,2,33.3,Matches
João Carlos,br BRA,FW,Estoril,27,1995,7.9,2,0,0,17,12,2,4,2,2,0,0,0,24,20,38,34.5,Matches
Luíz Carlos,br BRA,MF,Paços,37,1985,12.6,4,0,0,24,28,0,17,7,15,0,0,0,75,5,14,26.3,Matches
José Carlos Marafona,pt POR,GK,Paços,35,1987,15.8,5,1,0,0,2,0,0,1,0,0,0,1,16,1,1,50.0,Matches

Zé Carlos,pt POR,"MF,DF",Vitória,20,2001,9.5,3,0,0,9,30,1,21,20,12,0,0,0,65,4,11,26.7,Matches
Zé Carlos,pt POR,DF,Gil Vicente FC,24,1998,4.4,4,0,0,5,9,1,16,10,5,0,0,0,29,7,9,43.8,Matches
David Carmo,ao ANG,DF,Porto,23,1999,7.1,1,0,0,12,2,0,0,10,3,0,0,0,28,16,7,69.6,Matches
Marcelo Carné,br BRA,GK,Marítimo,32,1990,14.0,4,0,0,0,4,0,0,0,0,0,0,0,18,6,0,100.0,Matches
Carraça,pt POR,DF,Gil Vicente FC,29,1993,20.6,4,0,0,27,22,0,182,17,22,0,0,0,113,23,22,51.1,Matches
Anderson Carvalho,br BRA,MF,Santa Clara,32,1990,5.5,4,0,0,10,9,0,2,6,8,0,0,0,33,4,8,33.3,Matches
João Carvalho,pt POR,MF,Estoril,25,1997,25.6,6,0,0,32,31,0,68,16,33,0,0,0,165,9,13,40.9,Matches
Vitor Carvalho,br BRA,MF,Gil Vicente FC,25,1997,30.0,12,1,1,63,36,1,8,43,45,0,0,0,212,65,48,57.5,Matches
Cassiano,br BRA,FW,Estoril,33,1989,10.0,2,0,0,19,22,9,4,1,10,0,0,0,16,18,38,32.1,Matches
Moises Castillo,co COL,DF,Marítimo,21,2001,17.5,6,0,0,16,9,0,1,47,36,0,1,0,95,55,19,74.3,Matches
André Castro,pt POR,MF,Braga,34,1988,6.9,1,0,0,12,13,0,5,7,12,0,0,0,48,9,18,33.3,Matches
Geny Catamo,mz MOZ,"FW,MF",Marítimo,21,2001,3.8,1,0,0,4,12,0,7,2,2,0,0,0,20,1,4,20.0,Matches
César,br BRA,GK,Boavista,30,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches
Kayky Chagas,br BRA,"MF,FW",Paços,19,2003,3.0,1,0,0,4,2,1,2,3,3,0,0,0,12,0,0,,Matches
Youssef Chermiti,pt POR,FW,Sporting CP,18,2004,9.4,4,0,0,29,10,9,6,1,2,0,0,0,20,15,14,51.7,Matches
Fábio China,pt POR,"DF,MF",Marítimo,30,1992,4.4,4,1,1,10,4,0,13,7,12,0,0,0,29,2,1,66.7,Matches
Chiquinho,pt POR,MF,Benfica,27,1995,15.2,2,0,0,26,28,2,59,16,26,0,0,0,110,12,13,48.0,Matches
Clayton,br BRA,FW,Casa Pia,23,1999,13.2,6,1,0,44,35,19,2,4,5,0,0,0,31,30,64,31.9,Matches
Sebastián Coates,uy URU,DF,Sporting CP,31,1990,28.4,7,0,0,19,14,2,0,21,14,0,0,1,154,61,29,67.8,Matches
Dylan Collard,mu MRI,DF,Marítimo,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Santiago Colombatto,ar ARG,MF,Famalicão,25,1997,29.0,9,0,0,58,59,0,134,32,42,0,0,0,180,15,31,32.6,Matches
Fábio Conceição,pt POR,"DF,MF",Rio Ave,21,2001,22.0,3,0,0,26,48,0,41,22,19,0,0,1,108,8,19,29.6,Matches
Rodrigo Conceição,pt POR,DF,Porto,22,2000,6.1,0,0,0,8,13,1,31,8,12,0,0,0,38,6,8,42.9,Matches
Sérgio Conceição,pt POR,"DF,FW",Portimonense,25,1996,1.3,1,0,0,1,2,0,12,0,2,0,0,0,7,0,3,0.0,Matches
Félix Correia,pt POR,FW,Marítimo,21,2001,8.4,2,0,0,9,13,2,12,3,9,0,0,0,34,1,5,16.7,Matches

João Pedro Araújo Correia,cv CPV,"DF,FW",Chaves,25,1996,19.9,1,0,0,11,22,7,100,19,13,2,0,0,113,10,17,37.0,Matches
Antonio Cortés,es ESP,FW,Vitória,22,2000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,33.3,Matches
Bruno Xavier Almeida Costa,pt POR,MF,Porto,25,1997,2.9,0,0,0,4,1,0,18,2,4,0,0,0,15,2,2,50.0,Matches
Diogo Costa,pt POR,GK,Porto,22,1999,33.0,1,0,0,0,5,0,0,0,0,0,0,1,36,7,0,100.0,Matches
Edgar Costa,pt POR,"FW,MF",Marítimo,35,1987,5.3,7,2,1,12,18,0,45,2,8,0,0,0,27,4,5,44.4,Matches
Gonçalo Costa,pt POR,"DF,FW",Portimonense,22,2000,2.6,2,0,0,6,2,1,14,7,4,0,0,0,19,3,1,75.0,Matches
Matheus Costa,br BRA,DF,Marítimo,27,1995,12.0,2,1,0,12,9,1,0,15,16,0,0,1,64,35,21,62.5,Matches
Murilo Costa,br BRA,FW,Gil Vicente FC,27,1994,24.2,1,0,0,18,24,6,120,16,7,0,0,0,131,12,41,22.6,Matches
Rui Costa,pt POR,MF,Santa Clara,26,1996,0.5,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,,Matches
Tomás Costa Silva,pt POR,DF,Vizela,22,1999,13.1,4,1,1,17,28,2,38,22,28,0,0,0,77,18,16,52.9,Matches
Vitor Costa,br BRA,"DF,MF",Marítimo,28,1994,26.7,9,1,0,47,42,0,83,30,29,0,3,0,157,32,26,55.2,Matches
Costinha,pt POR,"DF,MF",Rio Ave,22,2000,31.1,5,0,0,49,52,6,124,40,63,0,2,0,182,49,56,46.7,Matches
Costinha,pt POR,"MF,FW",Santa Clara,29,1992,7.5,4,0,0,9,10,2,29,4,6,0,0,0,36,5,12,29.4,Matches
Sandro Cruz,ao ANG,"DF,FW",Chaves,21,2001,5.9,4,0,0,9,6,0,10,7,15,0,0,0,38,9,6,60.0,Matches
Cuca,cv CPV,MF,Casa Pia,31,1991,4.3,4,0,0,8,6,0,1,7,8,0,0,0,55,5,7,41.7,Matches
Lucas Cunha,br BRA,DF,Gil Vicente FC,25,1997,15.0,5,0,0,18,12,0,3,17,7,0,0,0,70,19,11,63.3,Matches
Oday Dabbagh,ps PLE,FW,Arouca,23,1998,10.2,0,0,0,5,9,12,2,6,1,0,0,0,23,19,43,30.6,Matches
Augusto Dabo,pt POR,"DF,FW",Boavista,18,2004,0.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0.0,Matches
Ignacio De Arruabarrena,uy URU,GK,Arouca,25,1997,30.0,5,0,0,0,10,0,0,0,1,0,0,0,24,15,2,88.2,Matches
Hernán De La Fuente,ar ARG,DF,Famalicão,25,1997,6.0,2,1,0,9,11,0,11,9,13,0,0,0,41,6,5,54.5,Matches
Dele,ng NGA,"FW,MF",Estoril,21,2001,0.9,1,0,0,4,0,2,3,0,0,0,0,0,5,2,4,33.3,Matches
Juan Delgado,cl CHI,DF,Paços,29,1993,29.9,12,0,0,63,65,4,113,24,35,0,0,1,167,27,31,46.6,Matches
Shaquil Delos,fr FRA,DF,Estoril,23,1999,4.6,1,0,0,3,11,0,13,4,8,0,0,0,22,3,4,42.9,Matches
