Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Lech Poznań,34,22,8,4,67,24,+43,74,2.18,"22,560",Mikael Ishak - 18,Filip Bednarek,→ Champions League via league finish
 RKS Raków,34,20,9,5,60,30,+30,69,2.03,"4,365",Ivi - 20,Vladen Kovačević,→ Europa Conference League via league finish
 Pogoń Szczecin,34,18,11,5,63,31,+32,65,1.91,"8,078",Luka Zahović - 11,Dante Stipica,→ Europa Conference League via league finish
 Lechia Gdańsk,34,16,9,9,52,39,+13,57,1.68,"7,042",Łukasz Zwoliński - 13,Dušan Kuciak,→ Europa Conference League via league finish
 Piast Gliwice,34,15,9,10,45,37,+8,54,1.59,"4,658","Damian Kądzior, Alberto Toril - 6",František Plach,
 Wisła Płock,34,15,3,16,48,51,-3,48,1.41,"2,449",Łukasz Sekulski - 13,Krzysztof Kamiński,
 Radomiak Radom,34,11,15,8,42,40,+2,48,1.41,"3,843",Karol Angielski - 18,Filip Majchrowicz,
 Górnik Zabrze,34,13,8,13,55,55,0,47,1.38,"12,250","Lukas Podolski, Krzysztof Kubica - 9",Grzegorz Sandomierski,
 Cracovia,34,12,10,12,40,42,-2,46,1.35,"6,983",Pelle van Amersfoort - 8,Lukáš Hroššo,
 Legia Warsaw,34,13,4,17,46,48,-2,43,1.26,"14,503",Tomáš Pekhart - 9,Cezary Miszta,
 Warta Poznań,34,11,9,14,35,38,-3,42,1.24,"1,853",Adam Zreľák - 9,Adrian Lis,
 Jagiellonia,34,9,13,12,39,50,-11,40,1.18,"6,506",Jesús Imaz - 9,Zlatan Alomerović,
 Zagłębie Lubin,34,11,5,18,43,59,-16,38,1.12,"2,878",Patryk Szysz - 11,Dominik Hładun,
 Stal Mielec,34,9,10,15,39,52,-13,37,1.09,"3,303",Grzegorz Tomasiewicz - 8,Rafał Strączek,
 Śląsk Wrocław,34,7,14,13,42,52,-10,35,1.03,"8,845",Erik Expósito - 11,Michał Szromnik,
 Bruk-Bet Termalica Nieciecza,34,7,11,16,36,56,-20,32,0.94,"3,443",Muris Mešanović - 11,Tomasz Loska,Relegated
 Wisła Kraków,34,7,10,17,37,54,-17,31,0.91,"14,967",Yaw Yeboah - 5,Mikołaj Biegański,Relegated
 Górnik Łęczna,34,6,10,18,29,60,-31,28,0.82,"2,945",Bartosz Śpiączka - 11,Maciej Gostomski,Relegated
