Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Ludogorets,35,26,7,2,81,27,+54,85,2.43,"1,480",Thiago - 15,Sergio Padt,→ Champions League via league finish
 CSKA Sofia,35,26,6,3,65,17,+48,84,2.40,"2,160",Duckens Nazon - 18,Gustavo Busatto,→ Europa Conference League via league finish
 CSKA 1948,35,17,13,5,55,28,+27,64,1.83,230,Ivaylo Chochev - 21,Daniel Naumov,→ Europa Conference League via league finish
 Levski Sofia,35,17,10,8,47,22,+25,61,1.74,"9,286",Ricardinho - 9,Plamen Andreev,→ Europa Conference League via playoff win
 Loko Plovdiv,35,15,9,11,35,34,+1,54,1.54,"2,457",Giovanny - 8,Dinko Horkaš,
 Cherno More,35,15,9,11,39,35,+4,54,1.54,"1,967",Vasil Panayotov - 4,Ivan Dyulgerov,
,,,,,,,,,,,,,
 Arda,36,16,10,10,47,36,+11,58,1.61,"1,675","Svetoslav Kovachev, Lassana N'Diaye - 8",Anatoli Gospodinov,
 Slavia Sofia,36,17,7,12,37,31,+6,58,1.61,408,Toni Tasev - 7,Svetoslav Vutsov,
 Lokomotiv Sofia,36,11,9,16,37,49,-12,42,1.17,"1,167",Dimitar Mitkov - 7,Aleksandar Lyubenov,
 Botev Plovdiv,36,10,6,20,41,49,-8,36,1.00,"2,167",Antoine Baroan - 14,Hidajet Hankić,
,,,,,,,,,,,,,
 Pirin Blagoevgrad,35,8,10,17,28,43,-15,34,0.97,857,Danylo Kondrakov - 5,Yanko Georgiev,
 Botev Vratsa,35,8,8,19,29,64,-35,32,0.91,"2,600",Brayan Perea - 9,Krasimir Kostov,
 PFC Hebar Pazardzhik,35,9,5,21,30,59,-29,32,0.91,225,Georgi Tartov - 6,Petar Debarliev,
 Beroe,35,8,8,19,31,54,-23,32,0.91,"1,200",Aboubacar Ibrahim Toungara - 9,Ivan Karadzhov,
 Septemvri Sofia,35,7,7,21,31,52,-21,28,0.80,400,Atanas Kabov - 6,Dimitar Sheytanov,
 FC Spartak Varna,35,5,10,20,32,65,-33,25,0.71,"2,250","Ewandro, Denys Balanyuk - 5",Ivan Dichevski,
