Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Sturm Graz,32,19,10,3,56,23,+33,67,2.09,"14,578",Otar Kiteishvili - 9,Kjell Scherpen,→ Champions League via league finish
 RB Salzburg,32,20,7,5,74,29,+45,67,2.09,"12,069",Karim Konaté - 20,Alexander Schlager,→ Champions League via league finish
 LASK,32,14,10,8,43,33,+10,52,1.63,"12,151",Marin Ljubicic - 12,Tobias Lawal,→ Europa League via league finish
 Rapid Wien,32,11,12,9,47,35,+12,45,1.41,"18,615",Marco Grüll - 13,Niklas Hedl,→ Europa League via league finish
 Hartberg,32,12,9,11,49,52,-3,45,1.41,"3,286","Donis Avdijaj, Maximilian Entrup - 12",Raphael Sallinger,
 SK Austria Klagenfurt,32,9,12,11,40,50,-10,39,1.22,"4,476",Sinan Karweina - 10,Phillip Menzel,
,,,,,,,,,,,,,
 Wolfsberger AC,32,12,10,10,41,39,+2,46,1.44,"3,449",Thierno Ballo - 12,Hendrik Bonmann,
 Austria Wien,32,12,10,10,35,34,+1,46,1.44,"12,173",Andreas Gruber - 11,Christian Früchtl,→ Europa Conference League via playoff win
 Blau-Weiß Linz,32,7,11,14,33,48,-15,32,1.00,"4,965",Ronivaldo - 10,Nicolas Schmid,
 SCR Altach,32,6,13,13,27,40,-13,31,0.97,"5,577",Mike-Steven Bähre - 5,Dejan Stojanović,
 WSG Tirol,32,7,5,20,29,55,-26,26,0.81,"3,480",Nik Prelec - 8,Adam Stejskal,
 SC Austria Lustenau,32,4,9,19,22,58,-36,21,0.66,"3,896",Lukas Fridrikas - 6,Domenik Schierl,Relegated
