Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
Cracovia,31,25.6,,34,374,"3,060",34.0,39,24,63,37,2,2,73,3,1.15,0.71,1.85,1.09,1.79
Górnik Zabrze,33,27.3,,34,374,"3,060",34.0,45,34,79,40,5,5,92,2,1.32,1.00,2.32,1.18,2.18
Jagiellonia,31,27.0,,34,374,"3,060",34.0,46,32,78,42,4,7,92,6,1.35,0.94,2.29,1.24,2.18
Korona Kielce,34,27.9,,34,374,"3,060",34.0,38,28,66,32,6,7,84,3,1.12,0.82,1.94,0.94,1.76
Lech Poznań,29,26.7,,34,374,"3,060",34.0,51,32,83,46,5,8,74,2,1.50,0.94,2.44,1.35,2.29
Lechia Gdańsk,28,28.9,,34,374,"3,060",34.0,28,17,45,23,5,5,73,1,0.82,0.50,1.32,0.68,1.18
Legia Warsaw,28,26.9,,34,374,"3,060",34.0,55,40,95,47,8,11,84,4,1.62,1.18,2.79,1.38,2.56
Miedź Legnica,31,27.3,,34,374,"3,060",34.0,33,26,59,30,3,5,103,5,0.97,0.76,1.74,0.88,1.65
Piast Gliwice,25,27.2,,34,374,"3,060",34.0,34,22,56,31,3,4,65,2,1.00,0.65,1.65,0.91,1.56
Pogoń Szczecin,30,27.6,,34,374,"3,060",34.0,53,34,87,44,9,9,69,1,1.56,1.00,2.56,1.29,2.29
Radomiak Radom,33,27.3,,34,374,"3,060",34.0,33,21,54,29,4,5,83,3,0.97,0.62,1.59,0.85,1.47
RKS Raków,30,26.1,,34,374,"3,060",34.0,60,44,104,54,6,6,79,3,1.76,1.29,3.06,1.59,2.88
Śląsk Wrocław,29,25.9,,34,374,"3,060",34.0,32,22,54,29,3,5,81,4,0.94,0.65,1.59,0.85,1.50
Stal Mielec,26,27.8,,34,374,"3,060",34.0,34,24,58,31,3,5,59,3,1.00,0.71,1.71,0.91,1.62
Warta Poznań,29,26.1,,34,374,"3,060",34.0,35,25,60,33,2,3,71,1,1.03,0.74,1.76,0.97,1.71
Widzew Łódź,27,26.9,,34,374,"3,060",34.0,38,26,64,33,5,7,50,0,1.12,0.76,1.88,0.97,1.74
Wisła Płock,33,27.7,,34,374,"3,060",34.0,41,31,72,39,2,3,70,4,1.21,0.91,2.12,1.15,2.06
Zagłębie Lubin,31,25.7,,34,374,"3,060",34.0,34,25,59,33,1,3,50,2,1.00,0.74,1.74,0.97,1.71
