Player,Market Value
roman-burki,€2.50m
,
,
lukas-hradecky,€2.50m
,
,
ivica-ivusic,€2.30m
,
,
paul-bernardoni,€2.20m
,
,
martin-jedlicka,€2.20m
,
,
daniel-bachmann,€2.20m
,
,
plamen-andreev,€2.00m
,
,
andre-gomes,€2.00m
,
,
lukas-hornicek,€2.00m
,
,
stanislav-agkatsev,€2.00m
,
,
razvan-sava,€2.00m
,
,
michael-cooper,€2.00m
,
,
ersin-destanoglu,€2.00m
,
,
justin-hammel,€2.00m
,
,
karl-hein,€2.00m
,
,
dominik-takac,€2.00m
,
,
ruslan-neshcheret,€2.00m
,
,
niklas-hedl,€2.00m
,
,
aleksandar-popovic,€2.00m
,
,
ivor-pandur,€2.00m
,
,
diego-conde,€2.00m
,
,
luca-zidane,€2.00m
,
,
ruben-blanco,€2.00m
,
,
fernando-pacheco,€2.00m
,
,
daniel-bentley,€2.00m
,
,
janis-blaswich,€2.00m
,
,
anthony-moris,€2.00m
,
,
simon-mignolet,€2.00m
,
,
antonin-kinsky,€1.80m
,
,
leo-roman,€1.80m
,
,
arthur-okonkwo,€1.80m
,
,
leopold-wahlstedt,€1.80m
,
,
ivan-lomaev,€1.80m
,
,
kristoffer-klaesson,€1.80m
,
,
dani-cardenas,€1.80m
,
,
daniel-naumov,€1.80m
,
,
ruben-yanez,€1.80m
,
,
danny-ward,€1.80m
,
,
aitor-fernandez,€1.80m
,
,
jonathan-fischer,€1.70m
,
,
muhammed-sengezer,€1.70m
,
,
laurentiu-popescu,€1.70m
,
,
nikita-haikin,€1.70m
,
,
lubomir-belko,€1.60m
,
,
jokin-ezkieta,€1.60m
,
,
mateusz-lis,€1.60m
,
,
gokhan-akkan,€1.60m
,
,
onuralp-cevikkan,€1.50m
,
,
filip-sidklev,€1.50m
,
,
goncalo-ribeiro,€1.50m
,
,
max-weiss,€1.50m
,
,
dennis-seimen,€1.50m
,
,
kiril-fesyun,€1.50m
,
,
obed-nkambadio,€1.50m
,
,
andreas-jungdal,€1.50m
,
,
senne-lammens,€1.50m
,
,
jay-gorter,€1.50m
,
,
lucas-lund,€1.50m
,
,
mateusz-kochalski,€1.50m
,
,
anthony-racioppi,€1.50m
,
,
egil-selvik,€1.50m
,
,
berke-ozer,€1.50m
,
,
bartosz-mrozek,€1.50m
,
,
lazar-carevic,€1.50m
,
,
christian-fruchtl,€1.50m
,
,
irfan-can-egribayat,€1.50m
,
,
timon-weiner,€1.50m
,
,
ivan-nevistic,€1.50m
,
,
remy-descamps,€1.50m
,
,
andries-noppert,€1.50m
,
,
jose-antonio-caro,€1.50m
,
,
aleksandr-selikhov,€1.50m
,
,
jiri-pavlenka,€1.50m
,
,
aleksandar-jovanovic,€1.50m
,
,
florian-kastenmeier,€1.50m
,
,
juan-soriano,€1.50m
,
,
nikola-vasilj,€1.50m
,
,
ilya-pomazun,€1.50m
,
,
sergio-rico,€1.50m
,
,
david-von-ballmoos,€1.50m
,
,
marco-sportiello,€1.50m
,
,
ivan-lucic,€1.50m
,
,
marvin-schwabe,€1.50m
,
,
claudio-ramos,€1.50m
,
,
davy-roef,€1.50m
,
,
hendrik-van-crombrugge,€1.50m
,
,
kristijan-kahlina,€1.50m
,
,
maxime-dupe,€1.50m
,
,
andrey-lunev,€1.50m
,
,
robin-olsen,€1.50m
,
,
alessio-cragno,€1.50m
,
,
edgar-badia,€1.40m
,
,
orjan-nyland,€1.40m
,
,
albert-posiadala,€1.30m
,
,
nikola-cavlina,€1.30m
,
,
sebastiano-desplanches,€1.30m
,
,
marcel-lotka,€1.30m
,
,
marian-aioani,€1.30m
,
,
jasper-schendelaar,€1.30m
,
,
roland-niczuly,€1.30m
,
,
elhan-kastrati,€1.30m
,
,
jasper-cillessen,€1.30m
,
,
noel-tornqvist,€1.20m
,
,
kacper-tobiasz,€1.20m
,
,
svetoslav-vutsov,€1.20m
,
,
ivan-dyulgerov,€1.20m
,
,
bailey-peacock-farrell,€1.20m
,
,
sergey-volkov,€1.20m
,
,
jamie-cumming,€1.20m
,
,
dinko-horkas,€1.20m
,
,
aynsley-pears,€1.20m
,
,
nico-mantl,€1.20m
,
,
henrich-ravas,€1.20m
,
,
ivan-villar,€1.20m
,
,
florian-muller,€1.20m
,
,
brad-collins,€1.20m
,
,
alex-palmer,€1.20m
,
,
gauthier-gallon,€1.20m
,
,
alberto-brignoli,€1.20m
,
,
fraser-forster,€1.20m
,
,
mert-gunok,€1.20m
,
,
hugo-lloris,€1.20m
,
,
tommaso-martinelli,€1.00m
,
,
mike-penders,€1.00m
,
,
aleksander-bobek,€1.00m
,
,
daniil-khudyakov,€1.00m
,
,
ander-astralaga,€1.00m
,
,
aleksandar-vulic,€1.00m
,
,
joe-whitworth,€1.00m
,
,
strahinja-manojlovic,€1.00m
,
,
mio-backhaus,€1.00m
,
,
nahuel-noll,€1.00m
,
,
josh-griffiths,€1.00m
,
,
vladislav-torop,€1.00m
,
,
sander-tangvik,€1.00m
,
,
erdem-canpolat,€1.00m
,
,
mads-hedenstad,€1.00m
,
,
dani-figueira,€1.00m
,
,
diogo-sousa,€1.00m
,
,
nathan-trott,€1.00m
,
,
patrik-gunnarsson,€1.00m
,
,
maxence-prevot,€1.00m
,
,
federico-ravaglia,€1.00m
,
,
bahadir-gungordu,€1.00m
,
,
steven-benda,€1.00m
,
,
matevz-vidovsek,€1.00m
,
,
marko-ilic,€1.00m
,
,
andre-moreira,€1.00m
,
,
conor-hazard,€1.00m
,
,
karlo-letica,€1.00m
,
,
aaron-escandell,€1.00m
,
,
boris-radunovic,€1.00m
,
,
ales-mandous,€1.00m
,
,
okan-kocuk,€1.00m
,
,
ander-cantero,€1.00m
,
,
fabian-bredlow,€1.00m
,
,
andreas-hansen,€1.00m
,
,
jesse-joronen,€1.00m
,
,
cican-stankovic,€1.00m
,
,
marius-muller,€1.00m
,
,
marcus-bettinelli,€1.00m
,
,
ryan-allsop,€1.00m
,
,
loris-karius,€1.00m
,
,
marco-silvestri,€1.00m
,
,
martin-dubravka,€1.00m
,
,
rui-patricio,€1.00m
,
,
kevin-muller,€1.00m
,
,
kasper-schmeichel,€1.00m
,
,
igor-akinfeev,€1.00m
,
,
stojan-lekovic,
,
,
rome-jayden-owusu-oduro,
,
,
nikolay-sysuev,
,
,
filip-djukic,
,
,
balazs-toth,
,
,
andy-fisher,
,
,
julian-krahl,
,
,
denis-adamov,
,
,
jacob-karlstrom,
,
,
catalin-cabuz,
,
,
shahrudin-mahammadaliyev,
,
,
nordin-jackers,
,
,
georgios-athanasiadis,
,
,
mathias-dyngeland,
,
,
jacob-rinne,
,
,
christian-walton,
,
,
matt-ingram,
,
,
lee-nicholls,
,
,
marko-dmitrovic,
,
,
wes-foderingham,
,
,
magnus-sjoeng,
,
,
jakub-markovic,
,
,
edvinas-gertmonas,
,
,
lukas-zima,
,
,
viktor-baier,
,
,
max-schmitt,
,
,
rza-cafarov,
,
,
matthew-cox,
,
,
kacper-trelowski,
,
,
bogdan-moskvichev,
,
,
xavier-dziekonski,
,
,
matthieu-epolo,
,
,
sam-tickle,
,
,
mihai-popa,
,
,
stefan-randjelovic,
,
,
pablo-cunat,
,
,
filip-marschall,
,
,
joan-garcia,
,
,
daniil-odoevskiy,
,
,
oliwier-zych,
,
,
iker-alvarez,
,
,
alessandro-sorrentino,
,
,
nordin-bakker,
,
,
adam-zadrazil,
,
,
josef-bursik,
,
,
stefan-bajic,
,
,
daniel-bielica,
,
,
david-volk,
,
,
miguel-san-roman,
,
,
evgeniy-staver,
,
,
davor-matijas,
,
,
nicolas-kristof,
,
,
riccardo-gagno,
,
,
dani-martin,
,
,
joao-virginia,
,
,
stijn-van-gassel,
,
,
andre-ferreira,
,
,
tiago-sa,
,
,
rostislav-soldatenko,
,
,
enzo-basilio,
,
,
dominik-reimann,
,
,
kenan-piric,
,
,
jaume-domenech,
,
,
liam-kelly,
,
,
patrik-carlgren,
,
,
yevgen-volynets,
,
,
mirko-pigliacelli,
,
,
tomas-koubek,
,
,
ben-wilson,
,
,
marcel-schuhen,
,
,
timo-horn,
,
,
alexander-meyer,
,
,
vicente-guaita,
,
,
andrea-consigli,
,
,
steve-mandanda,
,
,
yusif-imanov,
,
,
pontus-dahlberg,
,
,
daniel-grimshaw,
,
,
viljar-myhra,
,
,
