Player,Market Value
philipp-lienhart,€15.00m
,
,
adam-webster,€15.00m
,
,
kenny-tete,€15.00m
,
,
alessio-romagnoli,€15.00m
,
,
victor-lindelof,€15.00m
,
,
giovanni-di-lorenzo,€15.00m
,
,
niklas-sule,€15.00m
,
,
loic-bade,€14.00m
,
,
nicolo-casale,€14.00m
,
,
joakim-maehle,€14.00m
,
,
stefan-posch,€14.00m
,
,
mario-gila,€13.00m
,
,
jayden-oosterwolde,€13.00m
,
,
luiz-felipe,€13.00m
,
,
alexander-bah,€13.00m
,
,
trevoh-chalobah,€13.00m
,
,
davide-calabria,€13.00m
,
,
alex-moreno,€13.00m
,
,
james-tarkowski,€13.00m
,
,
kyle-walker,€13.00m
,
,
dean-huijsen,€12.00m
,
,
bradley-locko,€12.00m
,
,
el-chadaille-bitshiabu,€12.00m
,
,
ameen-al-dakhil,€12.00m
,
,
thomas-beelen,€12.00m
,
,
melvin-bard,€12.00m
,
,
emil-holm,€12.00m
,
,
koni-de-winter,€12.00m
,
,
lilian-brassier,€12.00m
,
,
armel-bella-kotchap,€12.00m
,
,
caleb-okoli,€12.00m
,
,
tiago-djalo,€12.00m
,
,
sergio-reguilon,€12.00m
,
,
presnel-kimpembe,€12.00m
,
,
nelson-semedo,€12.00m
,
,
emerson,€12.00m
,
,
eric-dier,€12.00m
,
,
jonathan-clauss,€12.00m
,
,
raphael-guerreiro,€12.00m
,
,
lewis-dunk,€12.00m
,
,
daniel-carvajal,€12.00m
,
,
lucas-digne,€12.00m
,
,
andrew-omobamidele,€11.00m
,
,
teden-mengi,€11.00m
,
,
jan-bednarek,€11.00m
,
,
hector-fort,€10.00m
,
,
jeanuel-belocian,€10.00m
,
,
arnau-martinez,€10.00m
,
,
kike-salas,€10.00m
,
,
lorenz-assignon,€10.00m
,
,
ahmetcan-kaplan,€10.00m
,
,
strahinja-erakovic,€10.00m
,
,
quentin-merlin,€10.00m
,
,
devyne-rensch,€10.00m
,
,
luca-netz,€10.00m
,
,
oumar-solet,€10.00m
,
,
josha-vagnoman,€10.00m
,
,
dara-oshea,€10.00m
,
,
ryan-sessegnon,€10.00m
,
,
mads-roerslev,€10.00m
,
,
rasmus-kristensen,€10.00m
,
,
ozan-kabak,€10.00m
,
,
nordi-mukiele,€10.00m
,
,
ladislav-krejci,€10.00m
,
,
dan-axel-zagadou,€10.00m
,
,
ben-godfrey,€10.00m
,
,
caglar-soyuncu,€10.00m
,
,
kieran-tierney,€10.00m
,
,
david-garcia,€10.00m
,
,
maximilian-wober,€10.00m
,
,
tyrone-mings,€10.00m
,
,
thilo-kehrer,€10.00m
,
,
ben-davies,€10.00m
,
,
nico-elvedi,€10.00m
,
,
clement-lenglet,€10.00m
,
,
berat-djimsiti,€10.00m
,
,
fabian-schar,€10.00m
,
,
matthias-ginter,€10.00m
,
,
kieran-trippier,€10.00m
,
,
sead-kolasinac,€10.00m
,
,
willi-orban,€10.00m
,
,
aurele-amenda,€9.50m
,
,
fabiano-parisi,€9.50m
,
,
christian-mawissa,€9.00m
,
,
ivan-fresneda,€9.00m
,
,
maxime-esteve,€9.00m
,
,
mark-mcguinness,€9.00m
,
,
ben-cabango,€9.00m
,
,
maxim-de-cuyper,€9.00m
,
,
jordan-beyer,€9.00m
,
,
andreas-hanche-olsen,€9.00m
,
,
juan-miranda,€9.00m
,
,
jeff-chabot,€9.00m
,
,
ainsley-maitland-niles,€9.00m
,
,
samuel-gigot,€9.00m
,
,
scott-mckenna,€9.00m
,
,
abdulkerim-bardakci,€9.00m
,
,
kassoum-ouattara,€8.00m
,
,
kosta-nedeljkovic,€8.00m
,
,
renato-veiga,€8.00m
,
,
tom-rothe,€8.00m
,
,
lucas-piton,€8.00m
,
,
konstantinos-koulierakis,€8.00m
,
,
samson-baidoo,€8.00m
,
,
manu-sanchez,€8.00m
,
,
milan-van-ewijk,€8.00m
,
,
aihen-munoz,€8.00m
,
,
eduardo-quaresma,€8.00m
,
,
david-jurasek,€8.00m
,
,
victor-gomez,€8.00m
,
,
djed-spence,€8.00m
,
,
ben-johnson,€8.00m
,
,
leo-ostigard,€8.00m
,
,
luca-ranieri,€8.00m
,
,
oscar-mingueza,€8.00m
,
,
matteo-gabbia,€8.00m
,
,
jordan-lotomba,€8.00m
,
,
joe-rodon,€8.00m
,
,
jerry-st-juste,€8.00m
,
,
angelino,€8.00m
,
,
yeray-alvarez,€8.00m
,
,
brendan-chardonnet,€8.00m
,
,
matt-targett,€8.00m
,
,
ricardo-pereira,€8.00m
,
,
lukas-klostermann,€8.00m
,
,
vladimir-coufal,€8.00m
,
,
dan-burn,€8.00m
,
,
joel-veltman,€8.00m
,
,
rafa-marin,€7.50m
,
,
niels-nkounkou,€7.50m
,
,
javi-lopez,€7.50m
,
,
igor-diveev,€7.50m
,
,
jesus-areso,€7.50m
,
,
moritz-jenz,€7.50m
,
,
josip-juranovic,€7.50m
,
,
greg-taylor,€7.50m
,
,
borna-sosa,€7.50m
,
,
marco-friedl,€7.50m
,
,
sael-kumbedi,€7.00m
,
,
luka-vuskovic,€7.00m
,
,
alvaro-carreras,€7.00m
,
,
isaak-toure,€7.00m
,
,
anthony-rouault,€7.00m
,
,
etienne-youte-kinkoue,€7.00m
,
,
ryan-flamingo,€7.00m
,
,
valentin-gendrey,€7.00m
,
,
chrislain-matsima,€7.00m
,
,
trai-hume,€7.00m
,
,
tomas-araujo,€7.00m
,
,
anthony-caci,€7.00m
,
,
javi-galan,€7.00m
,
,
hjalmar-ekdal,€7.00m
,
,
sergio-akieme,€7.00m
,
,
sebastiaan-bornauw,€7.00m
,
,
unai-nunez,€7.00m
,
,
ridle-baku,€7.00m
,
,
marin-pongracic,€7.00m
,
,
felix-uduokhai,€7.00m
,
,
diego-llorente,€7.00m
,
,
duje-caleta-car,€7.00m
,
