Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Wilinton Aponzá,co COL,"FW,MF",Portimonense,21,2000,8.3,1,14,6,42.9,1.69,0.73,0.07,0.17,15.0,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Henrique Araújo,pt POR,FW,Benfica,19,2002,1.4,3,11,4,36.4,8.11,2.95,0.27,0.75,8.2,0,0,0,2.9,2.9,0.26,+0.1,+0.1,Matches
Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tiago Araújo,pt POR,"DF,FW",Arouca,20,2001,5.3,0,5,2,40.0,0.95,0.38,0.00,0.00,20.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Tomás Araújo,pt POR,DF,Benfica,19,2002,1.1,0,1,0,0.0,0.94,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Telmo Arcanjo,cv CPV,"MF,FW",Tondela,20,2001,1.4,0,6,1,16.7,4.43,0.74,0.00,0.00,28.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Arthur,br BRA,"FW,MF",Estoril,23,1998,24.4,2,26,8,30.8,1.07,0.33,0.08,0.25,20.2,1,0,0,1.8,1.8,0.07,+0.2,+0.2,Matches
Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,6.7,0,8,2,25.0,1.19,0.30,0.00,0.00,24.0,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Javier Avilés,es ESP,"MF,FW",Tondela,23,1997,1.7,0,1,0,0.0,0.59,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
