Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Berk Beyhan,bg BUL,FW,Cherno More,18,2004,0.4,0,,,,,,,,,0,0,Matches

Messie Biatoumoussoka,cg CGO,DF,Botev Vratsa,25,1998,12.0,0,,,,,,,,,0,0,Matches
Ryan Bidounga,cg CGO,DF,CSKA 1948,26,1997,1.2,0,,,,,,,,,0,0,Matches
Nikolay Bodurov,bg BUL,DF,Pirin Blagoevgrad,37,1986,11.7,0,,,,,,,,,0,0,Matches
Biser Bonev,bg BUL,MF,FK Levski 2005,20,2003,2.3,0,,,,,,,,,0,0,Matches
Biser Bonev,bg BUL,MF,Botev Plovdiv,20,2003,1.0,0,,,,,,,,,0,0,Matches
Preslav Borukov,bg BUL,MF,Arda,23,2000,13.7,6,,,,,,,,,0,0,Matches
Chahreddine Boukholda,fr FRA,MF,Etar,27,1996,13.4,2,,,,,,,,,0,0,Matches
Lazar Boyanov,bg BUL,DF,Pirin Blagoevgrad,20,2003,3.8,0,,,,,,,,,0,0,Matches
Marto Boychev,bg BUL,FW,CSKA 1948,15,2008,0.7,0,,,,,,,,,0,0,Matches
Kristian Boytchev,bg BUL,MF,CSKA 1948,17,2005,1.9,0,,,,,,,,,0,0,Matches
Rosen Bozhinov,bg BUL,DF,CSKA 1948,18,2005,14.4,0,,,,,,,,,0,0,Matches
Mohamed Brahimi,fr FRA,FW,Botev Plovdiv,24,1998,5.8,0,,,,,,,,,0,0,Matches
Bruno,br BRA,DF,Lokomotiv Sofia,25,1998,31.1,0,,,,,,,,,0,0,Matches
Aleksandar Buchkov,bg BUL,DF,Pirin Blagoevgrad,19,2003,1.9,0,,,,,,,,,0,0,Matches
Ilker Budinov,bg BUL,DF,Botev Vratsa,22,2000,2.3,0,,,,,,,,,0,0,Matches
Ilker Budinov,bg BUL,DF,Etar,22,2000,3.2,0,,,,,,,,,0,0,Matches
Gustavo Busatto,br BRA,GK,CSKA Sofia,32,1990,32.5,0,,,,,,,,,0,0,Matches
Andreas Calcan,ro ROU,"FW,MF",Cherno More,29,1994,8.6,2,,,,,,,,,0,0,Matches
Ronaldo Camará,gw GNB,MF,Beroe,20,2003,5.0,0,,,,,,,,,0,0,Matches
Marcel Canadi,at AUT,FW,PFC Hebar Pazardzhik,25,1997,4.2,0,,,,,,,,,0,0,Matches
Moses Candidus,ng NGA,MF,Etar,21,2002,6.5,0,,,,,,,,,0,0,Matches
Thalis Cantanhede,br BRA,MF,CSKA 1948,27,1996,18.4,0,,,,,,,,,0,0,Matches
Joachim Carcela,be BEL,MF,Etar,23,1999,11.9,3,,,,,,,,,0,0,Matches
Gonçalo Cardoso,pt POR,DF,Lokomotiv Sofia,22,2000,15.6,1,,,,,,,,,0,0,Matches
Johnathan Carlos Pereira,br BRA,DF,CSKA 1948,28,1995,2.7,0,,,,,,,,,0,0,Matches

