Competition Name,Gender,Country,Champion,Top Scorer
EFL Cup,M,ENG,Liverpool FC,"Eddie Nketiah, Marcus Forss - 5"
FA Community Shield,M,ENG,Leicester City FC,Kelechi Iheanacho - 1
The Emirates FA Cup,M,ENG,Liverpool FC,"Jayden Stockley, Riyad Mahrez - 4"
Copa del Rey,M,ESP,Real Betis,Borja Iglesias - 5
Supercopa de España,M,ESP,Real Madrid CF,Karim Benzema - 2
Coupe de France,M,FRA,FC Nantes,"Tolu Arokodare, Arkadiusz Milik... - 5"
Trophée des Champions,M,FRA,Lille OSC,Xeka - 1
DFB-Pokal,M,GER,RB Leipzig,Robert Glatzel - 5
DFL-Supercup,M,GER,FC Bayern Munich,Robert Lewandowski - 2
Coppa Italia Frecciarossa,M,ITA,Internazionale,Dušan Vlahović - 4
Supercoppa Frecciarossa,M,ITA,Internazionale,"Alexis Sánchez, Lautaro Martínez... - 1"
