Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Augustine Boakye,gh GHA,"FW,MF",Wolfsberger AC,21,2000,6.8,3,14,4,28.6,2.05,0.58,0.21,0.75,,0,0,Matches
Jan Boller,de GER,DF,LASK,22,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,Matches
Hendrik Bonmann,de GER,GK,Wolfsberger AC,28,1994,31.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Solomon Bonnah,nl NED,"MF,DF",SK Austria Klagenfurt,18,2003,4.3,1,5,2,40.0,1.16,0.46,0.20,0.50,,0,0,Matches
Aleksandar Borković,at AUT,DF,Sturm Graz,23,1999,16.8,1,12,6,50.0,0.71,0.36,0.08,0.17,,0,0,Matches
Matthias Braunöder,at AUT,MF,Austria Wien,20,2002,25.5,2,35,6,17.1,1.37,0.24,0.06,0.33,,0,0,Matches
Csaba Bukta,hu HUN,"MF,FW",SCR Altach,21,2001,8.8,0,11,4,36.4,1.25,0.45,0.00,0.00,,0,0,Matches
Kevin Bukusu,de GER,DF,Wolfsberger AC,21,2001,7.4,0,1,0,0.0,0.13,0.00,0.00,,,0,0,Matches
Guido Burgstaller,at AUT,FW,Rapid Wien,33,1989,27.9,21,91,46,50.5,3.26,1.65,0.20,0.39,,3,4,Matches
Nicolás Capaldo,ar ARG,MF,RB Salzburg,24,1997,19.5,5,22,15,68.2,1.13,0.77,0.23,0.33,,0,0,Matches
Tino Casali,at AUT,GK,SCR Altach,26,1995,23.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Nemanja Celic,at AUT,MF,LASK,23,1999,0.8,0,1,0,0.0,1.27,0.00,0.00,,,0,0,Matches
Seifedin Chabbi,at AUT,FW,Ried,29,1993,11.9,4,44,18,40.9,3.71,1.52,0.07,0.17,,1,1,Matches

