Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Oskar Boesen,dk DEN,FW,Silkeborg,17,2005,0.2,0,0,0,1,0,0,0,0,3,,,0,Matches
Nicolai Boilesen,dk DEN,DF,FC Copenhagen,30,1992,5.5,1,0,0,1,1,0,1,8,4,,,0,Matches
Simen Bolkan Nordli,no NOR,"MF,FW",Randers,22,1999,9.0,1,0,0,15,32,2,27,1,10,,,0,Matches
Jakob Bonde,dk DEN,"MF,DF",Viborg,28,1993,25.5,5,0,0,23,11,3,17,22,19,,,0,Matches
Frederik Brandhof,dk DEN,MF,AGF,26,1996,7.1,2,0,0,12,5,0,13,12,16,,,0,Matches
Jakob Breum,dk DEN,MF,Odense,18,2003,9.3,3,0,0,10,14,2,15,4,14,,,0,Matches

Mark Brink,dk DEN,MF,Silkeborg,24,1998,25.3,2,0,0,6,19,0,14,19,21,,,0,Matches
Nicolai Brock-Madsen,dk DEN,FW,Randers,29,1993,1.6,1,0,0,7,0,2,1,0,0,,,0,Matches
Samuel Brolin,se SWE,GK,Horsens,21,2000,3.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Júnior Brumado,br BRA,FW,Midtjylland,23,1999,4.7,2,1,1,10,8,3,0,3,6,,,0,Matches
Filip Bundgaard,dk DEN,FW,Randers,18,2004,18.3,0,0,0,26,20,6,45,5,19,,,0,Matches
Oliver Bundgaard,dk DEN,DF,Randers,21,2001,2.0,0,0,0,2,2,0,11,1,3,,,0,Matches
Oliver Bundgaard,dk DEN,DF,Viborg,21,2001,16.5,2,0,0,21,15,0,43,17,26,,,0,Matches
Nicolas Bürgy,ch SUI,DF,Viborg,26,1995,27.5,5,0,0,26,8,3,6,27,18,,,0,Matches
Alexander Busch,dk DEN,DF,Silkeborg,19,2003,10.7,2,0,0,9,11,0,1,14,17,,,0,Matches
Jacob Buus,dk DEN,MF,Horsens,25,1997,6.4,1,0,0,11,10,2,17,6,7,,,0,Matches
Asbjørn Bøndergaard,dk DEN,FW,Silkeborg,18,2004,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
André Calisir,am ARM,DF,Silkeborg,32,1990,3.7,0,0,0,8,4,0,0,8,3,,,0,Matches
Christian Cappis,us USA,"DF,MF",Brøndby,22,1999,11.0,4,0,0,14,8,1,37,11,21,,,0,Matches
Patrik Carlgren,se SWE,GK,Randers,30,1992,30.7,2,0,0,2,10,0,0,1,0,,,0,Matches
Frederik Carstensen,dk DEN,FW,Silkeborg,20,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Rasmus Carstensen,dk DEN,DF,Silkeborg,21,2000,3.0,0,0,0,5,1,0,11,3,10,,,0,Matches
Edward Chilufya,zm ZAM,"FW,MF",Midtjylland,22,1999,6.6,0,0,0,12,4,2,8,0,1,,,0,Matches
Chriso,ci CIV,MF,Midtjylland,22,1999,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Jacob Christensen,dk DEN,MF,Nordsjælland,21,2001,29.3,8,0,0,35,14,0,83,31,37,,,0,Matches
Hans Christian Bernat,dk DEN,GK,Odense,21,2000,7.0,0,0,0,0,1,0,0,1,0,,,0,Matches
Tochi Chukwuani,dk DEN,MF,Lyngby,19,2003,16.3,6,0,0,26,15,1,6,12,18,,,0,Matches
Viktor Claesson,se SWE,"MF,FW",FC Copenhagen,30,1992,28.8,6,0,0,31,21,7,12,21,23,,,0,Matches
William Clem,dk DEN,MF,FC Copenhagen,18,2004,11.4,3,0,0,8,7,0,1,17,11,,,0,Matches
Rezan Corlu,dk DEN,"MF,FW",Lyngby,24,1997,14.1,3,0,0,16,18,1,72,8,23,,,0,Matches
Andreas Cornelius,dk DEN,FW,FC Copenhagen,29,1993,5.7,1,0,0,9,11,1,1,0,2,,,0,Matches

Lasso Coulibaly,gh GHA,"FW,MF",Nordsjælland,19,2002,4.8,2,0,0,8,6,4,2,1,9,,,0,Matches
Anthony D'Alberto,be BEL,MF,AGF,27,1994,2.5,1,0,0,7,4,1,22,2,3,,,0,Matches
Adam Daghim,dk DEN,MF,AGF,16,2005,0.1,1,0,0,1,0,0,0,0,0,,,0,Matches
Anders Dahl,dk DEN,MF,Silkeborg,20,2002,0.5,0,0,0,0,1,0,1,2,2,,,0,Matches
Mathias Dahl Sauer,dk DEN,MF,AGF,18,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Robin Dahl Østrøm,no NOR,MF,Odense,19,2002,0.8,0,0,0,0,0,0,0,1,0,,,0,Matches
Robin Dahl Østrøm,no NOR,DF,Silkeborg,19,2002,6.6,0,0,0,6,3,1,5,4,6,,,0,Matches
Henrik Dalsgaard,dk DEN,DF,Midtjylland,33,1989,22.7,4,1,0,18,11,1,35,22,10,,,0,Matches
